compound,CAS,Clint,unit.Clint,method.Clint,reference.Clint,original.reference.Clint,conc.enzymes.Clint,unit.conc.enzymes.Clint
"2,4-D",94-75-7,0,ul/min/10^6 cells,hep,httk,Wetmore 2013,0.5,10^6 cell/ml
"2,4-D",94-75-7,0,ul/min/mg S9,S9,this work,this work,2,mg S9/ml
"2,4-D",94-75-7,13.0924556,ul/min/mg microsomes,in silico,CYP_RLM_CLint_bound,AMDT predictor,0.001,"NA, 0.001 added so that it does not influence the calculations"
Alachlor,15972-60-8,41.66,ul/min/10^6 cells,hep,httk,Wetmore 2013,0.5,10^6 cell/ml
Alachlor,15972-60-8,66.7,ul/min/mg S10,S9,this work,this work,2,mg S9/ml
Alachlor,15972-60-8,75.80093863,ul/min/mg microsomes,in silico,CYP_RLM_CLint_bound,AMDT predictor,0.001,"NA, 0.001 added so that it does not influence the calculations"
Alprazolam,28981-97-7,28.86875,ul/min/10^6 cells,hep,httk,Wood 2017,1,10^6 cell/ml
Alprazolam,28981-97-7,99.68302196,ul/min/mg microsomes,in silico,CYP_RLM_CLint_bound,AMDT predictor,0.001,"NA, 0.001 added so that it does not influence the calculations"
Bensulide,741-58-2,37.52,ul/min/10^6 cells,hep,httk,Wetmore 2013,0.5,10^6 cell/ml
Bensulide,741-58-2,121.5008044,ul/min/mg microsomes,in silico,CYP_RLM_CLint_bound,AMDT predictor,0.001,"NA, 0.001 added so that it does not influence the calculations"
Bisphenol A,80-05-7,331.8,ul/min/mg S11,S9,this work,this work,0.5,mg S9/ml
Bisphenol A,80-05-7,2173.27746,ul/min/mg microsomes,in silico,CYP_RLM_CLint_bound,AMDT predictor,0.001,"NA, 0.001 added so that it does not influence the calculations"
Boscalid,188425-85-6,12.04,ul/min/10^6 cells,hep,httk,Wetmore 2013,0.5,10^6 cell/ml
Boscalid,188425-85-6,4.05,ul/min/mg S12,S9,this work,this work,2,mg S9/ml
Boscalid,188425-85-6,37.77262522,ul/min/mg microsomes,in silico,CYP_RLM_CLint_bound,AMDT predictor,0.001,"NA, 0.001 added so that it does not influence the calculations"
Bosentan,147536-97-8,7.59375,ul/min/10^6 cells,hep,httk,Wood 2017,1,10^6 cell/ml
Bosentan,147536-97-8,133.613038,ul/min/mg microsomes,in silico,CYP_RLM_CLint_bound,AMDT predictor,0.001,"NA, 0.001 added so that it does not influence the calculations"
Carbaryl,63-25-2,14.97,ul/min/10^6 cells,hep,httk,Wetmore 2013,0.5,10^6 cell/ml
Carbaryl,63-25-2,21.8,ul/min/mg S20,S9,this work,this work,2,mg S9/ml
Carbaryl,63-25-2,60.82787998,ul/min/mg microsomes,in silico,CYP_RLM_CLint_bound,AMDT predictor,0.001,"NA, 0.001 added so that it does not influence the calculations"
Carbendazim,10605-21-7,31.7,ul/min/10^6 cells,hep,httk,Honda 2019,0.5,10^6 cell/ml
Carbendazim,10605-21-7,22.07626047,ul/min/mg microsomes,in silico,CYP_RLM_CLint_bound,AMDT predictor,0.001,"NA, 0.001 added so that it does not influence the calculations"
Chloridazon,1698-60-8,0,ul/min/10^6 cells,hep,httk,Wetmore 2013,0.5,10^6 cell/ml
Chloridazon,1698-60-8,32.24217308,ul/min/mg microsomes,in silico,CYP_RLM_CLint_bound,AMDT predictor,0.001,"NA, 0.001 added so that it does not influence the calculations"
Chlorpyrifos,2921-88-2,184,ul/min/10^6 cells,hep,httk,Honda 2019,0.5,10^6 cell/ml
Chlorpyrifos,2921-88-2,15.88435988,ul/min/mg microsomes,in silico,CYP_RLM_CLint_bound,AMDT predictor,0.001,"NA, 0.001 added so that it does not influence the calculations"
Coumarin,91-64-5,0,ul/min/mg S13,S9,this work,this work,2,mg S9/ml
Coumarin,91-64-5,111.8706625,ul/min/mg microsomes,in silico,CYP_RLM_CLint_bound,AMDT predictor,0.001,"NA, 0.001 added so that it does not influence the calculations"
Curcumin,458-37-7,5580,ul/min/mg S21,S9,this work,this work,0.01,mg S9/ml
Curcumin,458-37-7,14.56055693,ul/min/mg microsomes,in silico,CYP_RLM_CLint_bound,AMDT predictor,0.001,"NA, 0.001 added so that it does not influence the calculations"
Cyclanilide,113136-77-9,0,ul/min/10^6 cells,hep,httk,Wetmore 2013,0.5,10^6 cell/ml
