"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.0020990681707504,0.00384822923217097,0.000228187821956989,0.00255088448581189,0.000433682935986985,0.000771437946576744,0.00217177021937964,0.000646068791755862,0.0239138345642498,0.0253414841883652,0.000162576138504488,0.000588047986962457,0.051428176747109,0.0257739255556249,0.00224048365092262,0.0180593169972287,0,0.0306417381098614,1.52140385637002e-10,1.00000000000029,0.190898913543218,4.79516799506844,0.119946752614309,0.233579923045279,0.175529093813068,0.392443767047983,0.394257214533623,0.335407802859454,0.241307802153293,0.496975993658355,0.196015037411884,0.612113144646502,0.270960230840813,0.196015995654152,4.79516799506844,4.79514894058138
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143612485976288,0.00266794715341473,0.000141472402515617,0.00177120627234278,0.00029450220308264,0.000520103861422624,0.00143152772755254,0.000447343494889261,0.0154238677972716,0.0178547855860496,0.000107285148540773,0.00037927943985688,0.0379811392038639,0.0190346603379829,0.00144508302650778,0.0437259502710084,0.0371133574198489,0.00912327733762276,-1.47284222716249e-11,0.999999999999972,0.190898913543537,3.54136496073323,0.0820642777007362,0.161939129190576,0.108824925012013,0.27249327266812,0.267729275529673,0.226132113662011,0.159058636394727,0.344110380684047,0.126425145879276,0.431275014155787,0.178808580901288,0.126426479952293,3.54136496073323,3.5413321559038
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138080069935211,0.00301857228300811,0.00129773210939388,0.00225131089894199,0.000320207798001059,0.000964322188572128,0.00309608115858213,0.000334871434404781,0.0372227108639539,0.0403977392091137,0.000200592936996997,0.000915313506508625,0.0323674469614886,0.0162214648521444,0.00348734013464346,0.011049608786222,0,0.0239455914281499,-7.24208009229651e-11,0.999999999999862,0.190898913543647,3.01794377263297,0.78902897105835,0.183221382883648,0.998255468764525,0.346355522914152,0.291097998182781,0.419270516770491,0.344009017620236,0.257593411080601,0.305104187409458,0.975790802152505,0.334321561661661,0.305104502169542,3.01794377263297,3.01794694923616
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138080069935211,0.00301857228300811,0.00129773210939388,0.00225131089894199,0.000320207798001059,0.000964322188572128,0.00309608115858213,0.000334871434404781,0.0372227108639539,0.0403977392091137,0.000200592936996997,0.000915313506508625,0.0323674469614886,0.0162214648521444,0.00348734013464346,0.011049608786222,0,0.0239455914281499,-7.24208009229651e-11,0.999999999999862,0.190898913543647,3.01794377263297,0.78902897105835,0.183221382883648,0.998255468764525,0.346355522914152,0.291097998182781,0.419270516770491,0.344009017620236,0.257593411080601,0.305104187409458,0.975790802152505,0.334321561661661,0.305104502169542,3.01794377263297,3.01794694923616
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121681671866295,0.00266012611429209,0.00114362314436472,0.0019793265411019,0.000282184835196409,0.000851294891321994,0.00272574889352949,0.000295108284670053,0.0328022590922396,0.0356018765247207,0.000176773381706911,0.000806616030255035,0.0429793540596534,0.0215397365816469,0.00307322787199225,0.0100155788621225,0,0.0217979112481403,-3.94744979935455e-11,0.999999999999925,0.190898913543584,4.00739897992106,0.695323839235973,0.161464407544285,0.879710111049782,0.304511775554139,0.256531668360372,0.370128213618258,0.302860988169943,0.227006372823118,0.268870976165898,0.859948708326588,0.294622302844852,0.268872010085012,4.00739897992106,4.00739285239942
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861102955311091,0.0018827223050909,0.00080937978272797,0.00142963600770545,0.000199720382664886,0.000602516581921765,0.00193002545614044,0.00020887035049288,0.02321433901082,0.0251798534493662,0.000125113285432116,0.000570860554648069,0.0304197292852514,0.0152451170854242,0.00217509358261265,0.0359250552371477,0.0340426445591524,0.00832720707387173,-3.83404240180404e-11,0.999999999999927,0.190898913543582,2.83633839489523,0.492058831606338,0.114277529899296,0.622599832867669,0.219944001185454,0.181563984240805,0.261963731270333,0.214447272904494,0.160669500379139,0.190281467301803,0.608209020516092,0.208522142386861,0.190286851549356,2.83633839489523,2.83630085310218
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00404076193831125,0.00413584763497248,0.000310488973817772,0.00831801097488755,0.000395476244455323,0.000378212878544351,0.00212962759683879,5.1807846188065e-05,0.00829500323388936,0.00381332654227212,5.5028503319758e-05,0.000211533032583495,0.000565997245976529,0.000283630600876745,0.000836603424030546,0.100282766757697,0.0705694894533822,0.000284646614139234,-1.21878562569133e-13,1,0.204958259496183,0.0527736359884876,0.230900682189214,0.251037792714566,0.238837672167517,1.27969399613655,0.359523858595748,0.164440381975805,0.236625288537644,0.0398521893754346,0.0679918297859783,0.092109336769858,0.0917141721995966,0.070511010861165,0.0527736359884876,0.0527684838840456
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317589514197629,0.00380850700694112,0.000368347455973566,0.0246099018656722,0.000570877169574651,0.000508504482853971,0.00458101675345025,4.48969843001361e-05,0.00744753036909692,0.00243713487773133,6.97025720921195e-05,0.0002085179045795,0.000252795070098935,0.000126691830900222,0.0010010577608232,0.0890197673632956,0.0661686118840567,0.000558503002765534,8.12523750460886e-14,1,0.204958259496182,0.0235706359066606,0.181479722398645,0.2311688623333,0.283344196902743,3.78613874856496,0.518979245067864,0.221088905588683,0.509001861494472,0.0345361417693354,0.061045330894237,0.0588679922157327,0.116170953486866,0.0695059681931668,0.0235706359066606,0.023570573190739
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230880561608875,0.00539903844064512,0.000636068250974587,0.00396550114134927,0.000461344986776106,0.000570508655096336,0.00253178717886607,9.90360372898933e-05,0.0155710564231334,0.0133218420358324,8.35269572051726e-05,0.000384075644548104,0.00204012498506674,0.00102248512254873,0.00146650841802769,0.0890197674914331,0.0440448307199073,0.0012527008465962,-5.95850750337982e-13,0.999999999999999,0.204958259496184,0.190221443829067,1.31931749490786,0.32771098274022,0.489283269980451,0.610077098669118,0.419404533432824,0.248047241346233,0.281309686540674,0.0761815671460718,0.127631610025683,0.321783624053923,0.139211595341954,0.128025214849368,0.190221443829067,0.190229790241625
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331257854104775,0.00293179535095852,0.00036704406992531,0.0131123823524317,0.000322966752886142,0.000382141714903514,0.00274740151010862,7.01923274676146e-05,0.00771769541192533,0.00264423443011001,5.88463332492962e-05,0.000215333446010733,0.000356807214052628,0.000178796971139611,0.00102010854078004,0.112970788552843,0.05596170551519,0.000587440461152325,-5.41682500307256e-14,1,0.204958259496183,0.0332687379070049,0.189290202345586,0.177954194291868,0.282341592250239,2.01728959268179,0.293606138987402,0.16614857169718,0.305266834456514,0.0539940980520113,0.0632597984584044,0.0638703968625607,0.0980772220821603,0.0717778153369109,0.0332687379070049,0.0332645527701602
