"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00208991728321013,0.0038314526742645,0.000227193129486618,0.00253965706656225,0.000431792520664779,0.0007681147472668,0.00216226472079969,0.000643253121026715,0.0238095500390702,0.0252307897737424,0.000161867458825816,0.000585483906933871,0.0517160857191078,0.0259181992774531,0.00223071691387638,0.0180593163158991,0,0.0304932588748927,2.22947312056364e-10,1.00000000000043,0.190898913543083,4.77426995491314,0.119423844754864,0.232561619075235,0.174763945758937,0.390716471778808,0.392538655149799,0.333962933594261,0.24025163564441,0.494810093097473,0.195160246221887,0.609439366515518,0.269779098043026,0.19516130231129,4.82201265446227,4.82199056324709
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143100454246382,0.00265843449126317,0.000140968162759231,0.00176461762098635,0.000293452595660693,0.000518267975215064,0.00142644515635947,0.000445750167275741,0.0153688265288996,0.0177907194221169,0.000106902762967353,0.000377926438581614,0.0382243197158789,0.0191565003955919,0.00143993196843805,0.0437259479276716,0.0369459505448289,0.00908294712640285,7.71606485641791e-11,1.00000000000015,0.190898913543361,3.52875161816602,0.0817716881407897,0.16136172936347,0.108437048276331,0.271479633997899,0.266775086964266,0.225333902267419,0.158493906262164,0.342884744058263,0.1259739879418,0.429727522273354,0.178171271612255,0.125975479527205,3.56403913434768,3.56400007359849
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0137713425219702,0.00301056478527411,0.00129428846633614,0.00224521837325171,0.000319358466920575,0.000961813731997089,0.00308779868318013,0.000333983321689251,0.0371239066030074,0.0402903094062146,0.00020006084794891,0.000912884334676242,0.0326044214464525,0.0163402246805224,0.00347808892772732,0.0110496088484387,0,0.0238750400980428,-7.41364512961653e-11,0.999999999999858,0.19089891354365,3.00993989673914,0.786933858398297,0.182735343567472,0.995606512566261,0.345418211269494,0.290325879018704,0.418179883476995,0.34308874257557,0.25691024745327,0.304294316418093,0.973195879377165,0.333434746581516,0.304294778225414,3.04003929570653,3.04004180102741
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0137713425219702,0.00301056478527411,0.00129428846633614,0.00224521837325171,0.000319358466920575,0.000961813731997089,0.00308779868318013,0.000333983321689251,0.0371239066030074,0.0402903094062146,0.00020006084794891,0.000912884334676242,0.0326044214464525,0.0163402246805224,0.00347808892772732,0.0110496088484387,0,0.0238750400980428,-7.41364512961653e-11,0.999999999999858,0.19089891354365,3.00993989673914,0.786933858398297,0.182735343567472,0.995606512566261,0.345418211269494,0.290325879018704,0.418179883476995,0.34308874257557,0.25691024745327,0.304294316418093,0.973195879377165,0.333434746581516,0.304294778225414,3.04003929570653,3.04004180102741
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121253389113335,0.00265076796041113,0.00113959931725992,0.00197229970303835,0.000281192183595658,0.000848329097403743,0.00271612320904777,0.000294070265579501,0.0326868262038125,0.0354764394096759,0.000176151523073741,0.000803777793296909,0.0432564596328985,0.0216786067513842,0.0030624163431398,0.0100155788263027,0,0.0217149364121847,3.65956948249555e-11,1.00000000000007,0.190898913543439,3.99330329644335,0.692876509219056,0.160896386064408,0.876614859430705,0.303430723544362,0.255629257814235,0.368838738001628,0.301791467671975,0.226207896599616,0.267924804949283,0.856918826320674,0.293585871789568,0.26792593109897,4.03323632940779,4.03322916304823
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00858742000195911,0.00187757157313207,0.000807163903663558,0.00142546819372804,0.000199174130879837,0.000600889091920513,0.00192475268159251,0.00020829932366684,0.0231507398249799,0.0251105536710495,0.000124771048705451,0.000569297258341829,0.0306399313367975,0.0153554586601375,0.00216914271284747,0.0359250549367083,0.0339238017469985,0.00829942344649155,-4.79364345800072e-11,0.999999999999909,0.1908989135436,2.82858421258718,0.490709714397663,0.113964890630171,0.620895310510429,0.219302799035083,0.181067391708943,0.261256126921962,0.213861409065835,0.160230248974492,0.189760162499835,0.606535112827283,0.207951747842419,0.18976575278061,2.85687005471305,2.85682951816512
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00407139855298283,0.00415417763425194,0.000311340416846653,0.00824789618941201,0.000396395107139452,0.000379133613070285,0.00212799137781039,5.19247781625398e-05,0.00832655292460927,0.00384490486874998,5.51537165510767e-05,0.000212185941862402,0.000572947289930309,0.000287113271590299,0.000838528994788952,0.10028276666558,0.0705125432572154,0.000285304895628997,1e-28,1,0.204958259496182,0.0528927314205552,0.232651345884733,0.252150387511498,0.239492628343579,1.26890710606339,0.360359188308593,0.164840701334907,0.236443486423376,0.0399421370481075,0.0682504338082727,0.0928720982789851,0.0919228609184612,0.0707286472874673,0.0534216587347607,0.0534164226214509
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00321795516731295,0.00384538531630972,0.00037084700629639,0.0243739528280427,0.000573003932590531,0.000510038995929461,0.00457273356800516,4.49937222471936e-05,0.00750799522910816,0.00246634314646545,6.98742027722059e-05,0.000209956131055712,0.000255872932977803,0.000128234777273659,0.00100392332475536,0.0890197676702103,0.0662268610203234,0.000560520524505648,3.52093625199717e-13,1,0.204958259496182,0.0236214021073926,0.183883152417883,0.233407302962654,0.2852669279203,3.74983889662195,0.520912665991392,0.221756085186722,0.508081507556129,0.0346105555747643,0.0615409445008865,0.0595735059532717,0.116457004620343,0.0699853770185708,0.0238576161284665,0.0238576329811458
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0232288104948884,0.00539315072250328,0.000635362958583204,0.00394174137229491,0.000460836854658599,0.000569985835717772,0.00252608420404507,9.89295140106531e-05,0.0155548576729978,0.0133610350131598,8.34355604908931e-05,0.000383652620857927,0.00205831042218619,0.00103159704774467,0.00146488688676402,0.089019767464678,0.0438948721828215,0.00125094266777872,5.01056312784212e-13,1,0.204958259496181,0.190016886813561,1.32736059970791,0.327353609863629,0.488740737371695,0.606421749583833,0.418942595144181,0.247819928572944,0.280676022671674,0.0760996261620409,0.127498833385228,0.322730314327532,0.139059267484822,0.127884206952642,0.191917055681696,0.191925032138543
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00335194820402549,0.00294933027441882,0.000368987831611728,0.0129880393949806,0.0003235318549898,0.000383001916672776,0.00274166895346855,7.02968725842384e-05,0.00777043262826915,0.00267346257399215,5.89399082217344e-05,0.000216546831012187,0.00036091192117522,0.00018085388780685,0.00102207204841421,0.112970790561114,0.0559386329335084,0.000588810899916796,8.12523750460886e-14,1,0.204958259496182,0.0333182783978601,0.191539897372885,0.179018529555012,0.283836793547483,1.99815990692009,0.294119868172546,0.166522572466425,0.304629883718727,0.0540745173724911,0.0636920707235176,0.064576390676139,0.0982331803695574,0.0721822770040622,0.0336514611818386,0.0336472349408092
