"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.0020990681707504,0.00384822923217097,0.000228187821956989,0.00255088448581189,0.000433682935986985,0.000771437946576744,0.00217177021937964,0.000646068791755862,0.0239138345642498,0.0253414841883652,0.000162576138504488,0.000588047986962457,0.051428176747109,0.0257739255556249,0.00224048365092262,0.0180593169972287,0,0.0306417381098614,1.52140385637002e-10,1.00000000000029,0.190898913543218,4.79516799506844,0.119946752614309,0.233579923045279,0.175529093813068,0.392443767047983,0.394257214533623,0.335407802859454,0.241307802153293,0.496975993658355,0.196015037411884,0.612113144646502,0.270960230840813,0.196015995654152,4.79516799506844,4.79514894058138
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143199268847116,0.00266027132806688,0.000141065096954813,0.00176623298051307,0.000293654218965572,0.000518606049147649,0.00142733413573986,0.000446053979058932,0.015379565352219,0.0178041205378042,0.000106976265043287,0.000378189261861273,0.0378716524001077,0.0189798351650706,0.00144092325425684,0.0437259507251931,0.037418951002754,0.00910753910228557,-2.6316331995697e-12,0.999999999999995,0.190898913543514,3.53115640094245,0.0818281536269232,0.161473221733953,0.108511613042164,0.271728150848165,0.266958380877793,0.225480890933761,0.158592681748873,0.343118445429947,0.126062011083762,0.430051220719909,0.178293775072145,0.126063087287091,3.53115640094245,3.53113212373406
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138080069935211,0.00301857228300811,0.00129773210939388,0.00225131089894199,0.000320207798001059,0.000964322188572128,0.00309608115858213,0.000334871434404781,0.0372227108639539,0.0403977392091137,0.000200592936996997,0.000915313506508625,0.0323674469614886,0.0162214648521444,0.00348734013464346,0.011049608786222,0,0.0239455914281499,-7.24208009229651e-11,0.999999999999862,0.190898913543647,3.01794377263297,0.78902897105835,0.183221382883648,0.998255468764525,0.346355522914152,0.291097998182781,0.419270516770491,0.344009017620236,0.257593411080601,0.305104187409458,0.975790802152505,0.334321561661661,0.305104502169542,3.01794377263297,3.01794694923616
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138080069935211,0.00301857228300811,0.00129773210939388,0.00225131089894199,0.000320207798001059,0.000964322188572128,0.00309608115858213,0.000334871434404781,0.0372227108639539,0.0403977392091137,0.000200592936996997,0.000915313506508625,0.0323674469614886,0.0162214648521444,0.00348734013464346,0.011049608786222,0,0.0239455914281499,-7.24208009229651e-11,0.999999999999862,0.190898913543647,3.01794377263297,0.78902897105835,0.183221382883648,0.998255468764525,0.346355522914152,0.291097998182781,0.419270516770491,0.344009017620236,0.257593411080601,0.305104187409458,0.975790802152505,0.334321561661661,0.305104502169542,3.01794377263297,3.01794694923616
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121681671866295,0.00266012611429209,0.00114362314436472,0.0019793265411019,0.000282184835196409,0.000851294891321994,0.00272574889352949,0.000295108284670053,0.0328022590922396,0.0356018765247207,0.000176773381706911,0.000806616030255035,0.0429793540596534,0.0215397365816469,0.00307322787199225,0.0100155788621225,0,0.0217979112481403,-3.94744979935455e-11,0.999999999999925,0.190898913543584,4.00739897992106,0.695323839235973,0.161464407544285,0.879710111049782,0.304511775554139,0.256531668360372,0.370128213618258,0.302860988169943,0.227006372823118,0.268870976165898,0.859948708326588,0.294622302844852,0.268872010085012,4.00739897992106,4.00739285239942
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00858988208067282,0.00187807050361595,0.000807383700392819,0.00142619139233643,0.000199226596525209,0.000601026873054142,0.00192515077181035,0.00020835344559822,0.0231571973525108,0.0251190366957244,0.000124804050685813,0.00056945373485198,0.0303444468776458,0.0152074163112691,0.00216972001664982,0.0359250615685002,0.0343315548353824,0.00831493673646272,-9.45497828552584e-11,0.999999999999819,0.190898913543689,2.82931905619075,0.490850404609875,0.11399517472631,0.621064384917553,0.219414060359451,0.18111508775019,0.26131603176267,0.213905641312261,0.1602718812294,0.189813093053367,0.606740016804938,0.208006751143021,0.189817911617327,2.82931905619075,2.82928675558494
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.0040119816632112,0.00410563763896937,0.000308169676462161,0.00830761602925909,0.000392475877578695,0.000375318524706753,0.0021121397858025,5.1410019241762e-05,0.00823400803456621,0.00378629289483367,5.46085486462969e-05,0.000209962747511761,0.000561650750211017,0.000281453341136311,0.000830242556374648,0.100282766777774,0.0707698488011026,0.000282675828793561,2.16673000122903e-13,1,0.204958259496182,0.0523683683180435,0.22925609504064,0.24920410555201,0.237053597278586,1.27809477373217,0.356796252344268,0.163181967263806,0.2346821984225,0.0395461686475093,0.0674918691357886,0.0914563501167552,0.0910142477438281,0.0699875825039204,0.0523683683180435,0.05236341230443
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00315407403478946,0.00378176096429786,0.000365708566565416,0.0245965015208039,0.000566679309887765,0.000504679774556061,0.00454478406515557,4.45569464633178e-05,0.00739467984075798,0.00242026380803159,6.9180918383761e-05,0.000207025282539738,0.000250880323054623,0.000125732505256329,0.000993619255496055,0.0890197668932844,0.0663636917671233,0.000554673719735768,-2.03130937615221e-13,1,0.204958259496183,0.0233921047137177,0.180232801987969,0.229545430306395,0.281314281973397,3.78407715704676,0.515163008988877,0.219425988937418,0.504976007239508,0.0342745742025521,0.0606121298422785,0.0584604784548693,0.115301530639602,0.069008427513246,0.0233921047137177,0.0233920940011776
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230041735166828,0.00537606949390882,0.00063334776174934,0.00395757124763991,0.000459327972325131,0.000568002611769487,0.00251961492309732,9.8599644342593e-05,0.0155053552651284,0.0132713251038044,8.31608699096249e-05,0.000382437084836906,0.00203113481700411,0.00101798248551181,0.00146010763387379,0.0890197675065205,0.0443220079011945,0.0012482736568826,1.8958887510754e-13,1,0.204958259496182,0.189383199720663,1.3145242009533,0.326316812983844,0.487190585961031,0.608857115021525,0.417570883931937,0.246957657291081,0.279957213677479,0.0758458802635331,0.127093075943675,0.320563408304455,0.138601449849375,0.127479028278969,0.189383199720663,0.18939209032778
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00329010790654801,0.00291123193128051,0.000364457892282674,0.0131033390296733,0.000320612272162159,0.000379331013402065,0.00272625927104817,6.96736813299537e-05,0.00766385454258819,0.00262622031692021,5.84152683396096e-05,0.00021381967679827,0.000354170558160911,0.000177476229627544,0.00101269702034047,0.112970788549687,0.056132340443439,0.000583463892554693,-8.12523750460884e-14,1,0.204958259496183,0.0330228958658192,0.188006166088457,0.17670603528258,0.280352224832826,2.01589831225743,0.291465701965599,0.164926527566115,0.30291769678313,0.0535951394845798,0.0628184798572802,0.0634352733555605,0.0973587805660161,0.0712732255994235,0.0330228958658192,0.0330188334190779
