"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209503232980011,0.00384083071848236,0.000227748904458426,0.00254601602190592,0.000432848650782457,0.000769913853724662,0.00216760646555428,0.000644824941058224,0.0238679214717643,0.025293250533161,0.000162263414187171,0.000586918341020108,0.0513291627153588,0.0257243319557522,0.00223617460750018,0.0180593197032557,0,0.0309147489157927,-2.62727137658699e-11,0.99999999999995,0.190898913543559,4.78593591751597,0.119716133131435,0.233130847859324,0.17519146496802,0.391694772600911,0.393498773438598,0.334745153793331,0.240845162839365,0.496019185429403,0.195638700588232,0.610948080511136,0.270439023645286,0.195639447006703,4.78593591751597,4.785922224326
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143509526238232,0.00266603460188169,0.00014137091405518,0.00176996708968385,0.000294290909925917,0.0005197128101894,0.00143051156599041,0.000447022174901326,0.0154128296513841,0.0178421663863545,0.000107208183906611,0.000379007812063669,0.0379538574009235,0.0190209993707326,0.00144404653939982,0.0437259544049765,0.0370982167947928,0.00921062166983898,6.56745147097036e-11,1.00000000000013,0.190898913543383,3.53882120288331,0.0820054435647041,0.161823041085383,0.108746856965523,0.272302629182132,0.267537190841743,0.225962091386695,0.15894572955449,0.343863211462559,0.12633466927364,0.430970202568949,0.178680306511018,0.126335937354556,3.53882120288331,3.53879058060142
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0137884703487959,0.00301427609870512,0.00129588846285819,0.00224812964364793,0.000319751774201944,0.000962898915395306,0.00309168739990367,0.000334394194030526,0.0371699276966864,0.0403415009622747,0.000200307346974655,0.000914014057647398,0.0323213182085693,0.0161983577240223,0.00348237733580487,0.0110496092080068,0,0.0241660041659717,6.20832804539372e-12,1.00000000000001,0.190898913543497,3.01364272340973,0.787912591359765,0.182960612971479,0.996837279121681,0.345866099022759,0.290683431092676,0.418651702345785,0.343520822211518,0.257226303100404,0.30467153849743,0.974432390393109,0.333845578291093,0.304671352549133,3.01364272340973,3.0136479486553
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0137884703487959,0.00301427609870512,0.00129588846285819,0.00224812964364793,0.000319751774201944,0.000962898915395306,0.00309168739990367,0.000334394194030526,0.0371699276966864,0.0403415009622747,0.000200307346974655,0.000914014057647398,0.0323213182085693,0.0161983577240223,0.00348237733580487,0.0110496092080068,0,0.0241660041659717,6.20832804539372e-12,1.00000000000001,0.190898913543497,3.01364272340973,0.787912591359765,0.182960612971479,0.996837279121681,0.345866099022759,0.290683431092676,0.418651702345785,0.343520822211518,0.257226303100404,0.30467153849743,0.974432390393109,0.333845578291093,0.304671352549133,3.01364272340973,3.0136479486553
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121526815690798,0.00265672781857537,0.00114216388328436,0.00197681035349558,0.000281824198556407,0.000850177717710587,0.00272227366345577,0.000294730903438425,0.0327604537427085,0.0355570399591391,0.000176547505655013,0.000805587262965685,0.0429243921908948,0.0215122043512684,0.00306930212714785,0.0100155777105538,0,0.0220004185855518,1.43067793832961e-11,1.00000000000003,0.190898913543481,4.00227433015336,0.694438946804558,0.16125813769805,0.878587602526435,0.304124669768551,0.256203816869461,0.369642485961125,0.302474851495085,0.226716079568019,0.268528309366463,0.858865699496114,0.294245842758355,0.268529087655228,4.00227433015336,4.00227057698016
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00860578754608267,0.0018815690020797,0.000808884931146205,0.00142878198918021,0.000199597957661902,0.000602126569324435,0.00192885547141463,0.000208742189702686,0.0232001737985695,0.0251647874434189,0.000125036617223125,0.000570511796077374,0.030401063847961,0.0152357698155875,0.00217376134025637,0.035925054597547,0.0340309363588918,0.00840747227146634,-4.33855992680442e-11,0.999999999999917,0.190898913543591,2.83459802778191,0.491759288347581,0.11420752668162,0.622219177804773,0.219812613720032,0.181452688783547,0.261794160575841,0.214317274601626,0.160570915155913,0.190165359004668,0.607845107328958,0.208394362038542,0.190170598692458,2.83459802778191,2.83456182615581
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00404049004890893,0.00413554762906697,0.000310464792878167,0.00831789962776422,0.000395443810667275,0.000378115771407212,0.00212957138816442,5.18034232553654e-05,0.00829438903894343,0.00381307343162385,5.50239014574459e-05,0.000211516891238956,0.000565948911861883,0.00028360641078225,0.000836534320720621,0.100282766777079,0.0705685880701908,0.000287475250171896,-2.70841250153627e-14,1,0.204958259496183,0.0527691293111313,0.230885145651939,0.251019582947919,0.238819071444744,1.27967686580988,0.359494373333886,0.164398161481397,0.236619043129381,0.0398487871195118,0.0679867954011756,0.0921032229860833,0.0917065024290765,0.0705056304129852,0.0527691293111313,0.0527639834013488
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317537707007022,0.00380785316522947,0.000368281019850568,0.0246095634456474,0.000570766678704894,0.000508023887058084,0.00458086828722552,4.48873888065754e-05,0.00744621885685215,0.00243673040698222,6.96883347151875e-05,0.000208480374699483,0.000252741025362861,0.000126664777252306,0.00100085793009502,0.0890197673544087,0.0661674930571114,0.000563996436110117,1.76046812599859e-13,1,0.204958259496182,0.0235655967704299,0.181450118289727,0.231129175431227,0.283293092192745,3.78608668394576,0.518878798822631,0.220879950894819,0.50898536524728,0.0345287606204426,0.0610345807938701,0.0588582223908748,0.116147224525313,0.0694934582331611,0.0235655967704299,0.0235655399539174
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230852171269691,0.00539817139641296,0.000635965200669107,0.00396519683193501,0.00046126738513997,0.00057031363815875,0.00253150345588843,9.90191608297368e-05,0.0155685887103961,0.0133200775524505,8.35128495407277e-05,0.000384013680168403,0.00203977729767513,0.0010223110662464,0.00146626243541192,0.0890197674662512,0.0440422146155177,0.00126507962652112,9.479443755377e-14,1,0.204958259496182,0.190189025424254,1.31915526439824,0.327658354865734,0.489204000514698,0.610030281836155,0.419333986490882,0.247962451373369,0.281278161765381,0.0761685852536437,0.127611382872099,0.32174100368238,0.13918808256788,0.128004560056134,0.190189025424254,0.190197407673749
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331198661399308,0.00293122021557676,0.000366971072610313,0.0131121237354221,0.000322895352973777,0.000381772568265296,0.00274728109458434,7.01759493003709e-05,0.00771620528502222,0.00264375653038299,5.88330941384507e-05,0.000215290915184853,0.000356723920880197,0.000178755298110028,0.00101988548559803,0.112970789658644,0.0559603833132568,0.000593209392238568,-6.7710312538407e-14,1,0.204958259496183,0.0332609716438412,0.189256377942462,0.177919284708757,0.282285440469471,2.01724980544955,0.293541229976161,0.165988073158824,0.305253454953816,0.0539814994618238,0.0632475843034608,0.0638588533908935,0.0980551568974178,0.0717636383949511,0.0332609716438412,0.0332567996483774
