"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209906822490979,0.00384822910508125,0.000228187814434153,0.00255088440848083,0.000433682921695705,0.000771437921166253,0.00217177015019626,0.000646068770528319,0.0239138337704919,0.0253414833191589,0.000162576133145375,0.000588047967483649,0.0514281750574481,0.0257739247070282,0.00224048353209611,0.0180593227733581,0,0.0306417369662343,2.99322832483655e-10,1.00000000000057,0.190898913542937,4.79516783752429,0.119946755709131,0.233579915331184,0.175529088026272,0.392443755150897,0.39425720154155,0.335407791811415,0.241307794466251,0.496975977329476,0.196015030905671,0.612113123651181,0.270960221908958,0.196015989161216,4.79516783752429,4.79514878270292
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143612514929367,0.00266794734009849,0.000141472412414118,0.00177120639115068,0.000294502223688071,0.00052010389781223,0.00143152782596111,0.000447343526185717,0.0154238688768039,0.0178547868153794,0.00010728515604726,0.000379279466399633,0.0379811418610472,0.0190346616697456,0.00144508306750073,0.0437259481550817,0.0371133533948752,0.00912327631406888,-2.36265411563578e-11,0.999999999999955,0.190898913543554,3.54136520848924,0.0820642942453525,0.161939140521911,0.108824932626245,0.272493290946258,0.267729294261883,0.226132129483578,0.159058647329012,0.344110404758244,0.126425154727901,0.431275043849744,0.1788085934121,0.126426488799878,3.54136520848924,3.5413324036736
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138080209302819,0.00301857467493521,0.0012977333226049,0.00225131267989313,0.000320208054978607,0.000964322962881249,0.00309608361695633,0.000334871705559489,0.0372227419571221,0.0403977703871526,0.000200593097175243,0.000915314362799862,0.0323674731731056,0.0162214779110689,0.00348734291577355,0.0110496091862355,0,0.0239454626050484,-3.35569581469993e-11,0.999999999999936,0.190898913543573,3.01794621660658,0.789029767444681,0.183221528068905,0.998256402003769,0.346355796906635,0.291098231798734,0.41927085342663,0.344009290772926,0.257593619661145,0.305104442271493,0.975791555245231,0.334321828625404,0.305104787599954,3.01794621660658,3.01794937880352
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138080209302819,0.00301857467493521,0.0012977333226049,0.00225131267989313,0.000320208054978607,0.000964322962881249,0.00309608361695633,0.000334871705559489,0.0372227419571221,0.0403977703871526,0.000200593097175243,0.000915314362799862,0.0323674731731056,0.0162214779110689,0.00348734291577355,0.0110496091862355,0,0.0239454626050484,-3.35569581469993e-11,0.999999999999936,0.190898913543573,3.01794621660658,0.789029767444681,0.183221528068905,0.998256402003769,0.346355796906635,0.291098231798734,0.41927085342663,0.344009290772926,0.257593619661145,0.305104442271493,0.975791555245231,0.334321828625404,0.305104787599954,3.01794621660658,3.01794937880352
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121681753223406,0.00266012715382159,0.00114362358946392,0.00197932731223478,0.000282184945600559,0.000851295224411592,0.00272574995756696,0.000295108400334804,0.0328022718187271,0.0356018898269997,0.00017677345083054,0.00080661634353366,0.0429793709052898,0.0215397450126885,0.00307322903067869,0.0100155800912604,0,0.0217978451573697,1.86278920181696e-10,1.00000000000036,0.190898913543153,4.00740055060977,0.695324304133751,0.161464470641675,0.879710453433788,0.304511894189966,0.256531768727781,0.370128358439823,0.302861106396329,0.227006461796003,0.26887108048137,0.859949029637673,0.294622418050901,0.26887211451122,4.00740055060977,4.0073944209653
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861105882762904,0.00188272508340466,0.000809380972015623,0.00142963806900329,0.000199720677822504,0.000602517472426822,0.00193002827731334,0.000208870659839393,0.0232143729675416,0.0251798891273986,0.000125113470204939,0.000570861392018657,0.0304197743392551,0.0152451396275002,0.00217509654720349,0.0359250586267592,0.0340424975671423,0.00832716983921499,-9.70796401852315e-11,0.999999999999815,0.190898913543694,2.83634259573474,0.492060504435945,0.11427769853746,0.622600747704326,0.219944318308199,0.181564252565913,0.261964118446445,0.214447586368149,0.160669738337995,0.190281745635587,0.608209882304315,0.208522450341565,0.190287130672886,2.83634259573474,2.83630504697679
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.7,0.00452896292150251,0.00435150379747724,0.000316135062725484,0.00755094197773555,0.000397869835551126,0.000378736165461944,0.00197082545246582,5.17942448775253e-05,0.00862509782346427,0.00430982382310925,5.51819628276017e-05,0.000216925362465791,0.000565832795035339,0.000283599783002419,0.000840617303189254,0.0890197656072203,0.0811478841396401,0.000346761438432174,-5.95850750337982e-13,0.999999999999999,0.204958259496184,0.0527583025673975,0.258797881228715,0.264127696356737,0.243180817481141,1.16168338119008,0.361699850501023,0.164667898026932,0.218980605829535,0.0398417268288656,0.0706975231431498,0.104102024712784,0.0919699380460029,0.0723084541552636,0.0527583025673975,0.0527627503260314
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00320337355546034,0.00380470205594032,0.000367963875742415,0.024607933410975,0.000570248622587159,0.000507915825857396,0.00458017379903746,4.48441602244912e-05,0.0074399273250188,0.00243477075047575,6.96227981751888e-05,0.000208301138043806,0.000252497585289756,0.000126542843137324,0.000999677115836399,0.089019767279528,0.0661620256615249,0.000557971693328017,-5.41682500307256e-14,1,0.204958259496183,0.0235428983953152,0.183049917454876,0.230937909313525,0.283049135186473,3.78583590938078,0.518407838715599,0.220832967764085,0.508908199893052,0.0344955078649932,0.0609830108608098,0.0588108876926509,0.116037996958648,0.0694337126812686,0.0235428983953152,0.0235428545371765
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0232179982947252,0.00538840813520543,0.000634817665622326,0.00396194869138864,0.000460447428385547,0.000569402333606877,0.00252849014255905,9.88444405540129e-05,0.0155403557781465,0.01329648410837,8.33647252398423e-05,0.000383319955708811,0.00203617831301152,0.00102050604321774,0.00146365215586986,0.0890197674692479,0.0440038455920808,0.00125042822323794,2.16673000122903e-12,1,0.204958259496178,0.18985345575865,1.32674275969858,0.327065744170284,0.488321281247943,0.609530567905945,0.418588571259588,0.24756623200299,0.280943349173228,0.0760341850415484,0.127379965394643,0.321171113728744,0.13894120873307,0.127773318569604,0.18985345575865,0.189861589435858
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00334082328503919,0.00292858032742812,0.000366636964759362,0.0131109029867898,0.000322576699121578,0.000381670120950773,0.00274673331816022,7.01047781092716e-05,0.00770934501562891,0.00264153797436439,5.87744205684958e-05,0.000215095967769307,0.000356361990016755,0.000178574033055153,0.00101865779044538,0.112970788551021,0.0559542444279822,0.000586850844972444,-4.06261875230441e-14,1,0.204958259496183,0.0332272251763874,0.190904187716525,0.177759048705804,0.282028434430279,2.01706199796766,0.29325154465598,0.165943530848162,0.305192590906691,0.0539267523917474,0.0631913525871222,0.0638052650812656,0.0979573676141597,0.0716986559231024,0.0332272251763874,0.0332230759172378
