"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209906824106165,0.00384822960516801,0.000228187829605684,0.0025508845698923,0.000433682950526537,0.000771437972444688,0.00217177029166732,0.000646068813443826,0.0239138353634168,0.0253414850226243,0.000162576143954218,0.0005880480066321,0.0514281784735473,0.0257739264200464,0.00224048364876691,0.0180593162982043,0,0.0306417338925132,-3.67847071542063e-12,0.999999999999993,0.190898913543516,4.79516815604171,0.119946756632094,0.233579945685463,0.17552909969668,0.392443779983431,0.394257227751397,0.335407814106386,0.241307810185257,0.496976010341404,0.196015043962432,0.612113164797688,0.270960239923697,0.1960160022107,4.79516815604171,4.79514910140398
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143612489496969,0.00266794760408353,0.000141472405998475,0.00177120631783335,0.000294502210338791,0.000520103874251401,0.00143152776343613,0.00044734350599805,0.0154238681709447,0.0178547859474058,0.000107285151182263,0.000379279449089174,0.0379811401471669,0.0190346608080008,0.00144508295868787,0.0437259533417982,0.0371133528152123,0.00912327617702498,4.51448678710714e-11,1.00000000000009,0.190898913543422,3.54136504868689,0.0820642797125535,0.161939156545283,0.108824927691134,0.272493279666669,0.267729282126174,0.22613211923974,0.159058640381793,0.344110389229269,0.12642514894217,0.431275022884197,0.178808585303771,0.126426483029725,3.54136504868689,3.54133224334898
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138080069409915,0.00301857222956085,0.00129773210930131,0.0022513108879801,0.000320207796368995,0.00096432218363808,0.00309608114366442,0.000334871432578817,0.0372227105504243,0.0403977389566927,0.000200592936014899,0.000915313488392658,0.0323674467848607,0.0162214647674254,0.00348734016753863,0.0110496086361826,0,0.0239455925318547,1.9860833981283e-11,1.00000000000004,0.190898913543471,3.01794375616417,0.789028968056658,0.183221379639505,0.998255468693315,0.346355521227708,0.291097996699086,0.419270514625252,0.344009015962714,0.257593409676013,0.305104184839543,0.975790796055379,0.334321560024831,0.305104496130886,3.01794375616417,3.01794693347448
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138080069409915,0.00301857222956085,0.00129773210930131,0.0022513108879801,0.000320207796368995,0.00096432218363808,0.00309608114366442,0.000334871432578817,0.0372227105504243,0.0403977389566927,0.000200592936014899,0.000915313488392658,0.0323674467848607,0.0162214647674254,0.00348734016753863,0.0110496086361826,0,0.0239455925318547,1.9860833981283e-11,1.00000000000004,0.190898913543471,3.01794375616417,0.789028968056658,0.183221379639505,0.998255468693315,0.346355521227708,0.291097996699086,0.419270514625252,0.344009015962714,0.257593409676013,0.305104184839543,0.975790796055379,0.334321560024831,0.305104496130886,3.01794375616417,3.01794693347448
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121681671422969,0.00266012615860215,0.00114362313978994,0.00197932653356591,0.000282184834108606,0.000851294888040171,0.00272574888308218,0.000295108283530337,0.0328022589653708,0.0356018763918837,0.000176773381025934,0.000806616026873143,0.0429793538936605,0.0215397364985653,0.00307322778794075,0.0100155789107616,0,0.0217979118243051,5.52933760108485e-11,1.00000000000011,0.190898913543403,4.00739896444387,0.695323836702678,0.161464410233818,0.879710107530724,0.304511774394755,0.25653166737146,0.370128212191379,0.302860987009131,0.227006371946413,0.26887097512599,0.859948705117964,0.294622301709889,0.268872008957714,4.00739896444387,4.00739283694237
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.0086110283052166,0.00188272235573662,0.000809379666845871,0.00142963581923353,0.000199720354232486,0.00060251649615355,0.00193002518983933,0.000208870320817968,0.0232143356705845,0.0251798500630308,0.000125113267609308,0.000570860472767784,0.0304197249635068,0.0152451149162005,0.00217509285247646,0.0359250653999518,0.0340426491682932,0.00832720826108414,-3.81223328689048e-11,0.999999999999927,0.190898913543581,2.83633799193537,0.492058760298091,0.114277532973391,0.622599743727593,0.219943972189773,0.181563958393169,0.261963693979804,0.214447243315481,0.160669477552283,0.190281439922824,0.608208938720551,0.20852211268218,0.190286824255928,2.83633799193537,2.83630044952567
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.7,0.0045093174179012,0.00435998376508002,0.000316250128148204,0.00755143731882883,0.000398010669578969,0.000378865093314889,0.00197106505619946,5.18115312625204e-05,0.00862819856606617,0.00431116743417949,5.52010183860954e-05,0.000217004272219733,0.000566021573749847,0.000283694622290762,0.000840909608545754,0.0890197673457355,0.0811527000807224,0.000346853993972226,2.03130937615221e-13,1,0.204958259496182,0.05277590431234,0.257675281022926,0.264642413661913,0.243269329344772,1.16175958751213,0.361827881435426,0.164723953615169,0.219007228466607,0.0398550240480926,0.0707229390661161,0.104134479086461,0.0920016973101591,0.0723347574065777,0.05277590431234,0.0527803948447929
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.0031733331519606,0.00382973124796054,0.000368062621571889,0.0246085662804018,0.000570463747595128,0.000508185814304587,0.00458050743355085,4.48709183981925e-05,0.00744168981477747,0.00243517758828471,6.96568861480987e-05,0.000208356443222148,0.000252648439928327,0.000126618085784892,0.000999930216332058,0.089019764136204,0.0661626443775171,0.00055805229224027,-1.35420625076813e-14,1,0.204958259496183,0.0235569640958813,0.181333322969177,0.232457131894418,0.283125093516838,3.78593327390796,0.518603406904662,0.220950354045472,0.508945270394539,0.0345160910755327,0.060997457498176,0.0588207146928673,0.116094810246831,0.0694521477407161,0.0235569640958813,0.0235568531692822
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230874889559223,0.00539970087314479,0.000636092906247756,0.0039655701865965,0.000461362385959071,0.000570530010202996,0.00253185116802214,9.9039724505921e-05,0.0155716530585492,0.0133218600216969,8.35300952278243e-05,0.00038409052793304,0.00204020093291913,0.00102252323278904,0.00146656396686699,0.0890197674991118,0.044043787516935,0.00125264643355156,2.16673000122903e-13,1,0.204958259496182,0.190228525213905,1.31928508319556,0.327751191086178,0.489302235575197,0.610087721014845,0.419420350871883,0.248056526175216,0.281316796446905,0.0761844034660931,0.127636500479912,0.321784058495095,0.139216825379707,0.12803017597768,0.190228525213905,0.190236880518891
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331113060326089,0.0029426434620542,0.000366915279302368,0.0131120641000242,0.000322899753001075,0.000382084675724811,0.00274728975856894,7.01839902881716e-05,0.00771477667600226,0.0026430987642235,5.88359344535115e-05,0.000215256455856679,0.000356765015104073,0.000178775385001605,0.00101947974510932,0.11297078857278,0.0559580892997372,0.000587182025690273,-4.19803937738124e-13,0.999999999999999,0.204958259496183,0.0332648032731071,0.189207463043479,0.17861265323546,0.282242522540283,2.01724063077296,0.293545230000977,0.166123772054265,0.305254417618771,0.0539876848370551,0.0632358743934612,0.0638429653194083,0.0980598907558525,0.0717521519522262,0.0332648032731071,0.0332605367444846
