"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209906820283236,0.00384822929099428,0.000228187831261996,0.00255088452232717,0.00043368294260727,0.000771437958349841,0.00217177025167195,0.000646068801600525,0.0239138349309383,0.025341484583375,0.000162576140986737,0.000588047995967919,0.0514281775307359,0.0257739259488608,0.00224048367452923,0.0180593149839358,0,0.0306417379527291,-1.02473761273852e-10,0.999999999999804,0.190898913543704,4.79516806813389,0.119946754447564,0.233579926615738,0.175529100970766,0.392443772665718,0.394257220552063,0.335407807978192,0.241307805741328,0.496976001231173,0.196015040417527,0.612113154187801,0.270960234977894,0.196015998655973,4.79516806813389,4.79514901374155
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.0014361248886261,0.00266794720704224,0.000141472412506541,0.00177120630574326,0.000294502208995034,0.000520103871861653,0.00143152775555672,0.000447343503854584,0.0154238681080599,0.0178547859572926,0.000107285150694953,0.000379279447491469,0.0379811399650311,0.0190346607199369,0.00144508304133116,0.0437259489465014,0.0371133568597604,0.00912327719324673,-1.26783654697502e-11,0.999999999999976,0.190898913543533,3.54136503170453,0.0820642793500628,0.16193913244566,0.108824932697339,0.272493277806655,0.267729280904576,0.226132118200719,0.159058639506302,0.344110387580449,0.12642514842672,0.431275023123009,0.178808584491588,0.126426482497156,3.54136503170453,3.54133222696501
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138080073730232,0.00301857232140255,0.00129773219640893,0.00225131093160315,0.000320207803351982,0.000964322204851313,0.00309608120303043,0.00033487144089846,0.0372227121705844,0.04039774021554,0.000200592940038712,0.000915313574076761,0.0323674475899008,0.0162214651386177,0.00348734018086192,0.0110496090475308,0,0.0239455872119045,-6.13708493667609e-11,0.999999999999883,0.190898913543626,3.01794383122619,0.789028992744182,0.183221385214115,0.998255535699177,0.346355527938946,0.291098003047256,0.419270523848397,0.344009022558937,0.257593416075738,0.305104198119544,0.975790826462318,0.334321566731187,0.305104524692254,3.01794383122619,3.01794700253353
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138080073730232,0.00301857232140255,0.00129773219640893,0.00225131093160315,0.000320207803351982,0.000964322204851313,0.00309608120303043,0.00033487144089846,0.0372227121705844,0.04039774021554,0.000200592940038712,0.000915313574076761,0.0323674475899008,0.0162214651386177,0.00348734018086192,0.0110496090475308,0,0.0239455872119045,-6.13708493667609e-11,0.999999999999883,0.190898913543626,3.01794383122619,0.789028992744182,0.183221385214115,0.998255535699177,0.346355527938946,0.291098003047256,0.419270523848397,0.344009022558937,0.257593416075738,0.305104198119544,0.975790826462318,0.334321566731187,0.305104524692254,3.01794383122619,3.01794700253353
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121681674766283,0.00266012617722269,0.00114362326062371,0.00197932658613831,0.000282184841872328,0.000851294911462079,0.0027257489569802,0.000295108291653074,0.032802259865402,0.0356018773612034,0.000176773385888851,0.000806616048910537,0.0429793550766575,0.0215397370912477,0.00307322793477525,0.0100155773056287,0,0.0217979089714109,-1.03157113541144e-10,0.999999999999803,0.190898913543705,4.00739907474662,0.695323855807329,0.161464411364048,0.879710200479775,0.304511782482817,0.256531674429389,0.370128222374817,0.302860995220022,0.227006378194672,0.268870982503295,0.859948728531482,0.294622309814751,0.268872016303512,4.00739907474662,4.00739294720887
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861102951541242,0.00188272230215892,0.000809380266468694,0.0014296360095796,0.000199720382400479,0.000602516581131887,0.00193002545556204,0.000208870350286467,0.0232143389378884,0.0251798537123408,0.000125113285252965,0.000570860553162206,0.0304197292552927,0.0152451170665102,0.00217509352142808,0.0359250591770435,0.0340426409935562,0.00832720617803985,-3.67847071542063e-12,0.999999999999993,0.190898913543516,2.83633839210188,0.492058829452138,0.11427752972133,0.622600204975918,0.219944001473784,0.181563984000435,0.261963730926907,0.214447272840227,0.16066950022036,0.190281466704003,0.608209026868136,0.208522142088275,0.190286851054069,2.83633839210188,2.83630084958329
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00404074509836974,0.00413585234599202,0.00031065882177933,0.0083180185944709,0.000395478681283141,0.00037821528828927,0.00212963163826255,5.18081886706821e-05,0.00829502325801563,0.00381330673958603,5.50288518899789e-05,0.000211533887508113,0.000566000864892416,0.000283632400136707,0.000836601502167179,0.100282766760729,0.070569312933962,0.000284643640178727,-2.8438331266131e-13,0.999999999999999,0.204958259496183,0.0527739734165423,0.230899719906842,0.251038078664159,0.238968324445638,1.27969516838014,0.359526073893765,0.164441429690987,0.236625737584728,0.0398524528236016,0.0679919939181609,0.092108858444107,0.0917147531499648,0.0705112958360377,0.0527739734165423,0.052768818630085
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317573755502238,0.00380833653931412,0.000369722908129782,0.0246098541522912,0.000570860370658877,0.000508497079310185,0.00458100161919527,4.48965699237588e-05,0.00744721727616331,0.00243701772296337,6.97012940891302e-05,0.000208509661021822,0.000252792691525123,0.00012669059622498,0.00100097450971512,0.0890197673259726,0.0661682065333832,0.000558475091278689,-2.03130937615221e-13,1,0.204958259496183,0.0235704141282166,0.18147071742985,0.231158515284621,0.284402237022909,3.78613140804481,0.518963973326252,0.221085686656602,0.509000179910585,0.034535823018276,0.0610427645587157,0.0588651623904196,0.116168823481884,0.0695032203406074,0.0235704141282166,0.0235703434837172
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230880057448746,0.00539905881683578,0.000636104102831664,0.00396550770116975,0.000461346648149368,0.00057051069357304,0.00253179326771212,9.90363891464683e-05,0.0155711143514553,0.0133218471798162,8.35272568025719e-05,0.000384077099527166,0.00204013223242363,0.00102248875950917,0.00146651373763374,0.0890197675059851,0.0440447322946903,0.00125269571404875,-1.01565468807611e-12,0.999999999999998,0.204958259496185,0.190222119573299,1.31931461399283,0.327712219534797,0.489310848332049,0.610078107872269,0.419406043772153,0.248048127640452,0.281310363079125,0.0761818378049756,0.127632084847994,0.321783748304738,0.139212094670953,0.128025699842389,0.190222119573299,0.190230466885427
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331242147866288,0.00293168685271827,0.000368291913831523,0.0131123546351175,0.000322961491636719,0.000382138173724229,0.00274739280138926,7.01919223368311e-05,0.00771739447599495,0.00264411199753084,5.88455966363508e-05,0.00021532566715779,0.000356805169766628,0.000178795895814355,0.00102003525232755,0.112970788573728,0.0559613052465717,0.000587412351236553,4.06261875230443e-14,1,0.204958259496182,0.0332685472975877,0.189281227352164,0.177947608662717,0.283301472178095,2.01728532847962,0.293601356033381,0.166147032054012,0.305265866821029,0.053993786412947,0.0632573317704504,0.0638674395538851,0.098075994393918,0.0717752223859301,0.0332685472975877,0.0332643527096474
