"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209906842299555,0.00384822969528291,0.000228187849075279,0.00255069315807963,0.000433682987363927,0.000771438037682271,0.00217174171557871,0.000646068866668533,0.0239138375461624,0.0253414880350362,0.00016257615780836,0.000588048059247859,0.0514281827080069,0.0257739285897711,0.00224048384081347,0.0180593090301959,0,0.0306419488437097,1.56298656880521e-11,1.00000000000003,0.190898913543479,4.79516855086311,0.119946767028317,0.23357995115526,0.175529114673291,0.392414332012251,0.394257261239933,0.335407842470553,0.241304635064301,0.496976051283487,0.19601506185379,0.612113237561261,0.270960263013933,0.196016019749286,4.79516855086311,4.7951495050737
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143615809965095,0.00266800890818196,0.000141475675630817,0.00177081745341558,0.000294509016168618,0.000520115892354201,0.00143154690926969,0.000447353835993756,0.0154242252100144,0.0178552027219146,0.000107287630672205,0.000379288224622697,0.0379820171911049,0.0190351005972971,0.00144511636057175,0.0437259557056836,0.0371111161680745,0.00912361794287763,4.95793879034955e-12,1.00000000000001,0.190898913543499,3.54144682434545,0.0820661771229114,0.161942877583124,0.108827442792936,0.272433454371628,0.267735469244198,0.226137344501826,0.159060767696632,0.344118335379812,0.126428075491922,0.431285089901318,0.178812717787009,0.126429408207566,3.54144682434545,3.54141406461342
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138080069277794,0.00301857221144846,0.00129773209152419,0.00225114614930542,0.00032020778962902,0.000964322163236172,0.00309604107196036,0.000334871424821971,0.0372227102575492,0.040397741031004,0.00020059293197213,0.000915313477992663,0.032367446034168,0.0162214644146411,0.00348734010210924,0.0110496091193445,0,0.0239457963451669,-7.56194711102874e-11,0.999999999999856,0.190898913543653,3.01794368616951,0.789028967301682,0.183221378540119,0.998255455018606,0.346330176816218,0.291097990571836,0.419270505754857,0.344004563551151,0.257593403709208,0.305104182438928,0.975790846159516,0.334321553286883,0.305104492664221,3.01794368616951,3.01794686784021
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138080069277794,0.00301857221144846,0.00129773209152419,0.00225114614930542,0.00032020778962902,0.000964322163236172,0.00309604107196036,0.000334871424821971,0.0372227102575492,0.040397741031004,0.00020059293197213,0.000915313477992663,0.032367446034168,0.0162214644146411,0.00348734010210924,0.0110496091193445,0,0.0239457963451669,-7.56194711102874e-11,0.999999999999856,0.190898913543653,3.01794368616951,0.789028967301682,0.183221378540119,0.998255455018606,0.346330176816218,0.291097990571836,0.419270505754857,0.344004563551151,0.257593403709208,0.305104182438928,0.975790846159516,0.334321553286883,0.305104492664221,3.01794368616951,3.01794686784021
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121681673650291,0.00266012613375102,0.00114362315495886,0.00197922762460664,0.000282184837046403,0.000851294896866751,0.00272572492467764,0.000295108286274118,0.0328022594753085,0.0356018777564628,0.000176773382928453,0.000806616038192435,0.042979354292772,0.0215397367168947,0.00307322782269908,0.0100155798040002,0,0.0217980310311993,-8.35579889388237e-11,0.99999999999984,0.190898913543668,4.00739900165706,0.695323849430235,0.161464408725403,0.879710119199125,0.304496557631791,0.256531670042185,0.370128216029022,0.302858324964182,0.227006374057014,0.268870979305807,0.859948738078811,0.294622304880755,0.268872012730812,4.00739900165706,4.0073928775618
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861124132581688,0.00188276844960958,0.000809399640990715,0.00142931537483889,0.000199725275919719,0.000602531343592289,0.00193005179308131,0.000208875465160223,0.0232149091908629,0.0251804786409188,0.000125116351296404,0.000570874566569837,0.0304204741776093,0.015245490549019,0.00217514647678464,0.035925055865459,0.0340399380861898,0.00832752096986433,-3.93291038941218e-11,0.999999999999925,0.190898913543584,2.83640784872814,0.492070932903822,0.114280330780551,0.622615108454396,0.219894673052136,0.18156843265429,0.261970149387952,0.214450199231257,0.160673434738633,0.190286140908712,0.608224121761323,0.208527252160673,0.190291522189946,2.83640784872814,2.83637033470121
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00404965282189084,0.00414337886199958,0.000310963428756104,0.00824677806815212,0.00039601935314054,0.000378706302638577,0.0021286725419178,5.18741219166191e-05,0.00830933573038048,0.00382199732212842,5.51014570834819e-05,0.000211872168607946,0.000566721052569838,0.000283994116390821,0.0008376857353035,0.100282766760231,0.0705973370932258,0.000285402559848453,1.08336500061451e-13,1,0.204958259496182,0.0528411237827355,0.231408732679477,0.251494923338366,0.239202637504695,1.26873508740802,0.360017593764127,0.164654914190686,0.2365191713242,0.0399031707050916,0.0681093092654137,0.0923187758968217,0.0918357618058031,0.0706240562026488,0.0528411237827355,0.052836114677362
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00319211059955008,0.00382611454933075,0.000369875985745988,0.0243757234162986,0.000572855032097767,0.000509920104265197,0.00457790600704832,4.50128114240353e-05,0.00748014904120544,0.00244918492478712,6.99073409231856e-05,0.000209387414025164,0.000253446696321922,0.000127019445822077,0.00100378730750382,0.089019767337726,0.0663147124065437,0.000561379075563819,-2.8438331266131e-13,0.999999999999999,0.204958259496183,0.0236313935964496,0.18240631997429,0.2322376054222,0.284519989035375,3.75011129481517,0.520777301907061,0.221704393158781,0.508656223005369,0.0346252395569503,0.0613126970590609,0.0591590561542783,0.116512234871976,0.0697958046750545,0.0236313935964496,0.0236315248041074
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0231082880800962,0.00540196361581319,0.000636409543336466,0.00394471591855861,0.000461583540506106,0.000570801499887527,0.00253094712129572,9.90866290007437e-05,0.0155796277889203,0.0133319116021749,8.35699806212049e-05,0.000384282664719905,0.00204116706772429,0.00102300795708126,0.00146726895145517,0.0890197674795658,0.0440199523944607,0.00125390766096775,-1.62504750092177e-12,0.999999999999997,0.204958259496186,0.190318607713221,1.32047360457692,0.32788853510247,0.489545802566513,0.60687937208594,0.419621400460096,0.24817456516849,0.281216346810636,0.0762204838467259,0.127701867122298,0.322026850294079,0.139283301035342,0.128094221573302,0.190318607713221,0.190327061782561
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00332539637590417,0.00294084726385677,0.000368136900221384,0.0129889897944102,0.000323661991908886,0.000382895679635492,0.00274488131419865,7.03254287039453e-05,0.00774252006646408,0.00265420777042721,5.89669850769896e-05,0.000215986484402638,0.000357483219785089,0.000179136752331082,0.00102199137269334,0.11297078855339,0.0560223022212423,0.000589741321530853,-1.35420625076814e-13,1,0.204958259496183,0.0333317687445305,0.190022650051667,0.178503627548211,0.283182230939526,1.99830612221695,0.294238174462623,0.166476382450214,0.304986812688739,0.0540964836184195,0.0634632792333121,0.0641112988025896,0.0982783084616493,0.0719954948008793,0.0333317687445305,0.0333277678755502
