"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209906808520925,0.00384822907554445,0.000228187812569034,0.00255088438662719,0.000433682918096938,0.000771437914670483,0.00217170179364723,0.000646068764627899,0.0239138336213973,0.0253414833974734,0.000162576131810901,0.000588047963472593,0.0514281745870083,0.0257739244867802,0.00224048337127137,0.0180593212155846,0,0.0306418080179102,-1.01034359689557e-10,0.999999999999807,0.190898913543701,4.79516779366045,0.119946747726243,0.233579913538358,0.175529086591565,0.392443751788798,0.394257198269944,0.335407788987166,0.241300199294137,0.496975972790692,0.196015029683585,0.612113125542835,0.270960219684836,0.196015987824198,4.79516779366045,4.79514874172655
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143620396266272,0.00266809411171814,0.000141480192871264,0.00177130143206536,0.000294518419391687,0.000520132498175148,0.00143157368623527,0.00044736811510808,0.0154247179978748,0.0178557749840866,0.000107291056293747,0.000379300340276567,0.0379832295353574,0.0190357083090342,0.00144516235681292,0.0437259473316937,0.0371072205721327,0.00912388864182227,-5.45082478739603e-11,0.999999999999896,0.190898913543613,3.54155986343659,0.0820687978664414,0.16194804926969,0.10883091759328,0.272507912625441,0.267744017628807,0.226144564423977,0.15906374291503,0.344129319313908,0.126432114736679,0.431298912659096,0.178818427156245,0.126433446758856,3.54155986343659,3.54152712726217
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138080057208436,0.00301857216148912,0.00129773182382698,0.00225131080072507,0.000320207781648474,0.000964322138909252,0.00309598604079972,0.000334871414803689,0.0372227076887258,0.0403977379381837,0.00020059292762692,0.000915313362536893,0.0323674450640886,0.016221463981116,0.00348734012524877,0.011049609934653,0,0.0239456946381833,5.21528634632957e-11,1.0000000000001,0.190898913543409,3.01794359571922,0.789028898333921,0.183221375507685,0.99825524909768,0.346355507803856,0.291097983316794,0.419270495177936,0.343998448977747,0.257593396002837,0.305104161382999,0.975790771453713,0.334321546044867,0.305104454178964,3.01794359571922,3.01794678718437
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138080057208436,0.00301857216148912,0.00129773182382698,0.00225131080072507,0.000320207781648474,0.000964322138909252,0.00309598604079972,0.000334871414803689,0.0372227076887258,0.0403977379381837,0.00020059292762692,0.000915313362536893,0.0323674450640886,0.016221463981116,0.00348734012524877,0.011049609934653,0,0.0239456946381833,5.21528634632957e-11,1.0000000000001,0.190898913543409,3.01794359571922,0.789028898333921,0.183221375507685,0.99825524909768,0.346355507803856,0.291097983316794,0.419270495177936,0.343998448977747,0.257593396002837,0.305104161382999,0.975790771453713,0.334321546044867,0.305104454178964,3.01794359571922,3.01794678718437
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121681671806123,0.00266012610244846,0.00114362314031766,0.00197932652983158,0.00028218483382719,0.000851294887172271,0.00272569186708724,0.000295108283064361,0.0328022590203438,0.0356018768761577,0.000176773380882126,0.00080661602753661,0.0429793538255408,0.0215397364739916,0.00307322768294106,0.0100155766338358,0,0.0217979707977212,1.03055337671547e-10,1.0000000000002,0.190898913543312,4.00739895809238,0.695323838892131,0.1614644068254,0.879710107936662,0.304511773820243,0.256531667115627,0.370128211814031,0.302854651898582,0.22700637158797,0.268870975576588,0.859948716815404,0.29462230147021,0.26887200917887,4.00739895809238,4.00739283237053
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861152974968793,0.00188283142383584,0.00080942672511769,0.00142971679122439,0.000199731955265722,0.000602551493677251,0.00193008786275227,0.000208882448959915,0.0232156863468064,0.0251813252244136,0.000125120535813975,0.000570893672368099,0.030421491290892,0.0152460003709314,0.00217521863219588,0.0359250626999112,0.0340355609414774,0.0083277953781988,-1.12098850655704e-11,0.999999999999979,0.19089891354353,2.83650268446546,0.492087414267882,0.114284153191857,0.622635942398223,0.219956429419137,0.18157450478702,0.261978910294457,0.214454206972474,0.160678806892243,0.190292511039397,0.60824457063801,0.208534226356625,0.190297890789366,2.83650268446546,2.83646518528956
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00405445064595764,0.00414910928377493,0.000311432061400272,0.00832207109408194,0.000396627450774739,0.000379285537715737,0.00212940439483944,5.19532163624656e-05,0.00832119293186322,0.00382637008447757,5.51859009417309e-05,0.000212185763261292,0.000567585108547726,0.000284427277984908,0.000838897252293528,0.100282766762525,0.070489648009465,0.000285666719915829,-1.62504750092177e-13,1,0.204958259496183,0.0529216884426784,0.231682894054723,0.251842748635808,0.239563124154056,1.28031862985876,0.360570409795217,0.164906755528581,0.236600488315493,0.039964012586512,0.0682064994415018,0.0924243981757867,0.0919765015695514,0.0707285877537641,0.0529216884426784,0.0529167028809132
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00319081654799466,0.003825831442366,0.000369972006727184,0.0246178377049006,0.000573290471348289,0.000510574822880905,0.00457625686869401,4.50776000748118e-05,0.00748087008994324,0.00244846132753639,6.99887305025754e-05,0.000209438745033509,0.000253811878607885,0.000127201677984228,0.00100414303095352,0.0890197672741979,0.0660737842192224,0.000561135057214822,-2.03130937615221e-13,1,0.204958259496183,0.0236654432268424,0.182332374171124,0.232220421387921,0.284593851328603,3.78735964690778,0.521173155771172,0.221989053426481,0.508472985410445,0.0346750769806245,0.0613186072946167,0.0591415779598162,0.116647884170959,0.0698129150111696,0.0236654432268424,0.023665428462182
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0231211133634949,0.00540578345703278,0.000636859768764461,0.0039677371187553,0.000461909639575458,0.000571204418821052,0.00253023458829339,9.91565275276659e-05,0.0155906280901056,0.0133401618114186,8.36289959585231e-05,0.000384554476775972,0.0020426069461338,0.00102372971296591,0.00146830599268035,0.0890197675039427,0.0439563336307832,0.00125454345314986,1.43545862581423e-12,1,0.20495825949618,0.190452862110377,1.32120647791399,0.328120391929152,0.489892129818816,0.610421095193124,0.419917854159507,0.248349747313501,0.281137176477044,0.0762742519443584,0.127792033525456,0.322226130710594,0.139381659930872,0.128184825591991,0.190452862110377,0.190461341947146
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00332722446350488,0.00294399361394539,0.000368558148759947,0.0131172942058324,0.000324215537080809,0.000383595775603035,0.00274461114078162,7.04570986013518e-05,0.00775013132024446,0.00265583744420137,5.9071900650797e-05,0.000216225553822537,0.000358152942785149,0.000179471825473188,0.00102310537522406,0.112970788553152,0.055875477313133,0.000590047283386526,1.76046812599859e-13,1,0.204958259496182,0.033394213779501,0.190127112200279,0.178694604791829,0.283506268276883,2.01804526243575,0.29474139734619,0.16678077200132,0.30495679342018,0.054197768154886,0.0635256665593808,0.0641506629034147,0.0984531677513283,0.0720751846075123,0.033394213779501,0.0333901070647791
