"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209906806930339,0.00384822904617155,0.000228187810936129,0.00255088436942737,0.000433682922286834,0.000771437909332293,0.00217177011692223,0.000646068760597855,0.0239138334058894,0.0253414829426121,0.000162576130652909,0.000588047958503178,0.0514281742669341,0.0257739243115149,0.00224048351228975,0.0180593225234491,0,0.0306417394873036,-3.23807198826612e-10,0.999999999999382,0.190898913544127,4.7951677638167,0.119946746817336,0.233579911755481,0.175529085335484,0.392443749142672,0.39425720207894,0.335407786666214,0.241307790769137,0.496975969690658,0.196015027917126,0.612113114555849,0.270960217754848,0.196015986167726,4.7951677638167,4.79514870911905
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143612484014095,0.00266794711696411,0.000141472400581995,0.00177120624902804,0.000294502209732627,0.000520103854312829,0.00143152770829281,0.000447343488770769,0.0154238675867473,0.0178547853433438,0.000107285147074405,0.000379279434677848,0.0379811386843755,0.019034660077757,0.00144508296607895,0.0437259505722978,0.0371133583015844,0.00912327756154288,1.07097293635527e-10,1.0000000000002,0.190898913543304,3.54136491229609,0.0820642765794828,0.161939126978095,0.108824923524612,0.272493269081238,0.267729281575115,0.226132110570795,0.159058634254756,0.344110375977515,0.126425144153666,0.431275008293328,0.178808578457342,0.126426478225949,3.54136491229609,3.54133210748968
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138080068473397,0.00301857224862328,0.0012977321003402,0.00225131087328117,0.000320207792702998,0.000964322177059536,0.00309608112292873,0.000334871430293195,0.0372227102977816,0.0403977386832376,0.00020059293464685,0.000915313482213992,0.0323674465639397,0.0162214646567463,0.00348734011437159,0.0110496089957818,0,0.0239455932224045,-9.64980637875366e-11,0.999999999999816,0.190898913543693,3.01794373556547,0.789028962705125,0.183221380796557,0.99825546180015,0.346355518966333,0.291097993366361,0.419270511765016,0.344009013658747,0.257593407917842,0.305104182768702,0.975790789450184,0.33432155774475,0.305104494071331,3.01794373556547,3.01794691288303
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138080068473397,0.00301857224862328,0.0012977321003402,0.00225131087328117,0.000320207792702998,0.000964322177059536,0.00309608112292873,0.000334871430293195,0.0372227102977816,0.0403977386832376,0.00020059293464685,0.000915313482213992,0.0323674465639397,0.0162214646567463,0.00348734011437159,0.0110496089957818,0,0.0239455932224045,-9.64980637875366e-11,0.999999999999816,0.190898913543693,3.01794373556547,0.789028962705125,0.183221380796557,0.99825546180015,0.346355518966333,0.291097993366361,0.419270511765016,0.344009013658747,0.257593407917842,0.305104182768702,0.975790789450184,0.33432155774475,0.305104494071331,3.01794373556547,3.01794691288303
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121681670939532,0.00266012609334946,0.00114362313511294,0.00197932652592617,0.00028218483439895,0.000851294884613128,0.00272574887230013,0.000295108282342019,0.0328022588328109,0.0356018762509806,0.000176773380314406,0.00080661602350612,0.0429793537205967,0.0215397364118492,0.0030732278193788,0.0100155791982253,0,0.0217979121839704,-6.27957115411135e-11,0.99999999999988,0.190898913543628,4.00739894830738,0.695323833940182,0.161464406273109,0.879710103933028,0.304511773219411,0.256531667635409,0.37012821070136,0.302860985811126,0.227006371032322,0.268870974039433,0.859948701714507,0.29462230052401,0.268872007835373,4.00739894830738,4.00739282080915
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861102820662394,0.00188272201516016,0.000809379657591744,0.001429635803552,0.000199720360570155,0.000602516489262807,0.00193002516815009,0.000208870318428712,0.0232143354050914,0.0251798497995358,0.000125113266178532,0.000570860466240601,0.0304197246155363,0.0152451147418405,0.00217509308227708,0.0359250656583838,0.0340426500132904,0.0083272084756583,7.13012663574023e-11,1.00000000000014,0.190898913543372,2.83633795949057,0.492058754664225,0.114277512301072,0.622599736609034,0.21994396977723,0.181563964154687,0.261963690983829,0.214447240905565,0.160669475714394,0.190281437746651,0.608208932355936,0.208522110297553,0.1902868220802,2.83633795949057,2.83630041708661
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00404075910945846,0.00413585011407078,0.000310489881666248,0.00831802163164731,0.000395512474152776,0.000378213688682649,0.00212963107153684,5.18079512495428e-05,0.00829501290214188,0.00381332314872245,5.50286299893539e-05,0.000211533498095136,0.000565998378429395,0.000283631170637814,0.000836585149290657,0.10028276589167,0.0705694487677787,0.000284646036962226,9.479443755377e-14,1,0.204958259496182,0.0527737415784983,0.230900520540484,0.251037943190942,0.238838370512498,1.27969563563805,0.359556794684342,0.164440734209848,0.236625674615204,0.039852270191956,0.0679919090339498,0.0921092548000593,0.0917143833155899,0.0705111660317119,0.0527737415784983,0.0527685898861049
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317582485935384,0.0038084473734202,0.000368344114535926,0.0246099075334262,0.000571519370248529,0.000508510241101292,0.00458102230303292,4.4897585629177e-05,0.00744743877964533,0.00243708614315437,6.97032214203195e-05,0.000208515953383344,0.000252798407771499,0.000126693481844738,0.00100089219476527,0.0890197673550219,0.0661684002512232,0.000558490327204335,4.06261875230443e-14,1,0.204958259496182,0.0235709471115617,0.181475706248791,0.231165242696218,0.283341626566097,3.78613962052711,0.519563063862299,0.221091409174475,0.509002478114769,0.0345366043301362,0.0610445801610273,0.0588668150520379,0.116172035700533,0.069505317794448,0.0235709471115617,0.023570880343207
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.023088060328629,0.00539903636804278,0.000636068035820882,0.00396550035458336,0.00046134434812453,0.000570508430948366,0.0025317864662875,9.90359988572336e-05,0.0155710496157883,0.0133218407617563,8.35269240651774e-05,0.000384075506170621,0.00204012419354265,0.00102248472480104,0.00146650787669806,0.0890197675130659,0.0440448406848587,0.00125270136414135,3.65635687707398e-13,1,0.204958259496182,0.190221370027287,1.31931773306451,0.327710856937347,0.489283104477601,0.610076977628209,0.419403952840482,0.248047143890594,0.281309607365278,0.0761815375824874,0.127631554227773,0.321783593279137,0.139211540108629,0.12802516872354,0.190221370027287,0.190229716242055
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331259654208196,0.00293179569831381,0.000367043837149077,0.0131123825302262,0.000323039488080241,0.000382139748527941,0.00274740013865376,7.01919759660743e-05,0.00771770316473165,0.00264424707055055,5.884603209796e-05,0.000215333390706934,0.000356805416233813,0.000178796064134115,0.00101994838043421,0.112970788571125,0.0559617576021032,0.000587443845066269,-2.57299187645947e-13,0.999999999999999,0.204958259496183,0.033268570278211,0.189291230976112,0.177954215375649,0.282341413191597,2.0172896200348,0.293672261891128,0.166147716751279,0.30526668207264,0.053993827666211,0.0632598620059971,0.0638707021872113,0.0980767201632667,0.0717777969023112,0.033268570278211,0.0332643840249516
