"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209906780749687,0.00384822856624285,0.000228187782456272,0.00255088403822825,0.000433682860907468,0.000771477387877124,0.00217176984128777,0.00064606867984461,0.0239138304300155,0.0253414798435093,0.000162576110360896,0.000588047885258774,0.0514281678386935,0.0257739210928754,0.00224048315173123,0.0180593082048481,0,0.0306417320216953,9.38809699979092e-11,1.00000000000018,0.190898913543329,4.79516716444695,0.119946731856964,0.233579882624756,0.175529063427901,0.392443698188962,0.394257146279516,0.335424951250924,0.241307760143086,0.496975907572777,0.196015003524717,0.612113039698292,0.270960183934827,0.196015961752925,4.79516716444695,4.7951481103024
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143612471294424,0.00266794688068285,0.00014147238804567,0.00177120609260838,0.000294502172957911,0.000520121491364871,0.00143152758162463,0.000447343449090659,0.0154238662226591,0.0178547837725521,0.000107285137567406,0.000379279401114256,0.0379811353153344,0.0190346583904489,0.00144508272967758,0.0437259471981798,0.0371133541148076,0.00912327649179971,2.53276521196156e-11,1.00000000000005,0.19089891354346,3.54136459816638,0.0820642693110994,0.161939112636288,0.108824913881285,0.272493245016674,0.267729248143555,0.226139778854292,0.159058620180514,0.344110345454353,0.126425132972615,0.431274970351501,0.178808562612343,0.126426467038085,3.54136459816638,3.5413317935719
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138080026657787,0.00301857131366592,0.00129773171798421,0.00225131018295982,0.00032020769569708,0.000964371338538847,0.00309608016947943,0.000334871327754528,0.0372226992720707,0.040397726539511,0.000200592872787306,0.000915313233927988,0.0323674366540014,0.0162214596752882,0.00348733908271336,0.0110496087934723,0,0.0239455910079204,-2.24052307211984e-11,0.999999999999957,0.190898913543551,3.0179428115619,0.789028723758782,0.18322132404649,0.99825516768016,0.346355412763049,0.291097905179164,0.419291886321238,0.344008907719936,0.257593329041945,0.305104092394022,0.975790496123455,0.33432145464551,0.305104411309329,3.0179428115619,3.01794598610014
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138080026657787,0.00301857131366592,0.00129773171798421,0.00225131018295982,0.00032020769569708,0.000964371338538847,0.00309608016947943,0.000334871327754528,0.0372226992720707,0.040397726539511,0.000200592872787306,0.000915313233927988,0.0323674366540014,0.0162214596752882,0.00348733908271336,0.0110496087934723,0,0.0239455910079204,-2.24052307211984e-11,0.999999999999957,0.190898913543551,3.0179428115619,0.789028723758782,0.18322132404649,0.99825516768016,0.346355412763049,0.291097905179164,0.419291886321238,0.344008907719936,0.257593329041945,0.305104092394022,0.975790496123455,0.33432145464551,0.305104411309329,3.0179428115619,3.01794598610014
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121681648125531,0.00266012563468377,0.00114362295439461,0.00197932618604071,0.000282184784360245,0.000851323669945383,0.00272574840321945,0.000295108231523043,0.0328022532209881,0.0356018704521163,0.000176773349849709,0.000806615907176296,0.0429793463204394,0.0215397327014388,0.00307322721360457,0.0100155787523604,0,0.0217979109489196,-5.49880484020586e-11,0.999999999999895,0.190898913543613,4.00739825831603,0.695323703574462,0.161464378433006,0.879709964918932,0.30451172092934,0.256531622145677,0.37014072606321,0.30286093369105,0.227006331940802,0.268870928040886,0.85994856164532,0.294622249749515,0.268871969058765,4.00739825831603,4.00739213050024
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861102653928437,0.0018827216504652,0.00080937950084003,0.0014296355341999,0.000199720313258418,0.000602536868950567,0.00193002479862229,0.000208870277961567,0.0232143309098435,0.0251798449933466,0.00012511324194236,0.000570860355689751,0.0304197187219229,0.0152451117884632,0.00217509222061504,0.035925066306899,0.0340426508381721,0.00832720868325586,-1.17449353514498e-10,0.999999999999776,0.190898913543733,2.8363374099695,0.492058659387678,0.114277490164808,0.622599616030792,0.219943928338447,0.181563921144016,0.261972551717638,0.214447199846921,0.160669444585821,0.190281400900357,0.608208816264412,0.208522069903934,0.190286785229917,2.8363374099695,2.83629986762106
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00404075517817989,0.00413581218096828,0.0003104856394919,0.00831799785237174,0.000395472247106536,0.000378277975873081,0.00212962098269248,5.18073399894598e-05,0.00829492303320353,0.00381332657026001,5.50279563233975e-05,0.000211530793719053,0.000565991706369365,0.000283627821087175,0.000836519740171445,0.100282766749613,0.0705696662231192,0.000284649505642984,-1.35420625076814e-13,1,0.204958259496183,0.052773119474999,0.230900295895994,0.251035640726451,0.238835107301461,1.27969197728796,0.359520224642306,0.164468685162209,0.236624553632497,0.0398517999918922,0.0679911724033077,0.0921093374458939,0.0917132605389958,0.0705102645730177,0.052773119474999,0.0527679667138931
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.0031759917931292,0.00380852143830302,0.000368340151763214,0.0246098427528395,0.000570850369640717,0.000508869165834629,0.00458098316164849,4.48945820962333e-05,0.00744746546352031,0.00243718671991447,6.96986634488345e-05,0.000208513967295075,0.000252781507143123,0.000126685007551875,0.00100037159829552,0.0890197673326949,0.0661689743052627,0.000558521515800819,-6.7710312538407e-14,1,0.204958259496183,0.0235693712953961,0.181485245321669,0.231169738288499,0.283338578279395,3.78612965428301,0.518954881491561,0.22124746340636,0.508998129072054,0.0345342939201795,0.061044798881314,0.0588692444423785,0.116164439081391,0.069504655765025,0.0235693712953961,0.0235693037305815
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230880633041419,0.00539901441181674,0.000636065475735644,0.00396549332835422,0.000461343039275639,0.000570602966588969,0.00253177996840958,9.90356278080355e-05,0.01557098534567,0.013321811094048,8.35266069542185e-05,0.000384073952653893,0.00204011655115426,0.00102248088794097,0.00146650230784032,0.0890197675090851,0.0440448930970361,0.00125270402166882,1e-28,1,0.204958259496182,0.19022065745028,1.31931790309382,0.327709524237738,0.489281135181264,0.61007589666988,0.419402762977853,0.24808824634303,0.281308885378842,0.0761812521600273,0.127631027423525,0.321782876667827,0.139211011590364,0.128024650884631,0.19022065745028,0.190229002407622
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331269866224165,0.0029317456691988,0.000367035399423389,0.0131123214514651,0.00032294834258759,0.000382411084542207,0.00274737300385422,7.01886824583663e-05,0.007717627506127,0.00264431160870671,5.88430187553136e-05,0.00021532907401153,0.000356788720174348,0.000178787669421958,0.00101947852382605,0.112970788541686,0.0559621186023866,0.000587463935315554,1.21878562569133e-13,1,0.204958259496182,0.0332670135360697,0.189297066413809,0.177951178707059,0.282334922633376,2.01728022330232,0.293589402352354,0.166265688931394,0.305263667094913,0.0539912941987434,0.0632592418535,0.0638722610798722,0.0980716979255227,0.0717763580038434,0.0332670135360697,0.0332628222180388
