"","X.7","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","X","X.1","X.2","X.3","X.4","X.5","X.6","scaling.factor","Fuinc","method.Fuinc","SMILES","dose","dose.units","Cmax","Cmax.units","Cmax.dose","reference","original.reference","link","note","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",10,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico","ChemAxon",0.46038090897104,0.630494285624997,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.52459936207841,0.934289864139962,1.11051112867399,1.01113462409689,1.3482643111865,0.90868415756447,0.924471898892929,0.645335892756447,0.694323822611902,0.831406847552336,0.765737650080683,"Berezhkovskiy",34.13947097,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",16.6,"mg/L",1.66,"Allen1987","Allen1987","https://www.tandfonline.com/doi/abs/10.3109/00498258709043997","Multiple doses given (ones a day). ",10,0.4,0.00376227264144152,0.0063100365959976,0.000594303148224268,0.00591966299848245,0.000612714818334701,0.000818359605233449,0.00398721921224763,0.000347025201226121,0.0334585086166613,0.0121182174052309,0.00018977618347641,0.000840044266849868,0.00443646367587953,0.00222309462464708,0.00327247905402379,0.0938224216862141,0.065537268775855,0.00461226006090566,2.40531347389494,1.00598556715477,0.242862128570931,0.413656286795294,0.214987008082373,0.38300677365691,0.457156267864822,0.910717384381916,0.557013471213365,0.355808524014543,0.443024356916403,0.266942462481632,0.274250070628371,0.292710565343741,0.316293639127349,0.280014755616623,0.413656286795294,0.41359899993434
"2",28,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico","ADMET",0.620936487159923,0.766145363595188,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,0.588327319,0.588327319,"ADMET","no",1,0,0,1,0.217198770423619,0.456864551122481,0.657821240218804,0.601584077889751,0.705156643001095,0.575259055206908,0.558106297611522,0.499268529225609,0.506384770751833,0.562582638076227,0.533659039590872,"RodgersRowland",34.13947097,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",16.6,"mg/L",1.66,"Allen1987","Allen1987","https://www.tandfonline.com/doi/abs/10.3109/00498258709043997","Multiple doses given (ones a day). ",1,0.3,0.00155919898368705,0.00308440855114861,0.00035091048271926,0.00400989382618587,0.000319308513988685,0.000506063289617163,0.00241260346122722,0.000267520376381046,0.0242937523563981,0.00835975660642611,0.000131728313452748,0.000609569765792368,0.00442067673983828,0.0022148936972804,0.002376139114623,0.119732867500359,0.0651136414410523,0.00463277353022886,1.78904175194783,1.00445198917529,0.244395706550406,0.412184311406832,0.0890970847821169,0.1872175144855,0.269931140553277,0.616906742490134,0.290280467262441,0.220027517224854,0.268067051247469,0.205784904908497,0.199129117675394,0.201926488077925,0.219547189087914,0.203189921930789,0.412184311406832,0.412073246005655
"3",31,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico","ChemAxon",0.46038090897104,0.630494285624997,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.468343729140795,0.774904064789725,0.848412763506334,0.753015353883486,1.05790676230525,0.666502080207662,0.650680718641096,0.397579802179423,0.467742861218671,0.716134065971391,0.495753588849626,"RodgersRowland",0.480919003,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,117.5,0.933,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",16.6,"mg/L",1.66,"Allen1987","Allen1987","https://www.tandfonline.com/doi/abs/10.3109/00498258709043997","Multiple doses given (ones a day). ",7,0.7,0.00826428678243536,0.0128755066734906,0.00111294006802719,0.00607920640513402,0.00117445312053123,0.00146521379924374,0.00640312696083288,0.000521584604487775,0.0573807185210567,0.0289639496708579,0.00030020117845744,0.0014136913478632,0.0108231423529931,0.0054243216374298,0.0053955407734251,0.0451425911744253,0.0104376316084129,0.0198537238164133,10.3741628609002,1.02581586523018,0.223031830495517,1.00915080214388,0.472244958996306,0.781517855750566,0.856107744636304,0.935262523866772,1.06768465502839,0.637049477932062,0.711458551203654,0.401218926529057,0.470333758369317,0.699612310890287,0.500335297429067,0.471230449287734,1.00915080214388,1.00917611859159
"4",34,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico","ChemAxon",0.46038090897104,0.630494285624997,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.468343729140795,0.774904064789725,0.848412763506334,0.753015353883486,1.05790676230525,0.666502080207662,0.650680718641096,0.397579802179423,0.467742861218671,0.716134065971391,0.495753588849626,"RodgersRowland",34.13947097,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",16.6,"mg/L",1.66,"Allen1987","Allen1987","https://www.tandfonline.com/doi/abs/10.3109/00498258709043997","Multiple doses given (ones a day). ",5,0.4,0.00390390850358197,0.00608473717679684,0.000526456093167311,0.00470518991421152,0.000555573528384355,0.000692980936104089,0.00308748205324442,0.000246622586864713,0.026922182903552,0.0127110957976643,0.000142007366652095,0.000666494701796832,0.00511749592719145,0.00256503196171608,0.00255259242488101,0.0938224218997846,0.0720126998034297,0.00545336314905312,2.84485615869472,1.00707935899762,0.241768336728076,0.477155797407128,0.22308048591897,0.369331543356409,0.404966225513316,0.723875371417156,0.505066843985777,0.301296059175691,0.343053561471602,0.189709682203625,0.220673630356983,0.30703129946049,0.236678944420158,0.222164900598944,0.477155797407128,0.477215248691364
"5",38,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico",NA,0.97,0.984771573604061,"in vitro","httk","Shibata 2002","neutral",NA,NA,0.588327319,0.588327319,"ADMET","no",1,0,0,1,0.339298481676515,0.713693950593486,1.02761975855334,0.939768507117488,1.10156506801459,0.898644700527941,0.871849407914964,0.779935602695724,0.791052286000985,0.878842152487962,0.833658963690154,"RodgersRowland",0.480919003,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,117.5,0.949,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",14.738,"mg/L",1.474,"Mey1987","Mey1987","https://link.springer.com/article/10.1007/BF03189863","",12,0.6,0.004123402491833,0.00816137757113312,0.000927845810233475,0.00607245132876893,0.000842759917491241,0.00127751994450617,0.00628101105081956,0.000705483257022273,0.0655746283996223,0.0233935890377818,0.000347802425557536,0.00162982885617633,0.00746252673198869,0.00373973555012614,0.0062812045570295,0.0576093768675777,0.0143425415999993,0.0247866647920813,6.14349491618442,1.01528794553595,0.233559750189748,0.695806688297314,0.235622999533314,0.495379518733421,0.713727546333442,0.934223281349066,0.766145379537492,0.555443454133116,0.697890116757728,0.542679428478672,0.537496954095265,0.565062537144489,0.579670709262559,0.54327628539211,0.695806688297314,0.69576475351184
"6",42,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico",NA,0.97,0.984771573604061,"in vitro","httk","Shibata 2002","neutral",NA,NA,0.588327319,0.588327319,"ADMET","no",1,0,0,1,0.339298481676515,0.713693950593486,1.02761975855334,0.939768507117488,1.10156506801459,0.898644700527941,0.871849407914964,0.779935602695724,0.791052286000985,0.878842152487962,0.833658963690154,"RodgersRowland",34.13947097,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",14.286,"mg/kg bw",29,"mg/L",2.03,"Greenblatt1988","Greenblatt1988","https://www.ncbi.nlm.nih.gov/pubmed/3353439","",9,0.3,0.00148826788335556,0.00294211881691699,0.000335010993860714,0.0053317879142436,0.000305255864003482,0.000462928239245751,0.00249449136797948,0.000255746970576017,0.0220548687204585,0.00702922980966418,0.000125910206178211,0.00056737585048551,0.00270530958880798,0.00135557471149369,0.00226906932453697,0.119732867477384,0.0720305240044437,0.00455795688676297,1.12655296530915,1.0028034010953,0.246044294630397,0.252243318303775,0.0850438790488889,0.178580808310591,0.257700764508242,0.820275063729784,0.277505330912256,0.201273147498153,0.277165707553275,0.196728438904628,0.180777612462774,0.169788159653724,0.209850343630352,0.18912528349517,0.252243318303775,0.252199946324407
"7",45,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico",NA,0.97,0.984771573604061,"in vitro","httk","Shibata 2002","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.986777254871506,1.63268483216923,1.78756407358655,1.58656637178222,2.22895761903787,1.40428715598358,1.37095233802941,0.837681074979121,0.985511250492495,1.50885926595178,1.04452846879043,"RodgersRowland",0.480919003,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,117.5,0.933,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",14.286,"mg/kg bw",29,"mg/L",2.03,"Greenblatt1988","Greenblatt1988","https://www.ncbi.nlm.nih.gov/pubmed/3353439","",4,0.7,0.00922696629809306,0.0143869735633265,0.001246201349532,0.00800471283927401,0.0013162159917243,0.00154058225271801,0.0076779638209271,0.000584549197076447,0.0632959324231861,0.0288328758891929,0.000336441021155471,0.00157271824719947,0.00575697193247719,0.00288527800976141,0.00604529995345811,0.0451425184084194,0.0140577675064364,0.0228426237542478,5.66414859755419,1.01409510326749,0.234752592458206,0.536780599764773,0.527255217033889,0.873260914314203,0.95861642271692,1.23149428296523,1.19655999247663,0.669818370746962,0.853107091214122,0.449653228520344,0.518819118222837,0.696446277516738,0.560735035259118,0.524239415733158,0.536780599764773,0.53679590879282
"8",70,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico",NA,0.97,0.984771573604061,"in vitro","httk","Shibata 2002","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,38.4296748413392,4.16575138913718,6.25426872841966,3.78344713562417,5.43116223653113,3.46038840280806,3.20884090323451,1.41343325253956,2.00120413871226,5.47027203335206,2.1556185247837,"Schmitt",34.13947097,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",16.6,"mg/L",1.66,"Allen1987","Allen1987","https://www.tandfonline.com/doi/abs/10.3109/00498258709043997","Multiple doses given (ones a day). ",6,0.3,0.00736399887924768,0.00664406330397637,0.000837074264951269,0.0198491066815419,0.000758472538758028,0.000908085627334531,0.00752744586950973,0.000236638636855868,0.0192091694646789,0.00591766571476538,0.000165052036611591,0.00054982451025128,0.00138129861007821,0.000692107974372924,0.00285077161586429,0.11973286744154,0.0507836419561435,0.0021312853037657,0.526074911657865,1.00130912529545,0.247538570430247,0.128792411196103,0.42079993595701,0.403281535901449,0.643903280731746,3.05370872023721,0.689520489780025,0.394819837971535,0.83638287438997,0.18202972065836,0.157452208726876,0.142938785380806,0.275086727685985,0.183274836750427,0.128792411196103,0.128764274301939
"9",75,"Bosentan","147536-97-8",0.634343649481994,0.841369835225474,"in silico","ADMET",0.0132406099630016,0.0261351742770853,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",6.14,3.24,4.06953122,2.786720941,"ADMET","no",0.0520912615983965,0.947908550672625,6.91783111219646e-05,6,16.2940320333945,7.85573232641574,6.68632305738304,5.81103354926847,10.0042578826178,4.49111136443316,4.86727173954958,0.855190539222372,1.82430664424744,4.30443120253143,2.3327183565618,"Berezhkovskiy",1.892523364,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,117.5,0.793,"in silico","COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1",0.893,"mg/kg bw",0.617,"mg/L",0.691,"Giersbergen2002","Giersbergen2002","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1874330/","Multiple doses given (ones a day). ",8,3.6,0.0451183945177847,0.0221399448603006,0.00149043899792895,0.00759369845442344,0.00188785944199326,0.00176950536554736,0.0080531145471266,0.000190738524177173,0.038129900259233,0.029466664095189,0.000240126469477556,0.000938264448811713,0.00184004919943175,0.000922169679252341,0.00357731327807466,0.0214366066297782,0.00128786245996296,0.000524036636780216,11.2843460496699,1.0237357709411,0.186606687865273,0.171566358921376,2.57819397244484,1.34385097786346,1.14649153686842,1.16826130068053,1.71623585635751,0.769350158933633,0.894790505236288,0.146721941674749,0.312540166059287,0.711755171381376,0.400210782462593,0.312754816270571,0.171566358921376,0.171566451953924
"10",122,"Bosentan","147536-97-8",0.634343649481994,0.841369835225474,"in silico","ChemAxon",0.00617024358399359,0.012264810300919,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,56.5957112680307,13.8374386159819,11.6039349150867,10.0519196510243,17.5323050506519,7.69513851654183,8.37629205614578,1.19073130211642,2.93609398857707,7.39750982952236,3.82758302461222,"Berezhkovskiy",65.76279075,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1",2.857,"mg/kg bw",3.229,"mg/L",1.13,"Weber1999","Weber1999","https://accp1.onlinelibrary.wiley.com/doi/epdf/10.1177/00912709922008344","Multiple doses given (ones a day). 1000 mg dose omitted from the dataset due to saturation",9,2.5,0.0419000263825636,0.0221760459627967,0.00150956695948634,0.0105868250458923,0.00193768051865946,0.00177803504351929,0.00952056501809301,0.000155613084435474,0.0356082876131134,0.0237232233485376,0.000230866713501001,0.000880920105780245,0.00107816648839264,0.000540342357877496,0.00337315326247124,0.0430722049493696,0.00279939500614333,9.64815286567892e-05,4.45704565320741,1.00937505941708,0.20096739938929,0.100528343906073,2.39428722186078,1.34604224356885,1.16120535345103,1.62874231475267,1.76152774423588,0.773058714573606,1.05784055756589,0.119702372642673,0.291871209943552,0.573024718563711,0.384777855835002,0.293640035260082,0.100528343906073,0.100528810767906
