"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.002099069639386,0.0038482319259501,0.000228187981100334,0.00255088625611226,0.000433683238007994,0.000771438483718968,0.0021717717318158,0.000646069238943896,0.0239138564017088,0.0253414915199541,0.000162576251829741,0.000588048422330291,0.0514282123473888,0.0257739434749973,0.00224048503063112,0.0180593197055132,0,0.0306416418938938,1.18408954570694e-10,1.00000000000023,0.190898913543282,4.79517131444185,0.119946836536343,0.233580086552358,0.175529216231026,0.392444039401886,0.394257489098176,0.335408036399551,0.241307970201756,0.496976337649151,0.196015216407449,0.612113321738022,0.270960419716235,0.196016140776764,4.79517131444185,4.7951522744181
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143612692468261,0.0026679509889452,0.000141472606131818,0.00177120875676455,0.000294502627029773,0.000520104610323577,0.00143152976565603,0.000447344140033098,0.0154238965155487,0.0178548106581573,0.000107285302956243,0.000379279984275501,0.037981193980681,0.0190346877530648,0.00144508485982964,0.0437259489492171,0.0371132380283193,0.00912324709197471,-4.31675081189086e-11,0.999999999999918,0.190898913543591,3.54137006812876,0.0820643956961489,0.161939361999709,0.10882508163986,0.272493654886854,0.267729660936157,0.226132439271121,0.15905886285067,0.344110876948537,0.12642538127499,0.431275619762253,0.178808838260405,0.126426661425167,3.54137006812876,3.54133725638415
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138080266750672,0.00301857654837952,0.00129773416643025,0.00225131407423356,0.000320208256117548,0.000964323568876172,0.00309608554206648,0.000334871917605406,0.0372227685974173,0.0403977948578408,0.000200593222603312,0.00091531502590336,0.0323674936709811,0.0162214881293139,0.00348734515733867,0.0110496092591934,0,0.0239453648741367,2.06459621181711e-12,1,0.190898913543505,3.0179481278304,0.789030095718125,0.183221641783279,0.998257051100192,0.346356011420547,0.291098414652316,0.419271116902683,0.344009504674054,0.257593782773389,0.305104660634568,0.975792146324657,0.334322037672187,0.305105008634454,3.0179481278304,3.01795127987235
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138080266750672,0.00301857654837952,0.00129773416643025,0.00225131407423356,0.000320208256117548,0.000964323568876172,0.00309608554206648,0.000334871917605406,0.0372227685974173,0.0403977948578408,0.000200593222603312,0.00091531502590336,0.0323674936709811,0.0162214881293139,0.00348734515733867,0.0110496092591934,0,0.0239453648741367,2.06459621181711e-12,1,0.190898913543505,3.0179481278304,0.789030095718125,0.183221641783279,0.998257051100192,0.346356011420547,0.291098414652316,0.419271116902683,0.344009504674054,0.257593782773389,0.305104660634568,0.975792146324657,0.334322037672187,0.305105008634454,3.0179481278304,3.01795127987235
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121681759236165,0.00266012803632388,0.00114362398373438,0.00197932796389561,0.000282185039222165,0.000851295506858503,0.00272575085901307,0.000295108498239503,0.0328022879484293,0.0356018991996878,0.000176773509479341,0.000806616625855553,0.0429793851638547,0.021539752158851,0.00307322992023592,0.010015578388527,0,0.0217977948174701,1.12200626525301e-10,1.00000000000021,0.190898913543294,4.00740188007969,0.695324338492371,0.161464524207823,0.879710756718754,0.304511994445478,0.256531853838332,0.370128481242828,0.302861206557008,0.22700653710731,0.268871212692043,0.859949256031106,0.294622515798902,0.268872208618518,4.00740188007969,4.00739575048391
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861105224064409,0.0018827273283538,0.000809381934003034,0.00142963973095442,0.000199720916237635,0.000602518191723687,0.00193003055467729,0.000208870909595944,0.0232144271033617,0.0251799173983361,0.000125113619479266,0.00057086206966404,0.0304198107142516,0.015245157833814,0.00217509838502354,0.0359250579246977,0.0340423852950373,0.00832714139368321,-1.5702562737764e-11,0.99999999999997,0.190898913543538,2.83634598734281,0.492060128036805,0.114277834801444,0.622601487694642,0.219944573992987,0.181564469306941,0.261964431184212,0.214447839408588,0.160669930458419,0.190282189371817,0.608210565177202,0.20852269913211,0.19028735655468,2.83634598734281,2.83630843419794
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.7,0.00450913083867868,0.00435325077384367,0.000316283664238339,0.00755160732805468,0.000398060937790407,0.000378914456982884,0.00197115145776456,5.18183192505793e-05,0.00863794421211354,0.00431091241796866,5.52081616773324e-05,0.000217024371303175,0.00056609573547165,0.000283731774520676,0.000841006932790228,0.0890197673441426,0.0811495493456806,0.000346801423908936,6.22934875353345e-13,1,0.204958259496181,0.0527828191581958,0.257664619353067,0.264233734375943,0.243295126337184,1.16178574277764,0.36187357980946,0.164745416079515,0.219016828640506,0.0398602455773687,0.0708028214107667,0.104128319274605,0.0920136027955541,0.0723414571010584,0.0527828191581958,0.0527873068875676
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317186337596487,0.00380393907954521,0.000367937334714606,0.0246080435939587,0.000570336554081633,0.000508155357039786,0.00458038115302566,4.48710000529544e-05,0.00747583180474883,0.00243409377151802,6.9649713090346e-05,0.00020828488776537,0.000252649082298801,0.000126618087756225,0.000999156070725079,0.0890197673300858,0.0661588897982454,0.0005577915015652,1e-28,1,0.204958259496182,0.0235570239905642,0.181249335769421,0.230891598151454,0.283028719011236,3.78585286060903,0.518487776437848,0.220937111756429,0.508931239225073,0.034516153886888,0.0612773098749904,0.0587945355439135,0.116082855150577,0.06942829592179,0.0235570239905642,0.0235568535360419
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230857172729877,0.00539978155999951,0.000636156384089055,0.00396575326999251,0.000461408630599054,0.000570586965245631,0.00253202105741516,9.90495797444775e-05,0.0155755479453711,0.0133217008646648,8.35384509943748e-05,0.000384128719839063,0.00204040393569112,0.00102262505065984,0.00146671115970768,0.0890197674947499,0.0440408672555137,0.001252493898915,1.39483243829119e-12,1,0.20495825949618,0.190247453211294,1.31918384417072,0.32775608861909,0.489351064683889,0.610115887691155,0.419462391453686,0.248081289237231,0.281335673046129,0.0761919844188288,0.12766842578173,0.321780214122338,0.139230751657291,0.128042906613021,0.190247453211294,0.190255823378575
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00330815725140741,0.0029283216103516,0.000366619499651857,0.0131112434638432,0.000322701522256817,0.000381884896454308,0.00274696372522982,7.0150927469124e-05,0.00774571793331293,0.00264074449261412,5.88025826474224e-05,0.000215081262295384,0.000356597420884994,0.000178690673985744,0.00101826458121074,0.112970788302886,0.0559508758350008,0.000586653514680108,-4.06261875230441e-14,1,0.204958259496183,0.0332491767724936,0.189037557223281,0.177743345089627,0.282014999732198,2.0171143790528,0.29336502023347,0.166036911501873,0.305218191692202,0.0539622518993262,0.0634894912566634,0.0637860988554135,0.0980043044123706,0.0716937540984613,0.0332491767724936,0.0332447765554872
"11",77,"Alprazolam","28981-97-7",1.02186164376522,0.77556854978277,"in silico","BASF",0.117358450682223,0.210064103619689,"in silico","LobellSivarajah","LobellSivarajah","diproticBase",1.45,5.01,3.02,3.02,"BASF","No",0.999998873411933,0,1.12658806705745e-06,5,10.1105143655981,6.8007005355188,5.83744499812173,5.08036268172742,8.68532701193321,3.94618020515866,4.26734129237374,0.824824799433744,1.6534868169817,3.77600370350312,2.09534411391598,"Berezhkovskiy",28.86875,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",125,0.747,"in silico",7,"mg/kg",0.091523255,"mg/L","httk","Wang 1999",NA,NA,NA,1,1.3,0.0159907309526578,0.0125542646953837,0.000871350173425984,0.00764623661005023,0.00110123525343979,0.00103251703705442,0.00501902472232346,0.000123636726288716,0.0229424741857968,0.0140059658560676,0.000144974313651923,0.0005682929973054,0.00123662642746857,0.000619764634709133,0.00217898423973924,0.0513611410330986,0.0553953622836816,0.00109955530354893,2.86299134985843e-13,1,0.193892137445692,0.115303163400332,0.91375605443759,0.762019101388998,0.670269364173834,1.17634409385388,1.00112295767253,0.448920450893228,0.557669413591496,0.095105174068243,0.188053067096695,0.338308354011294,0.241623856086538,0.1894309991018,0.115303163400332,0.115305048317978
"12",85,"Alprazolam","28981-97-7",1.02186164376522,0.77556854978277,"in silico",NA,0.35,0.518518518518518,"in vitro","httk","Pearce 2017","diproticBase",1.45,5.01,3.02,3.02,"BASF","No",0.999998873411933,0,1.12658806705745e-06,5,27.4754235176103,12.1045293029846,10.2161595306576,8.85789527039348,15.3690575936671,6.80720571044609,7.39759617290237,1.15102972477007,2.66444311683577,6.53560233885009,3.44697240416337,"Berezhkovskiy",28.86875,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",125,0.747,"in silico",7,"mg/kg",0.091523255,"mg/L","httk","Wang 1999",NA,NA,NA,6,0.9,0.00725123106062317,0.00729450111568822,0.00058527111186161,0.0133036243142724,0.000781768823814699,0.000699448392293093,0.00469801416453034,6.96644586512918e-05,0.0133936217206043,0.00566222555299004,9.61997767955698e-05,0.000348372463460273,0.000499318422755733,0.000250243821936906,0.00141371803400254,0.0772947891094674,0.0593706939893407,0.000879431112604403,-1.43149567492921e-13,1,0.193892137445693,0.0465564962942408,0.414356060607038,0.442761827962866,0.450208547585854,2.04671143296498,0.710698930740635,0.304107996649171,0.522001573836704,0.0535880451163783,0.109783784595117,0.136768733164011,0.16033296132595,0.116124154486758,0.0465564962942408,0.0465569901277964
"13",86,"Alprazolam","28981-97-7",1.02186164376522,0.77556854978277,"in silico",NA,0.35,0.518518518518518,"in vitro","httk","Pearce 2017","diproticBase",1.45,5.01,3.02,3.02,"BASF","No",0.999998873411933,0,1.12658806705745e-06,5,27.4754235176103,12.1045293029846,10.2161595306576,8.85789527039348,15.3690575936671,6.80720571044609,7.39759617290237,1.15102972477007,2.66444311683577,6.53560233885009,3.44697240416337,"Berezhkovskiy",28.86875,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",125,0.747,"in silico",12.5,"mg/kg",0.206793079,"mg/L","httk","Wang 1999",NA,NA,NA,8,0.9,0.00725123106062317,0.00729450111568822,0.00058527111186161,0.0133036243142724,0.000781768823814699,0.000699448392293093,0.00469801416453034,6.96644586512918e-05,0.0133936217206043,0.00566222555299004,9.61997767955698e-05,0.000348372463460273,0.000499318422755733,0.000250243821936906,0.00141371803400254,0.0772947891094674,0.0593706939893407,0.000879431112604403,-1.43149567492921e-13,1,0.193892137445693,0.0465564962942408,0.414356060607038,0.442761827962866,0.450208547585854,2.04671143296498,0.710698930740635,0.304107996649171,0.522001573836704,0.0535880451163783,0.109783784595117,0.136768733164011,0.16033296132595,0.116124154486758,0.0465564962942408,0.0465569901277964
"14",89,"Alprazolam","28981-97-7",1.02186164376522,0.77556854978277,"in silico","ADMET",0.165990606531274,0.284720315243504,"in silico","LobellSivarajah","LobellSivarajah","diproticBase",0.93,3.01,2.629403412,2.629385664,"ADMET","No",0.999999661142155,0,3.38857845116891e-07,5,5.17819360478764,5.34056659138238,4.49115128323408,3.83362796708147,6.59033959623687,3.02504779050023,2.98332673657609,0.46138500473504,1.23959954583528,3.72791805127659,1.34007800185214,"RodgersRowland",28.86875,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",125,0.819,"in silico",7,"mg/kg",0.091523255,"mg/L","httk","Wang 1999",NA,NA,NA,9,1.1,0.00991395178834901,0.0103489507470585,0.000701731018625213,0.00649651909195779,0.000874356186835046,0.00082351070287958,0.0036094187546846,7.23677474253261e-05,0.0180445262064355,0.0134732865730643,9.70181260243236e-05,0.000446262478953098,0.00129400158144275,0.000648519224601649,0.00170929853175258,0.0630075281249329,0.060961857251015,0.00136903330965681,-7.15747837464606e-13,0.999999999999999,0.193892137445694,0.12065282810655,0.5665115307628,0.628160895117361,0.539793091250164,0.999464475685813,0.794869260759132,0.358048131686774,0.401046528298289,0.0556674980194817,0.147905952511766,0.325441704663388,0.161696876707206,0.148754159651033,0.12065282810655,0.120654739460772
