"","X.7","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","X","X.1","X.2","X.3","X.4","X.5","X.6","scaling.factor","Fuinc","method.Fuinc","SMILES","dose","dose.units","Cmax","Cmax.units","Cmax.dose","reference","original.reference","link","note","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",10,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico","ChemAxon",0.46038090897104,0.630494285624997,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.52459936207841,0.934289864139962,1.11051112867399,1.01113462409689,1.3482643111865,0.90868415756447,0.924471898892929,0.645335892756447,0.694323822611902,0.831406847552336,0.765737650080683,"Berezhkovskiy",34.13947097,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",16.6,"mg/L",1.66,"Allen1987","Allen1987","https://www.tandfonline.com/doi/abs/10.3109/00498258709043997","Multiple doses given (ones a day). ",10,0.5,0.00409783848816637,0.00687113457500703,0.00064486932195426,0.00544920030775492,0.000662198551356479,0.00088340034685711,0.00391722175476647,0.00037422703838603,0.0372505977479094,0.0141236779017552,0.000205155996956334,0.000924675327371682,0.00478402267221361,0.00239798940026412,0.00354495834292156,0.0735190531788507,0.0835831054372006,0.00648352519332708,-0.349272214390281,0.99913084414268,0.249716851583019,0.446062720019917,0.234162199323793,0.417064314112718,0.4960533245802,0.838338508885373,0.601998683051345,0.384087107329178,0.435246861640719,0.287866952604639,0.305332768425487,0.341151640139016,0.34192666159389,0.308225109123894,0.446062720019917,0.446137562839837
"2",28,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico","ADMET",0.620936487159923,0.766145363595188,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,0.588327319,0.588327319,"ADMET","no",1,0,0,1,0.217198770423619,0.456864551122481,0.657821240218804,0.601584077889751,0.705156643001095,0.575259055206908,0.558106297611522,0.499268529225609,0.506384770751833,0.562582638076227,0.533659039590872,"RodgersRowland",34.13947097,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",16.6,"mg/L",1.66,"Allen1987","Allen1987","https://www.tandfonline.com/doi/abs/10.3109/00498258709043997","Multiple doses given (ones a day). ",1,0.4,0.00168639661540808,0.00334020723266383,0.000379383587307698,0.00361594160928796,0.00034358867226995,0.000543983127810877,0.00232612478815516,0.000287129819488554,0.0271858831945061,0.00982233825604911,0.000141893874205532,0.000672623210531316,0.00474440898985025,0.00237852920545368,0.00256736141375914,0.0938224219137167,0.0886277627469981,0.00706332356239173,-0.281941969407796,0.999298393905845,0.249549301819854,0.442369136582774,0.0963655208804616,0.202743989843025,0.291833528698229,0.556298709121225,0.312353338427227,0.236514403396033,0.258458309795018,0.220869091914272,0.222835108151689,0.237254547247563,0.236489790342553,0.224207736843772,0.442369136582774,0.442517061479754
"3",31,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico","ChemAxon",0.46038090897104,0.630494285624997,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.468343729140795,0.774904064789725,0.848412763506334,0.753015353883486,1.05790676230525,0.666502080207662,0.650680718641096,0.397579802179423,0.467742861218671,0.716134065971391,0.495753588849626,"RodgersRowland",0.480919003,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,117.5,0.933,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",16.6,"mg/L",1.66,"Allen1987","Allen1987","https://www.tandfonline.com/doi/abs/10.3109/00498258709043997","Multiple doses given (ones a day). ",7,0.9,0.0100542968819488,0.0156637253721933,0.00135392782346539,0.00670950421978077,0.00142900362867298,0.00178297247610785,0.00744770333880212,0.000634771236502969,0.0698686599242244,0.0357174676980547,0.000365270619087109,0.00172026531825562,0.0131718713362761,0.0066011759191616,0.00656433317597811,0.0277187345654809,0.0151559710641328,0.0310577590997661,-1.67561044117084,0.995830282027807,0.253017413697892,1.2281465115409,0.574531250397073,0.950757230482143,1.04148294112722,1.03223141842781,1.29909420788453,0.775205424394719,0.827522593200236,0.488285566540746,0.572693933805118,0.862740765653495,0.608784365145181,0.573421772751875,1.2281465115409,1.22812575240216
"4",34,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico","ChemAxon",0.46038090897104,0.630494285624997,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.468343729140795,0.774904064789725,0.848412763506334,0.753015353883486,1.05790676230525,0.666502080207662,0.650680718641096,0.397579802179423,0.467742861218671,0.716134065971391,0.495753588849626,"RodgersRowland",34.13947097,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",16.6,"mg/L",1.66,"Allen1987","Allen1987","https://www.tandfonline.com/doi/abs/10.3109/00498258709043997","Multiple doses given (ones a day). ",5,0.4,0.00422763988717928,0.00659212445772451,0.000571291774545352,0.0049068871763118,0.000603931003498781,0.000753775753577457,0.003274894009672,0.000268410333813947,0.0290576965779337,0.0136126410884484,0.000154378803940389,0.000720771123578408,0.00556969799525446,0.00279111943492446,0.00277263287147187,0.0938224220001979,0.0741519071142248,0.00576811258894968,-0.310486407075303,0.999227361730452,0.249620333995247,0.519319160396686,0.24157942212453,0.40012895039299,0.439455211188732,0.754905719432585,0.549028184998892,0.327728588511938,0.363877112185778,0.20646948754919,0.238177840802736,0.328807755759623,0.257298006567315,0.240257041192803,0.519319160396686,0.519278034404551
"5",38,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico",NA,0.97,0.984771573604061,"in vitro","httk","Shibata 2002","neutral",NA,NA,0.588327319,0.588327319,"ADMET","no",1,0,0,1,0.339298481676515,0.713693950593486,1.02761975855334,0.939768507117488,1.10156506801459,0.898644700527941,0.871849407914964,0.779935602695724,0.791052286000985,0.878842152487962,0.833658963690154,"RodgersRowland",0.480919003,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,117.5,0.949,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",14.738,"mg/L",1.474,"Mey1987","Mey1987","https://link.springer.com/article/10.1007/BF03189863","",12,0.7,0.00468089733308932,0.00926547794273906,0.00105327200428715,0.00625082365166529,0.000956581841693123,0.00145007414634593,0.00678884270705208,0.000800799228076542,0.0748479398964283,0.0271023816297911,0.000394777120055487,0.00185480683381491,0.00847078686902856,0.0042449565427406,0.00713025065708619,0.0451425925577623,0.0177580085299847,0.0327391225923713,-0.837739868249027,0.997915303641687,0.250932392084012,0.78981695748518,0.267479847605104,0.562396233246681,0.810209234067042,0.961665177179276,0.869619856084657,0.630467020150403,0.75431585633912,0.615999406212724,0.613507704069084,0.654646899270316,0.657961866759145,0.618268944604972,0.78981695748518,0.789759356788949
"6",42,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico",NA,0.97,0.984771573604061,"in vitro","httk","Shibata 2002","neutral",NA,NA,0.588327319,0.588327319,"ADMET","no",1,0,0,1,0.339298481676515,0.713693950593486,1.02761975855334,0.939768507117488,1.10156506801459,0.898644700527941,0.871849407914964,0.779935602695724,0.791052286000985,0.878842152487962,0.833658963690154,"RodgersRowland",34.13947097,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",14.286,"mg/kg bw",29,"mg/L",2.03,"Greenblatt1988","Greenblatt1988","https://www.ncbi.nlm.nih.gov/pubmed/3353439","",9,0.3,0.00156226218428415,0.00308731277824527,0.000351708134813146,0.00540961466185942,0.000320937459380762,0.000486875478818943,0.00255678499135714,0.000269099793407399,0.0230247582763396,0.00731990480992019,0.000132333487164371,0.000593179002059332,0.00284662166312613,0.00142617782916318,0.00238280590913599,0.119732867472604,0.0729191933710244,0.00472513834639666,-0.120507414194332,0.999700120076599,0.2491475756491,0.265419269289149,0.0892721248162371,0.187393795341139,0.270544719087036,0.832248409516834,0.291761326709784,0.211684990790845,0.284087221261904,0.206999841082615,0.188727526855243,0.176809294925609,0.220555811940619,0.197726334019777,0.265419269289149,0.265335410076871
"7",45,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico",NA,0.97,0.984771573604061,"in vitro","httk","Shibata 2002","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.986777254871506,1.63268483216923,1.78756407358655,1.58656637178222,2.22895761903787,1.40428715598358,1.37095233802941,0.837681074979121,0.985511250492495,1.50885926595178,1.04452846879043,"RodgersRowland",0.480919003,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,117.5,0.933,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",14.286,"mg/kg bw",29,"mg/L",2.03,"Greenblatt1988","Greenblatt1988","https://www.ncbi.nlm.nih.gov/pubmed/3353439","",4,0.8,0.0102451513207839,0.0159711999064659,0.00138286926268335,0.00807730664821994,0.00146072138814381,0.00170997197930844,0.00811861718066959,0.000648913350247622,0.0705524917595926,0.0330708723740606,0.000373383625154211,0.00174813076464523,0.00639090361464274,0.00320288304624211,0.00670835870013117,0.0353736443876493,0.0167233633777112,0.0289318009932109,-0.740568623104758,0.998157112046136,0.250690583679562,0.595888448917738,0.585437218330509,0.969420328161815,1.0637455866795,1.24266256126461,1.32792853467619,0.74346607796019,0.902068575629954,0.499164115575094,0.578299112783546,0.798813342368613,0.622306041923686,0.582710254881745,0.595888448917738,0.595885217905509
"8",70,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico",NA,0.97,0.984771573604061,"in vitro","httk","Shibata 2002","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,38.4296748413392,4.16575138913718,6.25426872841966,3.78344713562417,5.43116223653113,3.46038840280806,3.20884090323451,1.41343325253956,2.00120413871226,5.47027203335206,2.1556185247837,"Schmitt",34.13947097,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",16.6,"mg/L",1.66,"Allen1987","Allen1987","https://www.tandfonline.com/doi/abs/10.3109/00498258709043997","Multiple doses given (ones a day). ",6,0.3,0.00751812001117644,0.00679514069289591,0.000856333258761408,0.0199244052349241,0.000777898902689943,0.000932218055633638,0.00758431602015967,0.000243078240216257,0.01963455469437,0.00604271121674211,0.0001693324952142,0.000562219026386094,0.00141891459268418,0.00071090253410592,0.00292398503139505,0.119732867453755,0.0509827504381823,0.00217585941624002,-0.0554200791096965,0.999862088410166,0.248985607315533,0.132299728921602,0.429606857781511,0.412451635380632,0.65871789135493,3.06529311306524,0.70718082062722,0.405312198101582,0.842701780017742,0.186983261704813,0.160938972904672,0.145959208133867,0.282220825357,0.187406342128698,0.132299728921602,0.132260936577846
"9",75,"Bosentan","147536-97-8",0.634343649481994,0.841369835225474,"in silico","ADMET",0.0132406099630016,0.0261351742770853,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",6.14,3.24,4.06953122,2.786720941,"ADMET","no",0.0520912615983965,0.947908550672625,6.91783111219646e-05,6,16.2940320333945,7.85573232641574,6.68632305738304,5.81103354926847,10.0042578826178,4.49111136443316,4.86727173954958,0.855190539222372,1.82430664424744,4.30443120253143,2.3327183565618,"Berezhkovskiy",1.892523364,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,117.5,0.793,"in silico","COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1",0.893,"mg/kg bw",0.617,"mg/L",0.691,"Giersbergen2002","Giersbergen2002","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1874330/","Multiple doses given (ones a day). ",8,24,0.0643662268376889,0.0292569791519344,0.00196546175159641,0.0085417000853055,0.00248869942566984,0.00233265791166563,0.00988922326743235,0.000251449405415679,0.050319396917286,0.0402479179132162,0.000316544324906748,0.00123748155022067,0.00242572670829091,0.00121568733759317,0.00471576547010751,5.14187390118427e-08,0.0104379259917986,0.00534960821043578,-11.8930077241151,0.974983955127065,0.235358503679303,0.226174984456029,3.67807010501079,1.77584091969253,1.51189365507416,1.31410770543162,2.26245402333622,1.01419909202853,1.09880258527026,0.193422619550522,0.412454073092508,0.972171930270924,0.527573874844579,0.412493850073557,0.226174984456029,0.226174388389426
"10",122,"Bosentan","147536-97-8",0.634343649481994,0.841369835225474,"in silico","ChemAxon",0.00617024358399359,0.012264810300919,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,56.5957112680307,13.8374386159819,11.6039349150867,10.0519196510243,17.5323050506519,7.69513851654183,8.37629205614578,1.19073130211642,2.93609398857707,7.39750982952236,3.82758302461222,"Berezhkovskiy",65.76279075,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1",2.857,"mg/kg bw",3.229,"mg/L",1.13,"Weber1999","Weber1999","https://accp1.onlinelibrary.wiley.com/doi/epdf/10.1177/00912709922008344","Multiple doses given (ones a day). 1000 mg dose omitted from the dataset due to saturation",9,2.9,0.0512452736689513,0.0244498605403409,0.00164761110403109,0.0102766275940244,0.00211223843704156,0.00193819414554816,0.00974880812034688,0.000169646052022406,0.0389585553428042,0.0274896662378927,0.000251653072221145,0.000961677999041327,0.00117539564543076,0.000589066851572167,0.00367683378345851,0.033419530956483,0.00334555533739082,0.000123352183172786,-0.588130552635794,0.998762911734594,0.211579547071774,0.109593999573964,2.9283013525115,1.48405830290385,1.267393156947,1.58101962984991,1.92021676094688,0.842693106760071,1.08320090226076,0.130496963094158,0.319332420842657,0.664001599949099,0.419421787035242,0.320559333013776,0.109593999573964,0.109593832850636
