"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209906818037677,0.00384822924983072,0.000228187822998172,0.00255088449674034,0.000433682937962964,0.000771437950086666,0.00217176709309537,0.00064606879467115,0.0239138346758079,0.0253414843187056,0.000162576139245999,0.000588047989687521,0.0514281769791312,0.0257739256727226,0.00224048365282365,0.0180593163911084,0,0.0306417411989589,-2.33386608394988e-10,0.999999999999554,0.190898913543954,4.79516801670221,0.119946753164387,0.233579924117191,0.175529094613979,0.392443768729283,0.394257216329967,0.335407804385507,0.241307454788375,0.496975995900885,0.196015038326294,0.612113147794822,0.270960232076665,0.196015996562507,4.79516801670221,4.795148962367
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143612855186174,0.00266795401265179,0.000141472766123265,0.00177121071129773,0.000294502959962158,0.000520105198009465,0.00143152989678368,0.000447344643987755,0.0154239074815033,0.0178548317647623,0.000107285424279601,0.000379280415396908,0.0379812367657875,0.0190347092506558,0.00144508672973936,0.043725947544475,0.0371130744036692,0.00912330502265527,-4.89105750461463e-11,0.999999999999907,0.190898913543602,3.54137405741608,0.0820644886778136,0.161939545532734,0.108825204710204,0.272493955584266,0.267729963601962,0.226132694786724,0.159058877420409,0.344111264605966,0.126425471159864,0.431276129583631,0.178809040466002,0.126426805132303,3.54137405741608,3.54134125593596
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138080069618994,0.00301857227292465,0.00129773211088438,0.00225131089144147,0.000320207796754288,0.000964322184796714,0.00309607678930298,0.000334871432970989,0.0372227106030972,0.0403977390445367,0.000200592936258996,0.000915313489677982,0.0323674468227528,0.0162214647867694,0.00348734012858008,0.0110496091221881,0,0.0239455961684394,1.22014728236403e-10,1.00000000000023,0.190898913543276,3.01794375969723,0.789028969251397,0.183221382271602,0.998255469911059,0.346355521760227,0.291097997049353,0.419270515129006,0.344008532144775,0.257593409977684,0.305104185271288,0.975790798177215,0.33432156043166,0.305104496559327,3.01794375969723,3.01794693707337
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138080069618994,0.00301857227292465,0.00129773211088438,0.00225131089144147,0.000320207796754288,0.000964322184796714,0.00309607678930298,0.000334871432970989,0.0372227106030972,0.0403977390445367,0.000200592936258996,0.000915313489677982,0.0323674468227528,0.0162214647867694,0.00348734012858008,0.0110496091221881,0,0.0239455961684394,1.22014728236403e-10,1.00000000000023,0.190898913543276,3.01794375969723,0.789028969251397,0.183221382271602,0.998255469911059,0.346355521760227,0.291097997049353,0.419270515129006,0.344008532144775,0.257593409977684,0.305104185271288,0.975790798177215,0.33432156043166,0.305104496559327,3.01794375969723,3.01794693707337
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121681671411664,0.00266012610341165,0.00114362313947273,0.0019793265335218,0.000282184834037143,0.000851294887823992,0.00272574626644241,0.000295108283450774,0.032802258958868,0.0356018763982438,0.000176773380982101,0.000806616026590604,0.0429793538820682,0.0215397364930231,0.00307322785164091,0.0100155793522862,0,0.0217979140101718,1.60834952782542e-10,1.00000000000031,0.190898913543201,4.007398963363,0.695323836638077,0.161464406883864,0.879710107286717,0.30451177438797,0.256531667306494,0.370128212097388,0.302860696271379,0.227006371885211,0.268870975072689,0.859948705271589,0.294622301636835,0.268872008863535,4.007398963363,4.00739283591127
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861105172858702,0.00188272714488264,0.000809381864533717,0.00142963959784387,0.000199720895969915,0.000602518130443102,0.00193002815386441,0.000208870887153734,0.023214398754461,0.0251799187846855,0.000125113607018333,0.000570862023282272,0.0304198074439143,0.0152451562642888,0.00217509912886105,0.0359250626502361,0.0340423218194985,0.00832723466404035,-2.9384147493538e-11,0.999999999999944,0.190898913543565,2.83634568241625,0.492060098776401,0.114277823665107,0.622601434256705,0.219944553514441,0.181564450881741,0.261964404540479,0.214447572651601,0.16066991319518,0.190281957003779,0.608210598663902,0.208522678363888,0.190287341094091,2.83634568241625,2.83630814219326
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00404138794451944,0.00413645422292867,0.00031053217800772,0.00831819877895367,0.000395529052015168,0.000378262049394808,0.00212961775602399,5.18145094243036e-05,0.00829620140306071,0.00381392303393538,5.5035719743096e-05,0.000211562913758273,0.000566070023711712,0.000283667115612469,0.000836708799421619,0.100282766724408,0.0705658340147928,0.000284693256471129,-1.35420625076814e-13,1,0.204958259496183,0.0527804217913018,0.23093645397254,0.2510746114069,0.238870906159785,1.2797228890698,0.359571865468335,0.164461760606438,0.236624195113776,0.039857314941772,0.06800165084476,0.0921237447810479,0.0917261995718266,0.0705209712527578,0.0527804217913018,0.05277527732325
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317657631708528,0.00380929793987469,0.000368421597154168,0.0246102727493232,0.000570987244381945,0.000508599230045541,0.00458080072840921,4.490524815519e-05,0.00744905228385945,0.0024376519696142,6.97156611482701e-05,0.000208559930909607,0.000252841608037548,0.000126715169997728,0.00100120078083811,0.0890197673391285,0.0661642705417877,0.000558623156431594,2.43757125138266e-13,1,0.204958259496182,0.0235749751083961,0.181518646690588,0.231216870402105,0.283401228580129,3.78619580758819,0.519079313074495,0.221130100019801,0.508977858712135,0.0345424985809154,0.0610578056054053,0.0588804823578308,0.11619276858045,0.069519976969869,0.0235749751083961,0.0235749153484146
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230895701308253,0.00539934846943933,0.000636104644062528,0.00396560370536369,0.000461370898371268,0.000570540584866838,0.00253171602143746,9.90415668297486e-05,0.0155719548825019,0.0133226805206516,8.35316398740847e-05,0.000384097658756378,0.00204023888726714,0.00102254223927454,0.00146659090652158,0.0890197674705918,0.0440407740253445,0.00125278524419979,1.50316893835264e-12,1,0.204958259496179,0.190232064080852,1.31940400747573,0.327729800876439,0.489311264663483,0.610092877748259,0.419428089428426,0.248061123855147,0.281301780159718,0.0761858206382682,0.127638974446737,0.321803877310424,0.139219399790141,0.128032552918793,0.190232064080852,0.190240416609217
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331324733026231,0.00293235215164046,0.0003671131612793,0.0131126131017969,0.000323023888633705,0.000382208334129333,0.00274727530578052,7.02044572466636e-05,0.00771917637584874,0.00264476430647761,5.88566676452421e-05,0.000215374161414139,0.000356868858954942,0.000178827883260129,0.00102024741272283,0.112970788984377,0.0559577576200113,0.000587559494701092,1.08336500061451e-13,1,0.204958259496182,0.0332744856834445,0.189328418872132,0.177987990994869,0.282394739445616,2.01732509258414,0.293658080576095,0.166177536577971,0.305252811753391,0.0540034286512797,0.0632719375069569,0.0638831958086378,0.0980944460754034,0.0717913871380463,0.0332744856834445,0.0332703038623496
