"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209906813179419,0.00384822916073403,0.000228187817730418,0.00255088444290433,0.000433682927958636,0.000771437932303669,0.00217177018070272,0.000646068779840448,0.0239138341174667,0.025341483695841,0.000162576135493665,0.000588048057415714,0.0514281757986844,0.0257739250790247,0.00224048360349116,0.0180593207544817,0,0.030641736927894,-1.32541261034682e-10,0.999999999999747,0.190898913543762,4.79516790663724,0.11994675038824,0.233579918709198,0.17552909056186,0.39244376044682,0.394257207235124,0.335407796653769,0.241307797855857,0.496975984492652,0.196015033749727,0.612113132749782,0.270960225822776,0.196016019138571,4.79516790663724,4.79514885191157
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143612482224371,0.00266794708369298,0.000141472398827335,0.00177120623033908,0.000294502195407905,0.000520103847876213,0.00143152769165781,0.000447343483277873,0.0154238673920461,0.017854785064036,0.000107285145743921,0.00037927954249436,0.037981138218081,0.0190346598424876,0.00144508298090486,0.0437259533937531,0.0371133569787637,0.00912327723178804,4.54938137096884e-11,1.00000000000009,0.190898913543422,3.54136486881874,0.0820642755567834,0.161939124958603,0.108824922174873,0.272493266206012,0.267729268552641,0.226132107772267,0.159058632406423,0.34411037175221,0.126425142557755,0.431275001546764,0.178808576239869,0.126426514164787,3.54136486881874,3.54133206371863
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138080072155338,0.00301857234246391,0.00129773214792786,0.00225131094478168,0.000320207804716603,0.000964322208856666,0.00309608122137779,0.000334871441727038,0.0372227119274028,0.0403977401011297,0.000200592941109575,0.000915313567172575,0.032367447669481,0.0162214651976123,0.00348734020579833,0.0110496091550277,0,0.0239455874513285,3.18267683638568e-11,1.00000000000006,0.190898913543448,3.01794383864624,0.789028983744786,0.183221386492498,0.998255498406044,0.346355529966412,0.291098004287821,0.419270525589855,0.344009024597532,0.257593416713106,0.305104196126252,0.975790823698786,0.334321568515958,0.305104522390858,3.01794383864624,3.01794701350926
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138080072155338,0.00301857234246391,0.00129773214792786,0.00225131094478168,0.000320207804716603,0.000964322208856666,0.00309608122137779,0.000334871441727038,0.0372227119274028,0.0403977401011297,0.000200592941109575,0.000915313567172575,0.032367447669481,0.0162214651976123,0.00348734020579833,0.0110496091550277,0,0.0239455874513285,3.18267683638568e-11,1.00000000000006,0.190898913543448,3.01794383864624,0.789028983744786,0.183221386492498,0.998255498406044,0.346355529966412,0.291098004287821,0.419270525589855,0.344009024597532,0.257593416713106,0.305104196126252,0.975790823698786,0.334321568515958,0.305104522390858,3.01794383864624,3.01794701350926
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121681673418173,0.00266012614827875,0.00114362315892916,0.001979326566239,0.000282184838805703,0.000851294902211173,0.00272574892827301,0.000295108288450897,0.0328022595079807,0.0356018769612585,0.000176773383966723,0.000806616126316271,0.0429793546103078,0.0215397368572554,0.00307322790572503,0.0100155788288992,0,0.0217979091886315,8.50700875728306e-11,1.00000000000016,0.190898913543346,4.00739903126413,0.695323848103847,0.161464409607208,0.8797101222532,0.304511779421384,0.256531671641548,0.370128218352684,0.302860992030334,0.227006375731459,0.268870979573612,0.859948718870978,0.294622306611205,0.268872042105424,4.00739903126413,4.00739290367542
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861102996459764,0.00188272240290557,0.000809379824012829,0.00142963607938746,0.000199720393100353,0.000602516613413271,0.00193002555503337,0.000208870361493934,0.0232143401664488,0.0251798555482017,0.000125113291952265,0.000570861038366792,0.030419730887564,0.0152451178835756,0.00217509366336803,0.0359250543526731,0.0340426396810993,0.00832720583620873,5.53951518804451e-11,1.00000000000011,0.190898913543403,2.83633854429501,0.492058855119865,0.114277535836453,0.622599864625254,0.219944012213455,0.181563993727594,0.261963744962292,0.214447283892596,0.160669508841487,0.19028147677417,0.608209071212602,0.208522153253774,0.190287012788931,2.83633854429501,2.83630100159547
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00404074183159262,0.0041358447135735,0.000310489852047122,0.00831801729891015,0.00039547801450955,0.000378214710647399,0.00212963080139751,5.18081025186005e-05,0.00829500650693797,0.00381330454121891,5.50287648674774e-05,0.000211722564694543,0.000566000041039156,0.000283631998141504,0.000836603292340969,0.100282766750281,0.0705693258678929,0.000284643843571881,8.12523750460886e-14,1,0.204958259496182,0.0527738966003875,0.230899533233864,0.251037615391411,0.238838347728556,1.2796949690631,0.359525467735955,0.164441178542347,0.236625644599724,0.0398523865527696,0.0679918566142457,0.0921088053434519,0.0917146081124624,0.0705741882315143,0.0527738966003875,0.0527687438402798
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317580357811922,0.00380840708156694,0.000368338832113547,0.0246098863831699,0.000570866764551084,0.000508499940443578,0.00458101015464016,4.48967153759149e-05,0.00744734550469086,0.00243706664566659,6.97017886918235e-05,0.000209320450189075,0.000252793561087827,0.000126691058747173,0.00100100989158211,0.0890197672794719,0.0661683670708934,0.000558486795181661,-1.76046812599858e-13,1,0.204958259496183,0.0235704952063242,0.181474490178241,0.231162797060209,0.283337563164267,3.78613636664153,0.518969785955531,0.221086930627643,0.509001128293351,0.0345359349045499,0.0610438156122202,0.0588663440982268,0.116169647819706,0.0697734833963584,0.0235704952063242,0.0235704295343578
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230880202679638,0.00539905270048965,0.000636069937692915,0.00396550563486626,0.000461346130639453,0.000570510057970975,0.00253179135581968,9.90362794381086e-05,0.0155710963670441,0.013321843245995,8.35271633620142e-05,0.000384102115045424,0.00204012997270405,0.00102248762552783,0.00146651207678814,0.0890197674690368,0.0440447637414896,0.00125269735430544,1.59796337590641e-12,1,0.204958259496179,0.190221908876834,1.31931544388364,0.327711848284652,0.489284567456089,0.610077789979425,0.419405573308593,0.248047851291728,0.281310150646631,0.0761817534139297,0.127631937434787,0.321783653284903,0.13921193893669,0.128034038348475,0.190221908876834,0.190230255912154
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331247923661967,0.00293172443315502,0.000367035564174085,0.0131123624583397,0.000322962797917534,0.000382138637313955,0.00274739487321093,7.01919150896108e-05,0.00771750011489069,0.00264415677718541,5.88457442672637e-05,0.000216135083075881,0.00035680512122151,0.000178795888607673,0.00102006443023007,0.112970788560519,0.055961455147248,0.000587422713116543,1.35420625076814e-13,1,0.204958259496182,0.0332685427712364,0.189284527806838,0.177949889721093,0.282335049364681,2.01728653205225,0.293602543561395,0.166147233614763,0.305266097023436,0.0539937808381622,0.0632581976630384,0.0638685211880533,0.0980762404454396,0.0720450276919605,0.0332685427712364,0.0332643513688694
