"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00212021898178255,0.00384852012341603,0.00022820506891307,0.0025510758325189,0.000433715713793023,0.000771496250304477,0.0021719338473496,0.000646117612317165,0.023915642829229,0.0253434043778284,0.000162588426281809,0.000588092446760865,0.0514320629337872,0.0257758734409337,0.00220634740324863,0.0180593153733195,0,0.0306443028818549,-6.82479902695038e-11,0.99999999999987,0.190898913543639,4.79553034347667,0.119955812264925,0.233597579570017,0.175542360702362,0.392473205002908,0.394287012539112,0.335433152306294,0.241325983038844,0.497013547936281,0.196029859255975,0.612159526034502,0.270980710469682,0.196030815586955,4.79553034347667,4.79551133784812
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00145055759001929,0.00266807899396413,0.000141479390841591,0.00177129165252566,0.000294516749676636,0.000520129549063478,0.00143159771852226,0.000447365576866626,0.0154246306988323,0.0178556747357819,0.000107290448070775,0.000379298192517673,0.0379830140263014,0.0190356003663483,0.00142302841202325,0.04372596179149,0.037115560890735,0.0091238367602495,-1.68308209492922e-10,0.999999999999679,0.19089891354383,3.54153976935211,0.0820683219247125,0.161947131651844,0.108830300647377,0.272506408080871,0.267742499706033,0.226143282201512,0.15906641316914,0.344127366820481,0.126431399170757,0.431296491202461,0.178817413451292,0.126432730839224,3.54153976935211,3.54150704490201
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0139395692427637,0.00301716351069002,0.00129712628578355,0.00225026799599736,0.000320058371482747,0.000963872185507157,0.00309464073065152,0.00033471518242344,0.0372053286238212,0.0403788195152876,0.000200499324943618,0.000914886141835184,0.0323523442402403,0.0162138953053431,0.00343234418542929,0.0110496086974573,0,0.0239337740038376,7.21154733141753e-12,1.00000000000001,0.190898913543495,3.0165355934956,0.788660211754664,0.183135873183006,0.997789450602728,0.346195076307286,0.290962155893406,0.419074863263981,0.343848970072391,0.2574732172488,0.304961710031321,0.975333804717092,0.334165541572696,0.304962047278395,3.0165355934956,3.01653866145919
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0139395692427637,0.00301716351069002,0.00129712628578355,0.00225026799599736,0.000320058371482747,0.000963872185507157,0.00309464073065152,0.00033471518242344,0.0372053286238212,0.0403788195152876,0.000200499324943618,0.000914886141835184,0.0323523442402403,0.0162138953053431,0.00343234418542929,0.0110496086974573,0,0.0239337740038376,7.21154733141753e-12,1.00000000000001,0.190898913543495,3.0165355934956,0.788660211754664,0.183135873183006,0.997789450602728,0.346195076307286,0.290962155893406,0.419074863263981,0.343848970072391,0.2574732172488,0.304961710031321,0.975333804717092,0.334165541572696,0.304962047278395,3.0165355934956,3.01653866145919
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0122848092356804,0.00265903665479812,0.00114315469467976,0.00197852001034371,0.000282069272621812,0.000850946263426369,0.00272463493770554,0.000294987440029395,0.0327888203287633,0.0355872662671383,0.000176700986094628,0.000806285604602796,0.0429617543505214,0.0215309156457962,0.00302493567512922,0.010015578777273,0,0.0217884973991616,-1.34649475476326e-10,0.999999999999743,0.190898913543766,4.0057579814006,0.695038712061126,0.161398279502162,0.879349765138276,0.304387693899033,0.256426611474375,0.369976636272334,0.302737215300615,0.226913415407227,0.268760822366912,0.859595803554065,0.294501643491047,0.268761868200932,4.0057579814006,4.00575174805511
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00869425183692442,0.00188210247570862,0.000809113103584284,0.00142917718424124,0.00019965464929127,0.000602318280591812,0.00192939685969221,0.000208801634349641,0.0232066838924477,0.0251714835841588,0.00012507210184434,0.000570672404625534,0.0304097215582194,0.0152401000228923,0.00214108711379732,0.0359250590714841,0.034030176298973,0.00832404147060423,4.10447542673219e-11,1.00000000000008,0.19089891354343,2.83540527349365,0.491895436318213,0.11423990747852,0.622394695064834,0.219873412960191,0.181504226628427,0.261877513300788,0.21437742885469,0.160616641807416,0.190218720429899,0.608006849858907,0.208453503073901,0.190224134875178,2.83540527349365,2.83536744611949
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00405883622499765,0.00413491793740023,0.000310389706804514,0.00831751010909764,0.00039532271931212,0.000378052227094115,0.00212936081471093,5.1785133765409e-05,0.00829290913772945,0.00381291575460913,5.50057541589577e-05,0.000211471112070347,0.000565748975738181,0.000283506620023913,0.000823545190375567,0.100282766049973,0.07056957627984,0.000284639748481273,-6.7710312538407e-14,1,0.204958259496183,0.0527504872483152,0.229637127298311,0.250981361905932,0.238761312926549,1.27961693986117,0.359384290283746,0.16437053351918,0.236595646078992,0.0398347182810839,0.0679746650633561,0.0920994143625393,0.0916762569315962,0.0704903706901158,0.0527504872483152,0.0527454176788675
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.0031785975273787,0.00381021646771687,0.000368501441558994,0.0246106232387121,0.000571083490468608,0.00050864809341291,0.00458126974321828,4.49083046974034e-05,0.00745076064819492,0.00243827225156071,6.9723709024848e-05,0.000208605374615354,0.000252858726354637,0.000126723894185582,0.000986710047711938,0.0890197673287736,0.0661722200159019,0.000558769192695465,-1.62504750092177e-13,1,0.204958259496183,0.0235765712218776,0.179835786556079,0.231272623230159,0.283462647353073,3.78624972903263,0.519166809516917,0.221151344962135,0.509029971468697,0.0345448497672333,0.0610718085917616,0.0588954650135438,0.11620618170808,0.0695351248717846,0.0235765712218776,0.0235765384531315
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0231397349125459,0.00539544455313735,0.00063563326454461,0.00396414063565856,0.000460993438474326,0.000570064028017319,0.00253051049594932,9.89577010628038e-05,0.0155611185247451,0.0133174211934696,8.34625489711753e-05,0.000383816315102098,0.00203851080669527,0.00102167876078146,0.00144296283773118,0.0890197674967798,0.0440415467018618,0.00125249528065362,5.28140437799575e-13,1,0.204958259496181,0.190070937687204,1.30917877864475,0.327492840858109,0.488948665034315,0.609867790101317,0.419084944067569,0.247853925224921,0.281167832883258,0.0761213085098491,0.127550151842173,0.321676840421972,0.139104248285292,0.127938771700699,0.190070937687204,0.190079769447713
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331569404799755,0.00293308174096339,0.000367201472416138,0.0131128262733819,0.000323069932005482,0.000382247040154466,0.00274757594753503,7.0210055727498e-05,0.0077211654619617,0.00264552571416392,5.88637666431243e-05,0.00021542688134561,0.000356897151635805,0.000178842364551235,0.00100541836110157,0.112970788551626,0.0559656928354428,0.000587731897530247,-3.92719812722761e-13,0.999999999999999,0.204958259496183,0.0332771236956462,0.187592308231827,0.17803227562752,0.282462671089337,2.01735788821261,0.293699938186802,0.16619436528455,0.305286216392782,0.0540077351749984,0.0632882414914894,0.0639015872986454,0.0981062777385405,0.0718089604485366,0.0332771236956462,0.0332729980560438
