"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209899423512612,0.00388657437124102,0.000228179785290842,0.00255079532860057,0.00043366766231652,0.000771410778435767,0.00217169397473821,0.000646046042523843,0.0239129919582903,0.0253405894376968,0.000162570412695963,0.000588027269800961,0.0514263658755903,0.0257730178875786,0.00220811205300745,0.0180593230980376,0,0.030640553372671,-6.98618647731073e-11,0.999999999999867,0.190898913543642,4.79499914923919,0.119942527721492,0.233571680538531,0.175522911762186,0.392430050553933,0.394243329378655,0.335395990624246,0.241299330526468,0.49695849424911,0.196008130805658,0.612091532311516,0.270950687826605,0.196009089933654,4.79499914923919,4.79498007210765
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143607095212457,0.00269452507788373,0.000141467093884632,0.00177114142404172,0.000294491152861552,0.000520084347965033,0.00143147456289537,0.000447326720367044,0.0154232882720774,0.0178541101565344,0.000107281122791043,0.000379265194660861,0.0379797149992643,0.0190339462506631,0.00142420055494172,0.0437259516536083,0.037111713916517,0.00912286009030456,6.39297855166187e-11,1.00000000000012,0.190898913543386,3.54123216776357,0.0820611972642609,0.161933026510839,0.108820841449717,0.272483296006418,0.267719229874138,0.226123629550014,0.159052729210597,0.344097477205418,0.126420395672766,0.431258699433199,0.178801871318404,0.12642173155362,3.54123216776357,3.54119930244895
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138095326548064,0.00304909457096857,0.0012978754035724,0.00225155755769481,0.000320243138866553,0.000964428618740791,0.00309642183664633,0.000334908389198459,0.0372268219334725,0.0404022147358258,0.000200615077287764,0.000915414568627861,0.0323710188706048,0.0162232551196772,0.00343745355370306,0.0110496088968878,0,0.0239484486168023,6.54855023804527e-11,1.00000000000013,0.190898913543383,3.01827681777201,0.78911615170322,0.183241609457388,0.998365695055696,0.346393470414586,0.291130126242321,0.419316790756866,0.344046870738481,0.257621837844969,0.305137884700594,0.975898906662459,0.334358462146273,0.30513818954262,3.01827681777201,3.01828002226553
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138095326548064,0.00304909457096857,0.0012978754035724,0.00225155755769481,0.000320243138866553,0.000964428618740791,0.00309642183664633,0.000334908389198459,0.0372268219334725,0.0404022147358258,0.000200615077287764,0.000915414568627861,0.0323710188706048,0.0162232551196772,0.00343745355370306,0.0110496088968878,0,0.0239484486168023,6.54855023804527e-11,1.00000000000013,0.190898913543383,3.01827681777201,0.78911615170322,0.183241609457388,0.998365695055696,0.346393470414586,0.291130126242321,0.419316790756866,0.344046870738481,0.257621837844969,0.305137884700594,0.975898906662459,0.334358462146273,0.30513818954262,3.01827681777201,3.01828002226553
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121693480511875,0.0026869879104135,0.00114373408721119,0.00197951754687388,0.000282212203159686,0.000851377454681176,0.00272601270500849,0.000295136903469069,0.0328054417626203,0.035605336870011,0.000176790526723084,0.000806694286610957,0.0429835220766329,0.0215418255872652,0.00302922479639664,0.0100155787795511,0,0.0218001719954957,1.03229810590856e-10,1.0000000000002,0.190898913543311,4.00778760621285,0.695391317210717,0.161480064929671,0.879795451700913,0.30454116105752,0.256556548326987,0.370164110730946,0.302890300556499,0.227028387283899,0.268897063628036,0.860032291546159,0.294650877871806,0.268898095536986,4.00778760621285,4.00778150460748
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861169807812189,0.00190169642611254,0.000809442499953576,0.00142974391154614,0.00019973584100554,0.000602563215879326,0.0019301732842547,0.000208886509984865,0.0232161393947875,0.0251818227760085,0.000125122970522056,0.000570904804120565,0.0304220827315635,0.0152462969291476,0.00214390875315319,0.0359250570375007,0.0340456645740651,0.00832797380586459,-4.3690926876834e-11,0.999999999999917,0.190898913543592,2.83655783044881,0.492097033035537,0.114286358034979,0.622648076887366,0.219960601776329,0.181578037277763,0.261984006904055,0.214463698250522,0.160681930757588,0.190296224547439,0.608256588792475,0.208538284203427,0.190301601373522,2.83655783044881,2.83652035891119
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00403881405115436,0.00416535844120087,0.000310290331882791,0.00831710135248363,0.000395210219430136,0.000377955338919178,0.00212917078703587,5.17725041211482e-05,0.00829008838856929,0.00381155154249971,5.49911300914415e-05,0.000211401425051327,0.000565611124551493,0.000283437135542982,0.00082406185395166,0.100282766896542,0.0705641391660753,0.000284537807079037,-8.12523750460884e-14,1,0.204958259496183,0.0527376339908152,0.230789374351677,0.250325782610969,0.23868487067907,1.27955405422825,0.35928201766376,0.164328408225729,0.236574531892875,0.039825003170114,0.0679515441686008,0.0920664623792201,0.0916518834857359,0.0704671416837757,0.0527376339908152,0.052732490333578
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317612587759609,0.00382217473834099,0.000368327118369635,0.0246096997745593,0.00057078095642919,0.000508344614892941,0.00458085311141808,4.48804125239183e-05,0.00744736878248822,0.00243726410432382,6.96832874711635e-05,0.000208507023460156,0.000252701605741941,0.000126645279533483,0.000987019102979224,0.089019767124332,0.066169570339744,0.000558546241978334,2.70841250153629e-14,1,0.204958259496182,0.0235619212812999,0.181492907291205,0.229701452145675,0.283328552592027,3.7861076576245,0.51889177857199,0.22101939777954,0.508983679046453,0.0345233942491679,0.0610440064138378,0.0588711136310101,0.116138812451939,0.0695023411533854,0.0235619212812999,0.0235619124713457
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230794612885573,0.00545079773369223,0.000635865831518657,0.00396494692870359,0.000461206102875484,0.000570338994568754,0.00253127482046866,9.90068236827603e-05,0.015565935500452,0.0133168880713981,8.3501973300974e-05,0.000383952642216459,0.00203952328563421,0.00102218301452234,0.00144493326484733,0.089019767490572,0.0440364365626885,0.00125223916648428,-5.68766625322619e-13,0.999999999999999,0.204958259496184,0.190165341317875,1.31882635934613,0.32757690071619,0.489127562706659,0.609991835185168,0.419278275341349,0.247973475899458,0.281252757829852,0.0761590951405848,0.127589635249607,0.321663963077249,0.139169955501623,0.127984214072153,0.190165341317875,0.190173584097179
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.0033124693465978,0.0029485743230531,0.000366982090772463,0.0131120105410734,0.000322855327324406,0.000381988903867842,0.00274720894553042,7.01625561029719e-05,0.00771670087616029,0.00264411208575878,5.8824244129035e-05,0.00021529913674882,0.000356655682589247,0.00017872135357273,0.00100563681085149,0.112970788553855,0.0559618442261756,0.000587424492019585,-3.92719812722761e-13,0.999999999999999,0.204958259496183,0.0332546090992305,0.189283962662732,0.177200638414225,0.282293915978818,2.01723239093437,0.293504843022187,0.166082132116453,0.305245438392268,0.0539711970022861,0.063251646525904,0.0638674416849948,0.0980404068817249,0.0717663789162732,0.0332546090992305,0.0332504843856242
