"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209891813220827,0.00384795416177107,0.000228171513303878,0.00257621069117599,0.000433651941558965,0.000771382815279599,0.00217161553061955,0.000646022628777023,0.0239121245600978,0.025339667752149,0.000162564519245201,0.000588005943964349,0.0514245021096971,0.0257720836669842,0.00222758331443932,0.0180593211333658,0,0.0306391331284915,1.99029982701158e-10,1.00000000000038,0.190898913543129,4.79482537153353,0.119938178983329,0.233563226814632,0.175516548695291,0.392415946866107,0.394229037780877,0.335383832730261,0.241290614513283,0.496940483674633,0.196001020984408,0.612069269375579,0.270940865408668,0.19600198132145,4.79482537153353,4.79480626362496
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143604233374111,0.00266779383244474,0.000141464276184144,0.00178881836122953,0.000294485287870191,0.000520073991554871,0.00143144644063114,0.000447317820289596,0.0154229804470688,0.0178537499873934,0.000107278986024754,0.000379257629742406,0.0379789593619012,0.0190335672804093,0.00143678265902729,0.0437259675307548,0.0371103715251138,0.00912255579189183,1.23366893361044e-10,1.00000000000024,0.190898913543273,3.54116171206538,0.0820595619280632,0.161929822910151,0.108818673987803,0.272478044360933,0.26771389806381,0.226119126762987,0.159049604514571,0.344090630991997,0.126417872516958,0.431249999695492,0.178798310041256,0.126419209914135,3.54116171206538,3.54112879635522
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138078151340312,0.00301853057955414,0.00129771416792465,0.00227379310558503,0.000320203374742819,0.000964308867821386,0.00309603867639585,0.000334866809442631,0.0372221959489472,0.0403971771004239,0.000200590165864065,0.00091530083818025,0.0323669999305773,0.0162212407869318,0.00346746043195553,0.0110496103116875,0,0.0239450673132569,9.76175983530994e-11,1.00000000000019,0.190898913543322,3.01790209142912,0.789018007658927,0.18321885156626,0.998241667634347,0.346350815778375,0.291093977038926,0.419264725139733,0.344004297377316,0.257589853417409,0.305099966794649,0.975777224647921,0.334316943106775,0.305100279393417,3.01790209142912,3.01790526268499
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138078151340312,0.00301853057955414,0.00129771416792465,0.00227379310558503,0.000320203374742819,0.000964308867821386,0.00309603867639585,0.000334866809442631,0.0372221959489472,0.0403971771004239,0.000200590165864065,0.00091530083818025,0.0323669999305773,0.0162212407869318,0.00346746043195553,0.0110496103116875,0,0.0239450673132569,9.76175983530994e-11,1.00000000000019,0.190898913543322,3.01790209142912,0.789018007658927,0.18321885156626,0.998241667634347,0.346350815778375,0.291093977038926,0.419264725139733,0.344004297377316,0.257589853417409,0.305099966794649,0.975777224647921,0.334316943106775,0.305100279393417,3.01790209142912,3.01790526268499
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121680192466925,0.002660093805355,0.00114360924967179,0.00199909571805347,0.000282181408256847,0.00085128455299877,0.00272571589751702,0.00029510470136803,0.0328018604302569,0.0356014424309731,0.00017677123480628,0.000806606228655858,0.0429788321910531,0.0215394750069564,0.00305571399960804,0.0100155767214139,0,0.0217975307200526,-9.4884189283933e-11,0.999999999999819,0.19089891354369,4.00735032084412,0.695315385525283,0.161462446455538,0.879699422824451,0.304508106329546,0.25652855296077,0.370123718695118,0.302857321946335,0.227003616436946,0.268867708444729,0.859938222970365,0.294618724677133,0.268868742885286,4.00735032084412,4.00734418734073
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861095041439118,0.00188270510883232,0.00080937237616571,0.00144391969890839,0.000199718559663156,0.000602511082491007,0.00193000812281526,0.000208868445810608,0.0232141261647264,0.0251796187858982,0.000125112143079054,0.000570855326869532,0.0304194518914378,0.0152449779646168,0.00216270476824172,0.0359250562537513,0.034041907135514,0.00832704930022187,3.88929215958506e-11,1.00000000000007,0.190898913543434,2.83631253067019,0.492054309393782,0.114276486120323,0.622594135512084,0.219942071425497,0.181562326966506,0.261961340213481,0.214445346979474,0.160668035238929,0.190279722661691,0.608203352316381,0.20852023846509,0.190285108956511,2.83631253067019,2.83627497016127
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.7,0.00450731494780453,0.00435192550934604,0.00031619870976979,0.00763097590237416,0.000397956467228507,0.000378817100141639,0.00197184162822379,5.18051610473258e-05,0.0086262900898917,0.00430907067856837,5.51938602590723e-05,0.000216964906290767,0.000565952018555633,0.000283659640532865,0.000836026395971777,0.0890197673339979,0.0810918982200048,0.000346600926173529,1.35420625076814e-13,1,0.204958259496182,0.0527694189795462,0.257560854160259,0.264153293435268,0.243229776745992,1.16237256700292,0.36177860657137,0.164703087018104,0.219093514247087,0.0398501238825583,0.0707072958187844,0.104083832815661,0.0919897670984538,0.0723216354302555,0.0527694189795462,0.0527738866107656
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00316580809787335,0.0037979959131538,0.000367482564047898,0.0248677686086972,0.000569881578336865,0.000507930558937422,0.00458166034204784,4.4854603158021e-05,0.00742854934255508,0.00242973267396038,6.9614148415352e-05,0.000208024607729172,0.00025255693040578,0.000126571543572801,0.000994152835922746,0.0890197671682059,0.0659691997588032,0.000556708220359015,3.25009500184354e-13,1,0.204958259496182,0.0235484317394667,0.180903319878477,0.230530859675496,0.28267889542146,3.78793124275661,0.518074162124423,0.220839373451053,0.509073371338649,0.0345035408907854,0.0608897487094679,0.0586891950231976,0.116023580692253,0.069341535909724,0.0235484317394667,0.0235481941530793
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230797782994079,0.00539867187760195,0.000636027665434107,0.00400557760703843,0.000461321897022018,0.000570481576111056,0.00253189976612287,9.9031500279624e-05,0.01556989051111,0.0133184812254904,8.35228916280305e-05,0.000384050410615042,0.00204003158861388,0.0010224379422834,0.00145809427161827,0.0890197674982876,0.0440270377255238,0.00125215524199489,-3.7917775021508e-13,0.999999999999999,0.204958259496183,0.190212735535093,1.31884447425188,0.327688733086613,0.489252050333929,0.610141295816973,0.419383542747289,0.248035467874372,0.281322196235874,0.0761780771381723,0.127622053369754,0.321702445060156,0.139204819380051,0.128016803538347,0.190212735535093,0.190221012517841
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00330592774355757,0.00292789872705706,0.000366591446834509,0.0132517195268054,0.000322801768561231,0.000382005121192889,0.00274868434367443,7.01716195034879e-05,0.00770657093999915,0.00263914915006679,5.88214742236421e-05,0.000215057528256113,0.000356702410643727,0.000178743627726659,0.00101394617626479,0.112970788897607,0.055856441989997,0.000586237004210144,2.43757125138266e-13,1,0.204958259496182,0.0332589660273872,0.188910156774718,0.177717676907864,0.28199342064193,2.01854067430395,0.293456153237483,0.166089183127343,0.305409371519381,0.0539781688488369,0.0631686142622881,0.0637475640112752,0.0980357903727369,0.0716858427520376,0.0332589660273872,0.0332546284142621
