"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209903011533187,0.00384815946413632,0.000228183685393742,0.00255083858339415,0.000433675074450503,0.000779138196054926,0.00217173097104609,0.000646057082410842,0.0239134008697922,0.0253410236655083,0.000162573191365355,0.000588037323679399,0.0514272446663705,0.0257734583676974,0.00223593472219475,0.0180593087131564,0,0.0306411188517082,-9.55530021412823e-11,0.999999999999818,0.190898913543691,4.79508108777348,0.119944578018964,0.233575688263206,0.17552591184134,0.392436705137561,0.394250067682275,0.335401720213055,0.241303441227343,0.496966986469878,0.19601148253928,0.612102020905997,0.270955318942258,0.196012441226466,4.79508108777348,4.79506202189718
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143610387363837,0.00266790816469879,0.000141470335884235,0.00177118102444786,0.000294497901273205,0.000525297218355281,0.00143150702981928,0.000447336964671906,0.0154236421872657,0.0178545226134153,0.000107283581330685,0.000379273894202161,0.0379805847699147,0.0190343823469652,0.00144215411210758,0.0437259481447225,0.0371127071365749,0.00912311224422311,-1.19223161527467e-12,0.999999999999998,0.190898913543511,3.54131326526011,0.0820630784936209,0.16193676265243,0.108823335295565,0.272489388376594,0.267725364793823,0.226128806868395,0.159056336646586,0.344105357439928,0.126423296616932,0.43126866215979,0.178805968884474,0.12642463140072,3.54131326526011,3.54128043664469
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138078077418149,0.00301852874751267,0.00129771341031805,0.00225127867155404,0.000320203180774481,0.000973951370377067,0.00309603664688899,0.000334866606638592,0.0372221739992984,0.0403971546047939,0.000200590044291862,0.000915300318394978,0.0323669803286693,0.0162212309620182,0.00348027253233821,0.0110496087744526,0,0.0239452156032759,5.05099101398075e-11,1.0000000000001,0.190898913543412,3.01790026374539,0.789017585246563,0.183218740364957,0.99824108486004,0.346350564854467,0.291093800704073,0.419264472826977,0.344004071876555,0.257589697414301,0.305099786879495,0.975776681275216,0.334316740486436,0.305100106131659,3.01790026374539,3.01790343479408
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138078077418149,0.00301852874751267,0.00129771341031805,0.00225127867155404,0.000320203180774481,0.000973951370377067,0.00309603664688899,0.000334866606638592,0.0372221739992984,0.0403971546047939,0.000200590044291862,0.000915300318394978,0.0323669803286693,0.0162212309620182,0.00348027253233821,0.0110496087744526,0,0.0239452156032759,5.05099101398075e-11,1.0000000000001,0.190898913543412,3.01790026374539,0.789017585246563,0.183218740364957,0.99824108486004,0.346350564854467,0.291093800704073,0.419264472826977,0.344004071876555,0.257589697414301,0.305099786879495,0.975776681275216,0.334316740486436,0.305100106131659,3.01790026374539,3.01790343479408
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121680117862212,0.00266009216054132,0.00114360854436332,0.00197930140624806,0.000282181233620211,0.000859796862740055,0.00272571417705919,0.000295104518492522,0.0328018402538832,0.035601421127827,0.000176771125451524,0.000806605731696098,0.0429788055568368,0.0215394616722511,0.00306700464052667,0.0100155800676948,0,0.0217976126778796,9.20926225749972e-11,1.00000000000018,0.190898913543333,4.0073478374673,0.69531495921264,0.161462346618593,0.87969888027948,0.304507908653547,0.256528394200191,0.370123488049959,0.302857130784354,0.227003475763478,0.268867543064617,0.859937708401619,0.294618542419207,0.268868577232033,4.0073478374673,4.00734170646532
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861094127104526,0.00188270305781971,0.000809371501121475,0.00142962176476234,0.000199718341523348,0.000608535506454199,0.00193000593939041,0.000208868216801968,0.0232141012679596,0.0251795933967241,0.000125112006592876,0.000570854711576586,0.0304194185374726,0.015244961297733,0.00217069464652037,0.0359250599425778,0.0340422461922689,0.00832710594508326,4.22806041124237e-11,1.00000000000008,0.190898913543428,2.83630942074336,0.492053786916872,0.114276361627904,0.622593462401135,0.219941809963437,0.181562128657589,0.261961044534739,0.214445104376713,0.160667859078437,0.190279518589833,0.608202739051307,0.208520010988126,0.190284903858862,2.83630942074336,2.83627186934568
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00404055332057413,0.00413567202573768,0.000310477860378772,0.00831796745810913,0.000395463743938808,0.000381979177702351,0.00212960652738924,5.18063275264732e-05,0.0082946681262679,0.0038131222331626,5.50268270729245e-05,0.00021152507715969,0.000565980657045917,0.000283622267445791,0.000834904494959389,0.100282771321031,0.0705684837555737,0.000284628295106892,1e-28,1,0.204958259496182,0.0527720892350506,0.230888761175664,0.251027133580436,0.238829123368286,1.27968730124756,0.359512494489825,0.164433567672127,0.236622947487694,0.0398510211742101,0.0679890830021959,0.0921044017672125,0.0917113784548741,0.07050835905323,0.0527720892350506,0.0527669334782868
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317551017002965,0.00380811455432329,0.000368315712993254,0.0246098416220868,0.00057084140464382,0.000513545651760231,0.0045809884728782,4.4895288713153e-05,0.00744682834255315,0.00243685453312398,6.9699428658525e-05,0.000208499788276839,0.000252785532115591,0.000126687032740646,0.000999079497869892,0.0890197658984117,0.066167572233902,0.000558434331102178,-1.8958887510754e-13,1,0.204958259496183,0.0235697465842043,0.181457724001694,0.231145041233584,0.28331977922558,3.78612948032104,0.518946731494382,0.221070017976854,0.508998719208689,0.0345348374716562,0.0610395765783045,0.0588612206068593,0.116165714430875,0.069499929425613,0.0235697465842043,0.0235696805098877
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.023087250642407,0.00539893048873985,0.000636055760343165,0.00396546687561968,0.000461336422887207,0.000576203853595259,0.00253175553414272,9.90342395482634e-05,0.0155707353275349,0.0133214395214205,8.35254177582175e-05,0.000384068039700777,0.00204008795827792,0.00102246652891952,0.00146353011292962,0.0890197674626466,0.0440439522684102,0.00125265304129562,2.64070218899788e-12,1.00000000000001,0.204958259496177,0.190217991447825,1.3192714652804,0.327704430272525,0.489273661802435,0.610071827018412,0.419396748079279,0.248042984759044,0.281306170460302,0.0761801842678949,0.127628978094549,0.321773901483588,0.139209029597029,0.128022679900259,0.190217991447825,0.190226330961771
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331232473870598,0.00293165205846199,0.00036702747614819,0.0131123470514812,0.000322959544090697,0.000385943999458455,0.00274738822831463,7.01910057652494e-05,0.00771728432020384,0.00264404133948315,5.88451140385182e-05,0.000215323316597038,0.00035680049981764,0.000178793593669477,0.00101811135630401,0.112970788563999,0.0559610429034333,0.000587394386210651,-3.92719812722761e-13,0.999999999999999,0.204958259496183,0.0332681118711087,0.189275699354627,0.177945496719999,0.2823288278063,2.01728416176633,0.293599585536997,0.166140335539585,0.305265358701625,0.0539930813578842,0.0632564288541299,0.0638657328377573,0.098075190064197,0.0717744388656795,0.0332681118711087,0.0332639244036236
