"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.0020990204583573,0.00384814176056679,0.000228182635332561,0.00255082694610204,0.000433673078630859,0.000771420412425361,0.00219343821930997,0.000646054108079736,0.0239132909946371,0.0253409006895862,0.000162572443218702,0.00058803461916569,0.0514270079032037,0.0257733397418096,0.00222279158358471,0.0180593189437709,0,0.0306408990059653,-1.2463182202603e-10,0.999999999999762,0.190898913543746,4.79505901195372,0.119944026191846,0.233574613691459,0.17552510410197,0.392434914784929,0.394248253300781,0.335400179315374,0.241302334357532,0.496964698522874,0.196010581923255,0.612099050473096,0.27095407203117,0.196011539721897,4.79505901195372,4.79503995196457
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143196834380348,0.00266022609922486,0.000141062699773704,0.00176620369426486,0.000293649229172909,0.000518597237915714,0.00144158324939166,0.000446046405560556,0.0153793035777344,0.0178038149797146,0.000106974447167474,0.000378182827842436,0.0378710093902091,0.0189795127282143,0.00142955316779999,0.043725949339501,0.0374179574496988,0.0091073186765719,-2.78865882694734e-11,0.999999999999947,0.190898913543562,3.53109644663954,0.0818267625030558,0.161470476432465,0.108509769056696,0.271723645271517,0.266953844702645,0.225477059963354,0.158590016434726,0.343112619661966,0.126059865391266,0.430043840089725,0.178290745279123,0.126060942614145,3.53109644663954,3.53107213548173
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138077486218251,0.00301851588138134,0.00129770785615462,0.00225126914606657,0.000320201815736693,0.000964304172817718,0.00312698382958711,0.000334865179161052,0.03722201457984,0.0403969800920451,0.000200589189194471,0.000915296379304977,0.0323668423538513,0.0162211618109745,0.00345981607617172,0.0110496090872011,0,0.0239450074722488,-2.8104679418609e-11,0.999999999999946,0.190898913543562,3.0178873989605,0.789014206961434,0.183217959416166,0.998236812426628,0.346349099394857,0.29109255976063,0.419262683833791,0.344002621516733,0.257588599354656,0.305098480162623,0.975772465991427,0.334315315324119,0.305098793101659,3.0178873989605,3.01789056948363
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138077486218251,0.00301851588138134,0.00129770785615462,0.00225126914606657,0.000320201815736693,0.000964304172817718,0.00312698382958711,0.000334865179161052,0.03722201457984,0.0403969800920451,0.000200589189194471,0.000915296379304977,0.0323668423538513,0.0162211618109745,0.00345981607617172,0.0110496090872011,0,0.0239450074722488,-2.8104679418609e-11,0.999999999999946,0.190898913543562,3.0178873989605,0.789014206961434,0.183217959416166,0.998236812426628,0.346349099394857,0.29109255976063,0.419262683833791,0.344002621516733,0.257588599354656,0.305098480162623,0.975772465991427,0.334315315324119,0.305098793101659,3.0178873989605,3.01789056948363
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121679670319223,0.00266008239087306,0.00114360434238138,0.00197929417173344,0.000282180197419352,0.000851280900146447,0.00275296123877778,0.000295103435084739,0.0328017196741957,0.0356012896583527,0.000176770476281274,0.000806602767449779,0.0429786477704957,0.0215393825814347,0.003048979168013,0.0100155778176914,0,0.02179746992149,-1.22712619913637e-10,0.999999999999766,0.190898913543743,4.00733312545415,0.69531240182413,0.161461753619002,0.879695647985679,0.304506795651298,0.25652745219941,0.370122130498455,0.302856021867743,0.227002642372876,0.268866554706522,0.859934532810451,0.294617460468789,0.268867589149926,4.00733312545415,4.00732699189483
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.0085897861082425,0.00187804960786987,0.000807374705673943,0.00142617592168342,0.000199224380895526,0.00060102018911215,0.00194438087722768,0.00020835113002018,0.0231569390275705,0.0251187523609023,0.000124802662427558,0.000569447387599987,0.0303441096408502,0.0152072472152077,0.00215261194352206,0.0359250579928267,0.0343307966808469,0.00831478571105211,-1.1893237332862e-11,0.999999999999977,0.190898913543531,2.82928761220048,0.490844920471,0.113993906395743,0.621057465903033,0.219411680258988,0.181113073541388,0.261313125700935,0.213903286823727,0.160270100015523,0.189810975635824,0.606733148814064,0.208004437379264,0.189815795866662,2.82928761220048,2.82925529585259
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00401176145053079,0.00410565108874825,0.000308180927695322,0.00830767688253637,0.000392494239559432,0.00037533725100307,0.00213347613042339,5.14126262925427e-05,0.00823413396428281,0.00378603724474618,5.46112244110885e-05,0.00020996892116818,0.000561679350356565,0.000281467654553188,0.000823784632314053,0.100282766752555,0.0707551826338068,0.000282636521199227,1e-28,1,0.204958259496182,0.0523710349982811,0.229243511458902,0.249204921927056,0.237062252073325,1.27810413577483,0.356812945054029,0.16319010913177,0.234705844931066,0.0395481740711867,0.0674929013465804,0.0914501749938691,0.0910187073518141,0.0699896403893932,0.0523710349982811,0.0523660752657094
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00315283602599383,0.003780816535864,0.000365662104774042,0.0245964381679314,0.000566686938789758,0.000504725753676547,0.00459120853204157,4.45614920373864e-05,0.00739331643149,0.00241943399807066,6.91864496535783e-05,0.000206997973784915,0.000250905941913502,0.000125745296640188,0.000986190202921047,0.0890197672463405,0.066329332569256,0.000554447835003634,-1.35420625076813e-14,1,0.204958259496183,0.0233944934185084,0.180162058628219,0.22948810536352,0.281278542133879,3.78406741045098,0.515169944354325,0.219445979859368,0.505083446869259,0.0342780707979895,0.0606009543564754,0.0584404347360063,0.11531074942263,0.0689993245949717,0.0233944934185084,0.0233944737935233
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230010955199809,0.00537596558801195,0.000633336416746225,0.00395754615266616,0.000459321992719186,0.000567995727145438,0.00254486747279441,9.85985058978692e-05,0.0155050175924979,0.0132701263506275,8.31598269815777e-05,0.00038242998408085,0.00203111138780116,0.00101797061460343,0.00144859082014759,0.0890197674933297,0.0443132916426291,0.00124806640752168,-6.7710312538407e-14,1,0.204958259496183,0.189381015179596,1.31434831542748,0.326310506100877,0.487181859035558,0.608853254256332,0.417565447926532,0.246954663976277,0.27996341834922,0.0758450045368225,0.127090308135228,0.320534452913708,0.138599711635963,0.127476661360283,0.189381015179596,0.189389881786685
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00328951401587632,0.00291120714949341,0.000364462255452128,0.0131034647810888,0.000320649873417531,0.000379376918358663,0.00275392605352276,6.96820938968846e-05,0.00766359523073256,0.00262580865981371,5.84223039608848e-05,0.000213820065539138,0.000354213264768543,0.000177497623128965,0.00100514235824696,0.112970788548526,0.0561133370336018,0.000583351266757801,6.77103125384072e-14,1,0.204958259496182,0.0330268778338968,0.187972229478647,0.17670453107699,0.280355581117021,2.01591765862904,0.291499884925028,0.164946486242897,0.302962162103714,0.0536016106899113,0.0628163543502669,0.0634253299471911,0.0973705066014747,0.0712733551797126,0.0330268778338968,0.0330228136053888
