"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209906575870638,0.00384822481070164,0.000228187559501707,0.00255088158111887,0.000433682437045778,0.000771437058828053,0.00217176773193271,0.000646068047160748,0.0241529404234104,0.025341455733393,0.000162575951500244,0.000588047312538726,0.051428117474233,0.0257738958879044,0.00200134035474784,0.0180593223973149,0,0.0306419030225134,5.01158921303691e-10,1.00000000000096,0.190898913542552,4.79516246845995,0.119946614783222,0.233579654670813,0.17552889192439,0.392443320172134,0.394256760950707,0.335407416881762,0.241307525770301,0.496975420892883,0.196014773765707,0.612112457328333,0.270959919167074,0.196015770846242,4.79516246845995,4.79514342100546
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.0014361210210187,0.00266794002289556,0.000141472024045397,0.0017712016672578,0.000294501415097068,0.00052010246950452,0.00143152394361219,0.00044734229610774,0.0155780581818349,0.0178547387796841,0.000107284861523164,0.000379278427501821,0.0379810374201731,0.0190346093859239,0.00129083723350726,0.0437259660280569,0.0371135677258191,0.00912333064004547,-5.25163487118551e-11,0.9999999999999,0.190898913543609,3.54135547041241,0.0820640583439258,0.161938696382128,0.108824633881075,0.272492564193507,0.267728559179152,0.226131508480226,0.15905821595691,0.344109458544415,0.126424753950941,0.43127388356725,0.178808102538606,0.126426142500607,3.54135547041241,3.54132267645096
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138079730674933,0.00301856475088651,0.00129772889176045,0.00225130531888159,0.000320206997566985,0.000964319777790286,0.0030960734522068,0.000334870595736009,0.0375948425806655,0.0403976442547773,0.000200592435978549,0.000915311223252107,0.0323673658967505,0.0162214242773829,0.00311510484870188,0.0110496086246546,0,0.0239459765491689,-7.62446657378095e-11,0.999999999999854,0.190898913543654,3.01793621414923,0.78902703242819,0.183220925698726,0.998252993661888,0.346354664443321,0.291097270515441,0.419269468604472,0.344008161356312,0.257592765950776,0.305103413250004,0.9757885085695,0.334320726630915,0.305103741084036,3.01793621414923,3.01793940044332
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138079730674933,0.00301856475088651,0.00129772889176045,0.00225130531888159,0.000320206997566985,0.000964319777790286,0.0030960734522068,0.000334870595736009,0.0375948425806655,0.0403976442547773,0.000200592435978549,0.000915311223252107,0.0323673658967505,0.0162214242773829,0.00311510484870188,0.0110496086246546,0,0.0239459765491689,-7.62446657378095e-11,0.999999999999854,0.190898913543654,3.01793621414923,0.78902703242819,0.183220925698726,0.998252993661888,0.346354664443321,0.291097270515441,0.419269468604472,0.344008161356312,0.257592765950776,0.305103413250004,0.9757885085695,0.334320726630915,0.305103741084036,3.01793621414923,3.01793940044332
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121681528070386,0.00266012293551342,0.00114362178205096,0.00197932418523988,0.000282184497602988,0.000851293872804305,0.00272574564108336,0.000295107931012541,0.0331302370465815,0.0356018357626983,0.000176773170337212,0.000806615070430068,0.0429793025523278,0.0215397108015886,0.00274519921133932,0.0100155772726431,0,0.021798109002888,1.72146613717709e-10,1.00000000000033,0.19089891354318,4.00739417737322,0.695323017545065,0.16146421459869,0.87970906311612,0.304511413113827,0.256531361457261,0.370127770784481,0.30286062678704,0.227006100778878,0.268870613914799,0.859947723736674,0.294621950562019,0.268871690143356,4.00739417737322,4.00738805610951
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861098919778747,0.00188271338218471,0.000809375959920008,0.00142962940966001,0.000199719434991782,0.000602513722789449,0.00193001640867208,0.000208869357660605,0.0234463448215534,0.025179739853467,0.000125112692099127,0.000570857862046845,0.0304195846872493,0.015245044715964,0.00194292618833241,0.0359250658325702,0.0340430900548395,0.00832731996164551,3.93727221239489e-11,1.00000000000008,0.190898913543433,2.83632491256404,0.492056525587855,0.114276988296493,0.62259689224616,0.21994298610154,0.181563122719802,0.261962488169325,0.214446267630231,0.160668736662004,0.190280350767354,0.608206276653792,0.208521153498545,0.190285954015615,2.83632491256404,2.83628738901655
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00404284545757657,0.00413649564792649,0.00031044684386376,0.00831767284367728,0.000395364950281909,0.000378088022065347,0.00212943391819767,5.17899840650157e-05,0.00836478796259969,0.00381554786017219,5.5011081349935e-05,0.000211520342792411,0.000565801963940638,0.000283533184649114,0.000747563196376891,0.100282766781336,0.0705846817943012,0.000284907661009938,5.41682500307258e-14,1,0.204958259496182,0.0527554278732529,0.231019740432947,0.251077125822549,0.238805264510584,1.27964197595035,0.359422682074463,0.164386096550151,0.23660376868863,0.0398384492807813,0.0678849859000137,0.0921629917915989,0.091685135583225,0.0705067809308038,0.0527554278732529,0.0527503599347189
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00318373034582189,0.00381689593408549,0.000369049828709594,0.0246128827614095,0.000571675338176492,0.000508885411849415,0.00458189768436681,4.49206524227239e-05,0.00750001175410718,0.00244294135373781,6.97660927002679e-05,0.00020891832101772,0.000252927740223972,0.00012675945991569,0.00089903515919296,0.0890197668832814,0.066188302565671,0.000559892209493031,-2.30215062630584e-13,1,0.204958259496183,0.0235830060814892,0.18192744833268,0.231678053662245,0.283884483622765,3.78659734790915,0.51970485288772,0.22125452689105,0.509099742707424,0.0345543480174799,0.0608668378031746,0.0590082452593674,0.116276821167113,0.06963944033924,0.0235830060814892,0.0235831553331516
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230917144357628,0.00539777212710912,0.000635918661889467,0.00396507669254584,0.000461237998995374,0.000570377192960694,0.00253139371423692,9.90133217761017e-05,0.0157206467034757,0.0133218515136522,8.350765001541e-05,0.000383985394976167,0.00203965709288299,0.00102225037526358,0.00130966842126135,0.0890197675107875,0.0440513781415105,0.00125304254708057,1.35420625076814e-13,1,0.204958259496182,0.190177817518227,1.31952653918644,0.327634120006624,0.489168201453436,0.610011798853206,0.419307271813976,0.247990083895954,0.281265968248546,0.0761640936739244,0.127581940459956,0.321783852986768,0.13917941669235,0.127995131658722,0.190177817518227,0.190186116328108
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00332111368197885,0.00293775214628974,0.000367755937981957,0.0131139955062923,0.000323291489535456,0.000382400355726907,0.00274794622043832,7.02286856592536e-05,0.00777355327778913,0.00265089112361118,5.88950306670994e-05,0.000215761189878187,0.000356990777826518,0.000178891115470961,0.000915701190186466,0.112970788545359,0.0559833350586076,0.000588968162883455,1.08336500061451e-13,1,0.204958259496182,0.033285853410398,0.189777924684506,0.178315760017587,0.282889183063044,2.01753777019882,0.293901354123142,0.16626102422909,0.30532735782648,0.0540220658917335,0.0630867819979641,0.0640311865606566,0.0981583844451656,0.0719203966260622,0.033285853410398,0.0332820679945973
"11",77,"Alprazolam","28981-97-7",1.02186164376522,0.77556854978277,"in silico","BASF",0.117358450682223,0.210064103619689,"in silico","LobellSivarajah","LobellSivarajah","diproticBase",1.45,5.01,3.02,3.02,"BASF","No",0.999998873411933,0,1.12658806705745e-06,5,10.1105143655981,6.8007005355188,5.83744499812173,5.08036268172742,8.68532701193321,3.94618020515866,4.26734129237374,0.824824799433744,1.6534868169817,3.77600370350312,2.09534411391598,"Berezhkovskiy",28.86875,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",125,0.747,"in silico",7,"mg/kg",0.091523255,"mg/L","httk","Wang 1999",NA,NA,NA,1,1.3,0.0159947726039434,0.0125521161626753,0.000871085274145008,0.00764497433512509,0.00110086068286183,0.0010321523990247,0.00501784441360543,0.000123592562392643,0.0231488403397467,0.0140096404836513,0.000144923608305731,0.00056812952348701,0.00123618462121672,0.00061954343952517,0.00194588697451639,0.0513611400310326,0.0554199621207071,0.00110048786973238,-1.01636192919974e-12,0.999999999999998,0.193892137445694,0.115261969344216,0.913987005939622,0.761888689691975,0.67006559549616,1.17614989771155,1.0007824389653,0.448761912619434,0.557538268178381,0.0950712018404944,0.187865933612617,0.338397113131673,0.241539347176219,0.189376507829003,0.115261969344216,0.115263895725613
"12",85,"Alprazolam","28981-97-7",1.02186164376522,0.77556854978277,"in silico",NA,0.35,0.518518518518518,"in vitro","httk","Pearce 2017","diproticBase",1.45,5.01,3.02,3.02,"BASF","No",0.999998873411933,0,1.12658806705745e-06,5,27.4754235176103,12.1045293029846,10.2161595306576,8.85789527039348,15.3690575936671,6.80720571044609,7.39759617290237,1.15102972477007,2.66444311683577,6.53560233885009,3.44697240416337,"Berezhkovskiy",28.86875,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",125,0.747,"in silico",7,"mg/kg",0.091523255,"mg/L","httk","Wang 1999",NA,NA,NA,6,0.9,0.0072652478448551,0.00730363639267626,0.000585626635703624,0.0133041355553299,0.000781791208549749,0.000699262052664329,0.00469804430477364,6.96404225766531e-05,0.0134729340967751,0.00567244097779383,9.61802634375469e-05,0.000348608633722082,0.000499145666824622,0.000250158343079186,0.00126369935179321,0.0772947883163063,0.0594054506456408,0.000881346733190936,-2.29039307988674e-13,1,0.193892137445693,0.0465403885151163,0.415157019706006,0.443316321255008,0.450482027464326,2.04679008543536,0.710719280499772,0.304026979419273,0.522004922752626,0.0535695558281947,0.109340481226872,0.137015482555407,0.160300439062578,0.116202877907361,0.0465403885151163,0.0465410870844998
"13",86,"Alprazolam","28981-97-7",1.02186164376522,0.77556854978277,"in silico",NA,0.35,0.518518518518518,"in vitro","httk","Pearce 2017","diproticBase",1.45,5.01,3.02,3.02,"BASF","No",0.999998873411933,0,1.12658806705745e-06,5,27.4754235176103,12.1045293029846,10.2161595306576,8.85789527039348,15.3690575936671,6.80720571044609,7.39759617290237,1.15102972477007,2.66444311683577,6.53560233885009,3.44697240416337,"Berezhkovskiy",28.86875,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",125,0.747,"in silico",12.5,"mg/kg",0.206793079,"mg/L","httk","Wang 1999",NA,NA,NA,8,0.9,0.0072652478448551,0.00730363639267626,0.000585626635703624,0.0133041355553299,0.000781791208549749,0.000699262052664329,0.00469804430477364,6.96404225766531e-05,0.0134729340967751,0.00567244097779383,9.61802634375469e-05,0.000348608633722082,0.000499145666824622,0.000250158343079186,0.00126369935179321,0.0772947883163063,0.0594054506456408,0.000881346733190936,-2.29039307988674e-13,1,0.193892137445693,0.0465403885151163,0.415157019706006,0.443316321255008,0.450482027464326,2.04679008543536,0.710719280499772,0.304026979419273,0.522004922752626,0.0535695558281947,0.109340481226872,0.137015482555407,0.160300439062578,0.116202877907361,0.0465403885151163,0.0465410870844998
"14",89,"Alprazolam","28981-97-7",1.02186164376522,0.77556854978277,"in silico","ADMET",0.165990606531274,0.284720315243504,"in silico","LobellSivarajah","LobellSivarajah","diproticBase",0.93,3.01,2.629403412,2.629385664,"ADMET","No",0.999999661142155,0,3.38857845116891e-07,5,5.17819360478764,5.34056659138238,4.49115128323408,3.83362796708147,6.59033959623687,3.02504779050023,2.98332673657609,0.46138500473504,1.23959954583528,3.72791805127659,1.34007800185214,"RodgersRowland",28.86875,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",125,0.819,"in silico",7,"mg/kg",0.091523255,"mg/L","httk","Wang 1999",NA,NA,NA,9,1.1,0.00991348597182647,0.0103466423367857,0.000701509861412934,0.00649551783035493,0.000874060062355299,0.0008232244704155,0.00360860292701443,7.23423779342686e-05,0.0182092691869946,0.0134761208908437,9.69845505437603e-05,0.000446125568469636,0.00129354791026265,0.000648292064520018,0.00152644270018543,0.0630075282120176,0.0609824990460143,0.00136994147773971,8.44582448208235e-13,1,0.193892137445691,0.120610527763417,0.566484912675798,0.628020779167566,0.539622970317642,0.999310435439221,0.794600056686636,0.357923682789348,0.400955880779381,0.0556479830263605,0.147778519615279,0.325510166445499,0.161640917572934,0.148708522823212,0.120610527763417,0.120612477120003
"15",92,"Alprazolam","28981-97-7",1.02186164376522,0.77556854978277,"in silico","ADMET",0.165990606531274,0.284720315243504,"in silico","LobellSivarajah","LobellSivarajah","diproticBase",0.93,3.01,2.629403412,2.629385664,"ADMET","No",0.999999661142155,0,3.38857845116891e-07,5,5.17819360478764,5.34056659138238,4.49115128323408,3.83362796708147,6.59033959623687,3.02504779050023,2.98332673657609,0.46138500473504,1.23959954583528,3.72791805127659,1.34007800185214,"RodgersRowland",99.68302196,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",12.5,"mg/kg",0.206793079,"mg/L","httk","Wang 1999",NA,NA,NA,3,1.1,0.00982766277676803,0.0102533813440402,0.000694948423015416,0.00646702000094583,0.000865718001903311,0.000815278313642614,0.00356910310769818,7.16409470264179e-05,0.0180421849310644,0.0133645845734027,9.60503832460713e-05,0.000441974033181609,0.00128100505291899,0.000642009065455566,0.00151180141964476,0.0630075282846446,0.0615809112399984,0.00135933554709694,-7.4437775096319e-13,0.999999999999999,0.193892137445694,0.119441030575197,0.56158073010103,0.622360020882559,0.534575710011858,0.994926153991666,0.787016365366647,0.354468832018528,0.396567011966464,0.0551084207895522,0.146422536366373,0.322816052497649,0.160083972076785,0.147324677727203,0.119441030575197,0.119443547061501
"16",99,"Alprazolam","28981-97-7",1.02186164376522,0.77556854978277,"in silico",NA,0.35,0.518518518518518,"in vitro","httk","Pearce 2017","diproticBase",0.93,3.01,2.629403412,2.629385664,"ADMET","No",0.999999661142155,0,3.38857845116891e-07,5,10.9184903708569,11.2608566422193,9.46982530034495,8.08339002770686,13.8960628601988,6.37845900473551,6.29049294020135,0.972830712085937,2.6137541458849,7.86048156359393,2.82561455768979,"RodgersRowland",99.68302196,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",7,"mg/kg",0.091523255,"mg/L","httk","Wang 1999",NA,NA,NA,4,1,0.00660800932546495,0.0081378588823013,0.00061803942982293,0.0113873855740286,0.000788022829669173,0.000727630114445989,0.00401094264181217,6.53328362988079e-05,0.0152472669075349,0.00732154199321274,8.76074421901607e-05,0.000388679897808309,0.000554045172608423,0.000277678639395157,0.00137817915088395,0.0697864852618158,0.0653879817072101,0.00111944963918859,1.43149567492921e-13,1,0.193892137445692,0.0516592235532329,0.377600532883711,0.493951980716315,0.475414946017638,1.75190547292748,0.716384390608339,0.316360919324343,0.445660293534685,0.0502560279221599,0.123740195646283,0.176848840415767,0.146012403650268,0.129559965936103,0.0516592235532329,0.0516611422130525
"17",100,"Alprazolam","28981-97-7",1.02186164376522,0.77556854978277,"in silico",NA,0.35,0.518518518518518,"in vitro","httk","Pearce 2017","diproticBase",0.93,3.01,2.629403412,2.629385664,"ADMET","No",0.999999661142155,0,3.38857845116891e-07,5,10.9184903708569,11.2608566422193,9.46982530034495,8.08339002770686,13.8960628601988,6.37845900473551,6.29049294020135,0.972830712085937,2.6137541458849,7.86048156359393,2.82561455768979,"RodgersRowland",99.68302196,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",12.5,"mg/kg",0.206793079,"mg/L","httk","Wang 1999",NA,NA,NA,11,1,0.00660800932546495,0.0081378588823013,0.00061803942982293,0.0113873855740286,0.000788022829669173,0.000727630114445989,0.00401094264181217,6.53328362988079e-05,0.0152472669075349,0.00732154199321274,8.76074421901607e-05,0.000388679897808309,0.000554045172608423,0.000277678639395157,0.00137817915088395,0.0697864852618158,0.0653879817072101,0.00111944963918859,1.43149567492921e-13,1,0.193892137445692,0.0516592235532329,0.377600532883711,0.493951980716315,0.475414946017638,1.75190547292748,0.716384390608339,0.316360919324343,0.445660293534685,0.0502560279221599,0.123740195646283,0.176848840415767,0.146012403650268,0.129559965936103,0.0516592235532329,0.0516611422130525
"18",108,"Alprazolam","28981-97-7",1.02186164376522,0.77556854978277,"in silico","ADMET",0.165990606531274,0.284720315243504,"in silico","LobellSivarajah","LobellSivarajah","diproticBase",0.93,3.01,2.629403412,2.629385664,"ADMET","No",0.999999661142155,0,3.38857845116891e-07,5,17.5916710283668,1.77508754868434,2.64903901829702,1.51906197099608,2.26824017179588,1.36942564162703,1.25963225298598,0.422329386998819,0.701986673901979,2.31003249333111,0.761310470549586,"Schmitt",99.68302196,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",12.5,"mg/kg",0.206793079,"mg/L","httk","Wang 1999",NA,NA,NA,5,0.7,0.0164645092311267,0.00391867802342812,0.00046199184476365,0.00334231764448719,0.000335305517407897,0.000415139113414646,0.00185450441588864,7.37576509937144e-05,0.0115562349205584,0.00958355887147169,6.13828456424433e-05,0.000282352638976785,0.0014408137521381,0.000722118928263307,0.000963202767668234,0.0948217546408103,0.0465932989793957,0.00100121565925662,2.14724351239382e-13,1,0.193892137445692,0.134341608590965,0.940829098921526,0.237856025701252,0.355378342125885,0.514202714536491,0.304823197643543,0.18049526670202,0.206056046209848,0.0567366546105495,0.0937853832215421,0.231486929262601,0.102304742737405,0.094117546325595,0.134341608590965,0.134347707583871
"19",109,"Alprazolam","28981-97-7",1.02186164376522,0.77556854978277,"in silico","BASF",0.117358450682223,0.210064103619689,"in silico","LobellSivarajah","LobellSivarajah","diproticBase",1.45,5.01,3.02,3.02,"BASF","No",0.999998873411933,0,1.12658806705745e-06,5,16.240367953599,1.62032134372704,2.48429719239727,1.3843557545317,2.07368792617013,1.24809643411765,1.14382171238315,0.373746282125559,0.630585747496889,2.16368383983936,0.681645437470126,"Schmitt",28.86875,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",125,0.747,"in silico",7,"mg/kg",0.091523255,"mg/L","httk","Wang 1999",NA,NA,NA,10,0.7,0.0190006130636594,0.00427068267733611,0.000517283257203749,0.0032789878806392,0.000366635292140845,0.000455309225330818,0.00200698039212557,7.81279588895835e-05,0.0123958600074696,0.010908105245529,6.57483491580104e-05,0.000302884157771066,0.00172458440981226,0.000864279269546956,0.00103477135658298,0.0948217546578191,0.0409676714345033,0.000831858810180795,-2.97751100385276e-12,0.999999999999994,0.193892137445698,0.160800411171306,1.08574931792339,0.259222013798853,0.397910197849037,0.504459673944493,0.333304811037132,0.19796053275253,0.222997821347285,0.0600984299150643,0.100599415739893,0.263480803032102,0.109580581930017,0.100961385923689,0.160800411171306,0.160796143171527
