"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209880116820386,0.0038477397289807,0.000228158799275752,0.00255056249021342,0.000433627778432202,0.000771339834719808,0.00217149486991861,0.000645986637848404,0.0239107916734115,0.0253382529804901,0.00016255546098586,0.000587973171386342,0.0514216371781953,0.0257706477091807,0.00226260058848423,0.0180593169972792,0,0.0306374264764669,1.86686023660083e-11,1.00000000000004,0.190898913543473,4.79455824505318,0.119931495325935,0.233550211167266,0.175506768673655,0.392394229263603,0.394207071302002,0.335365145530351,0.241277207768735,0.496912798344926,0.195990095683701,0.612035096147104,0.270925768309767,0.195991057128781,4.79455824505318,4.79453910868479
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143599207731444,0.00266770046577524,0.000141459326625646,0.00177104654143797,0.000294474984884488,0.000520055797168408,0.00143139677545305,0.000447302177246734,0.0154224403256491,0.0178531218041545,0.00010727523256512,0.000379244351612563,0.0379776312190259,0.0190329014471737,0.00145939883749577,0.0437259533716169,0.0371092773056457,0.00912224150263112,1.68511761232115e-11,1.00000000000003,0.190898913543476,3.54103787589985,0.0820566901322537,0.161924155737496,0.108814866635112,0.272468698682764,0.267704531713171,0.226111216160177,0.15904408616145,0.344078597882103,0.126413445292206,0.431234826187307,0.178792054275201,0.126414783870854,3.54103787589985,3.5410049204044
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138053580543698,0.00301799374613641,0.0012974835343945,0.00225088262268515,0.000320146436257469,0.000964137395939899,0.00309548963395389,0.000334807271871642,0.0372155740659396,0.0403899688106178,0.000200554494691909,0.000915138106880949,0.0323612452578713,0.0162183564658251,0.00352153849963687,0.0110496095291966,0,0.0239406296171347,5.49589695821739e-11,1.0000000000001,0.190898913543404,3.01736552520944,0.788877603106848,0.183186266836808,0.998064257226542,0.346289634259254,0.291042214779517,0.419190172147782,0.343943292661543,0.257544055285879,0.305045689065079,0.975603111367579,0.334257491153181,0.305046035626983,3.01736552520944,3.01736864480468
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138053580543698,0.00301799374613641,0.0012974835343945,0.00225088262268515,0.000320146436257469,0.000964137395939899,0.00309548963395389,0.000334807271871642,0.0372155740659396,0.0403899688106178,0.000200554494691909,0.000915138106880949,0.0323612452578713,0.0162183564658251,0.00352153849963687,0.0110496095291966,0,0.0239406296171347,5.49589695821739e-11,1.0000000000001,0.190898913543404,3.01736552520944,0.788877603106848,0.183186266836808,0.998064257226542,0.346289634259254,0.291042214779517,0.419190172147782,0.343943292661543,0.257544055285879,0.305045689065079,0.975603111367579,0.334257491153181,0.305046035626983,3.01736552520944,3.01736864480468
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121661169505106,0.00265967815667698,0.00114343052800838,0.00197899491677819,0.000282137318947011,0.000851151544842646,0.00272529086398875,0.000295058596730409,0.0327967333477964,0.0355958686979467,0.000176743614532849,0.000806480165454552,0.042972117551121,0.0215361096507935,0.00310343737280406,0.0100155788882527,0,0.0217939853783461,-1.16751461837264e-11,0.999999999999978,0.190898913543531,4.00672424719077,0.69520668288632,0.161437217400727,0.879561944621831,0.304460756427414,0.25648847177001,0.37006588906202,0.30281009599875,0.226968151331084,0.268825683178659,0.859803591737842,0.294572690888081,0.268826721818184,4.00672424719077,4.00671807456623
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00860986766663028,0.00188246896684312,0.000809270780662635,0.0014294484837218,0.000199693516319107,0.000602435532863927,0.0019297685395243,0.000208842265605856,0.0232112099415242,0.0251764308041493,0.000125096452893296,0.000570783649277438,0.0304156390407866,0.0152430665370107,0.00219654846601288,0.0359250634306195,0.0340374030957975,0.00832587637323913,1.414684587393e-11,1.00000000000003,0.190898913543481,2.83595702011996,0.491992438093159,0.114262152767412,0.622515985125104,0.219915151341815,0.181539560290097,0.261928492549534,0.214418726613811,0.160647896619889,0.190255819192821,0.608126347926311,0.208494088155493,0.190261216425813,2.83595702011996,2.83591935572291
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00403991856237556,0.00413509346007956,0.000310439828468786,0.00831780719078231,0.000395419497256455,0.000378161325311879,0.00212953030115305,5.1800923708162e-05,0.00829355037409926,0.00381251276238288,5.50208800513083e-05,0.000211498154161927,0.000565921640942557,0.000283592628332175,0.000844796449113066,0.100282766557771,0.0705658495395731,0.000284579420620124,-1.21878562569133e-13,1,0.204958259496183,0.0527665865680706,0.230852489278603,0.250992015786316,0.238799868052912,1.27966264473574,0.359472270233141,0.164417967526904,0.236614477905895,0.0398468643908939,0.0679799210991743,0.0920896802507942,0.0917014667521805,0.0704993847206422,0.0527665865680706,0.0527614192245906
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.0031748424599163,0.00380729571260991,0.000368236243159575,0.0246093936677419,0.000570722150138893,0.000508389227767581,0.00458082756276048,4.48875431974899e-05,0.00744522045658618,0.00243633722749972,6.96859638727912e-05,0.000208454790145013,0.000252741896813246,0.00012666508208848,0.00101036491747887,0.0890197673245271,0.0661661098895287,0.000558317380350316,2.70841250153629e-14,1,0.204958259496182,0.0235656780245451,0.181419569138074,0.231095339156899,0.283258648584288,3.78606056426798,0.518838318308085,0.221038794681557,0.50898084030672,0.0345288793826845,0.0610263971851326,0.0588487253019257,0.116143273121319,0.0694849300483377,0.0235656780245451,0.0235655966676241
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230838522783039,0.00539841332731,0.000635995800838359,0.00396530374102786,0.000461295578972734,0.000570448360519067,0.00253160478445709,9.90256615072616e-05,0.0155692067977087,0.0133196680892336,8.35180741964912e-05,0.000384031558742242,0.00203991128217061,0.00102237781026086,0.0014810141702888,0.0890197674906039,0.0440403672452416,0.00125245744479808,6.63561062876389e-13,1,0.204958259496181,0.190201518151106,1.31907727304594,0.32767303959393,0.48922753910643,0.610046729388901,0.41935961724794,0.248021026312638,0.281289420495232,0.0761735857748166,0.127616449161547,0.321731113266512,0.139196790327485,0.128010519580747,0.190201518151106,0.190209825164812
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331142081796763,0.00293085254537984,0.00036692792864343,0.0131120423942078,0.000322883561732765,0.000382052177750043,0.00274726152102845,7.01767081895397e-05,0.00771517040334138,0.00264331767231974,5.88319118401132e-05,0.000215264741685886,0.000356727854819373,0.000178757025969424,0.00102963070685744,0.11297078854559,0.0559589183994931,0.000587234579366504,-8.12523750460884e-14,1,0.204958259496183,0.0332613384446968,0.189224046741008,0.177896967853101,0.282252252802639,2.01723729141658,0.29353051066615,0.166109642500019,0.305251280114272,0.0539820832227229,0.0632391016667326,0.063848252954583,0.0980531864001887,0.0717549138952953,0.0332613384446968,0.0332571211105906
