"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209700261659007,0.00384444239832082,0.000227963298240685,0.00254839348749629,0.000433256228083744,0.00077067893543646,0.00216964007813503,0.000645433225906963,0.0238902951511631,0.0255696069517596,0.000162416174087679,0.000587469217047866,0.0513775847799376,0.025748567482211,0.00215720784046348,0.0180593148432869,0,0.0306096408355916,-1.31218174729926e-10,0.99999999999975,0.190898913543759,4.79045079533218,0.119828720948004,0.233350069700808,0.175356383262065,0.392060536537891,0.393869298257949,0.335077798015852,0.241071119792781,0.49648709685151,0.195822091402976,0.611508273586828,0.270693623479466,0.195823072349289,4.79045079533218,4.79043115948112
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143494058069889,0.00266574697045057,0.000141355775770977,0.00176978160882879,0.000294259436519832,0.000519675159716506,0.00143035974194249,0.00044697495027867,0.0154111373961146,0.018018258911297,0.000107196705700389,0.000378966506455807,0.0379498486923851,0.0190189720569962,0.00139159356987423,0.0437259676479516,0.0370792582526893,0.00911461957964826,9.90860787572791e-11,1.00000000000019,0.190898913543319,3.53844743052542,0.0819966046113651,0.161805582424921,0.108735212131521,0.272274093665968,0.267508578654393,0.225945721615872,0.158928860215833,0.343826884829746,0.126320798328808,0.430914500198426,0.178661176167314,0.126322168818602,3.53844743052542,3.53841340595278
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0137867361929441,0.00301392602163229,0.00129573411512773,0.00224787129356066,0.000319714968978024,0.00096283801599977,0.00309133047455174,0.000334356086339735,0.0371653876925256,0.0407385651509339,0.000200284193623001,0.000913904130047998,0.0323176353704544,0.0161964993315818,0.00335585342311189,0.0110496091321418,0,0.0239086679502034,-1.30636598332231e-10,0.999999999999751,0.190898913543758,3.0132993352405,0.787813496739663,0.18293936398375,0.996718550098252,0.345826352855486,0.290649971798204,0.418625224347726,0.343481163839082,0.257196989492104,0.304634325348571,0.974280507747019,0.333806989371669,0.304634710015999,3.0132993352405,3.01330220122453
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0137867361929441,0.00301392602163229,0.00129573411512773,0.00224787129356066,0.000319714968978024,0.00096283801599977,0.00309133047455174,0.000334356086339735,0.0371653876925256,0.0407385651509339,0.000200284193623001,0.000913904130047998,0.0323176353704544,0.0161964993315818,0.00335585342311189,0.0110496091321418,0,0.0239086679502034,-1.30636598332231e-10,0.999999999999751,0.190898913543758,3.0132993352405,0.787813496739663,0.18293936398375,0.996718550098252,0.345826352855486,0.290649971798204,0.418625224347726,0.343481163839082,0.257196989492104,0.304634325348571,0.974280507747019,0.333806989371669,0.304634710015999,3.0132993352405,3.01330220122453
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121517685182283,0.00265654290775581,0.00114208244274996,0.0019766738735508,0.00028180475057313,0.000850148255887662,0.00272208511166691,0.000294710824210522,0.032758060672462,0.035909292009444,0.000176535273564,0.000805529283417128,0.0429214682568661,0.021510724519107,0.00295792461788423,0.0100155767219829,0,0.0217679855043062,-7.75968308624503e-11,0.999999999999852,0.190898913543657,4.0020017022719,0.694386772470191,0.161246913976074,0.878524955961507,0.30410367285397,0.256186136884663,0.369629676472897,0.302453901296324,0.226700634008094,0.268508694036574,0.858786339729373,0.29422545594,0.268509761139043,4.0020017022719,4.00199525936874
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00860155108780263,0.00188065469540623,0.000808490287553717,0.00142810545103836,0.00019950110377791,0.000601855070510629,0.00192792857401644,0.000208641110109675,0.023188808284852,0.0254031544876881,0.000124975903917202,0.000570233013392057,0.0303863430059961,0.0152283805444964,0.00209400990166465,0.0359250600782022,0.0340038616741282,0.00831735926892011,1.88285358753744e-11,1.00000000000004,0.190898913543473,2.83322545510453,0.491517205017293,0.114152030070181,0.621915605810551,0.219708530928978,0.1813646397981,0.261676117613317,0.214214286001826,0.160493161622827,0.190072199056164,0.607527490498112,0.208293173195337,0.190077671130686,2.83322545510453,2.83318707804584
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00404237979255375,0.00413689320979305,0.000310523982760233,0.00831807253758242,0.000395482651055442,0.000378199924196653,0.00212963384510076,5.18050747312529e-05,0.00829676047647513,0.00382989774667913,5.50274897471873e-05,0.000211565255585462,0.000565966775481679,0.000283615944436119,0.000806483266098147,0.100282766755922,0.0705783813029799,0.000284803465004048,5.41682500307258e-14,1,0.204958259496182,0.0527707949167067,0.230993131003072,0.251101257043584,0.238864602123256,1.27970346732037,0.359529682777675,0.164434749650719,0.236625982788973,0.0398500574855791,0.0680062334137305,0.0915936707007013,0.0917124829119789,0.0705217518618208,0.0527707949167067,0.0527657571043943
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317939162642693,0.00381245013179329,0.000368700438056666,0.0246115812693578,0.000571344894980773,0.00050882383798741,0.00458159409970151,4.4921909596156e-05,0.00745495868078417,0.0024434493059331,6.9749862310797e-05,0.000208718470776341,0.000252935212174793,0.000126762451154899,0.000967004230175787,0.0890197660096281,0.0661769865927823,0.000559120472561708,-2.70841250153627e-14,1,0.204958259496183,0.0235837027668805,0.18167952151011,0.23140820223328,0.28361572158205,3.78639711836274,0.519404449982521,0.2212277556467,0.509066011077946,0.0345553150739661,0.0611062186949522,0.058436153105015,0.116249770517995,0.0695728235921137,0.0235837027668805,0.0235837118427718
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230868543030425,0.00539570978740302,0.000635664831071547,0.00396424352923546,0.000461020804419904,0.00057010003434113,0.00253060853516152,9.89642343654962e-05,0.0155618917131931,0.0133942410476374,8.34676640195576e-05,0.000383835251412107,0.00203864551011832,0.00102174560484452,0.00141240225992758,0.0890197675089159,0.0440463423579443,0.00125275451912609,1.40837450079887e-12,1,0.20495825949618,0.19008349744693,1.31924881731671,0.327508940054811,0.488972946978113,0.609883619882378,0.419109822199912,0.247869580148318,0.281178726129058,0.0761263341273047,0.127556489452403,0.320329101440605,0.139112773365929,0.127945083804036,0.19008349744693,0.190092205552468
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331648959876895,0.00293487411672608,0.000367420927126599,0.013113451108324,0.000323215814144957,0.000382397918881352,0.00274782338207804,7.02357363045757e-05,0.00772599740027613,0.00265052104583567,5.88885638032271e-05,0.000215557107876536,0.000357027408211677,0.000178908024268668,0.0009852998582599,0.112970788548111,0.0559712259726539,0.000588136964531544,-1.35420625076814e-13,1,0.204958259496183,0.0332892688309256,0.189513691358226,0.178141069300521,0.282631482405076,2.01745401666523,0.293832558313597,0.166259964731023,0.305313709119782,0.0540274894650582,0.063327847543247,0.0633883638454984,0.0981476063387118,0.0718523692921788,0.0332892688309256,0.0332852138174266
