"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209906804398,0.00384822899975409,0.000228187808179631,0.0025508843385897,0.000433682909804403,0.000771437900006515,0.00217177009067932,0.000646068752771094,0.0239138331186813,0.0253414826465775,0.000162576128688794,0.000593928347738252,0.0514281736438834,0.0257739239998226,0.00223460300192636,0.0180593222667037,0,0.0306417415457392,-9.05805239409903e-12,0.999999999999983,0.190898913543526,4.79516770572339,0.119946745370286,0.233579908938033,0.175529083215101,0.392443744398415,0.394257190731275,0.335407782611528,0.241307787853258,0.496975963670073,0.196015025562961,0.612113107405253,0.270960214481323,0.196015956349258,4.79516770572339,4.79514865112978
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143612473043241,0.00266794691315711,0.000141472389773668,0.00177120611976406,0.00029450217655721,0.000520103814576142,0.00143152760099839,0.000447343454589391,0.0154238664089354,0.017854783950662,0.000107285138877928,0.00038307208466152,0.0379811357822432,0.0190346586234555,0.00144129005522489,0.0437259533422624,0.037113362362086,0.00912327859534045,-4.67296635547902e-11,0.999999999999911,0.190898913543598,3.541364641701,0.0820642703104231,0.161939114607412,0.108824915210514,0.27249324919447,0.267729251415645,0.226132093293975,0.159058622333155,0.344110349684147,0.126425134499471,0.431274974653672,0.178808564796547,0.12642643058136,3.541364641701,3.54133183692195
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138080059737465,0.00301857210655569,0.00129773203707024,0.00225131077144886,0.000320207779127188,0.000964322131718942,0.00309608097958945,0.000334871414553013,0.0372227086057415,0.0403977373790549,0.000200592925210759,0.000924466570951675,0.0323674450427969,0.0162214638939501,0.00347818679504242,0.0110496111944567,0,0.0239455979424858,4.1437318335766e-12,1.00000000000001,0.190898913543501,3.01794359373397,0.789028912785514,0.183221372173335,0.998255413130954,0.346355503299825,0.291097981024716,0.419270492051714,0.344008997732161,0.25759339581001,0.305104168899521,0.975790757948187,0.334321542017931,0.305104478861939,3.01794359373397,3.01794677096745
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138080059737465,0.00301857210655569,0.00129773203707024,0.00225131077144886,0.000320207779127188,0.000964322131718942,0.00309608097958945,0.000334871414553013,0.0372227086057415,0.0403977373790549,0.000200592925210759,0.000924466570951675,0.0323674450427969,0.0162214638939501,0.00347818679504242,0.0110496111944567,0,0.0239455979424858,4.1437318335766e-12,1.00000000000001,0.190898913543501,3.01794359373397,0.789028912785514,0.183221372173335,0.998255413130954,0.346355503299825,0.291097981024716,0.419270492051714,0.344008997732161,0.25759339581001,0.305104168899521,0.975790757948187,0.334321542017931,0.305104478861939,3.01794359373397,3.01794677096745
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121681669514116,0.00266012606212663,0.00114362312209538,0.00197932650242488,0.000282184829656814,0.000851294874609053,0.00272574884014631,0.000295108278867434,0.0328022584531318,0.0356018758560771,0.000176773378238424,0.000814682086945087,0.0429793532145035,0.0215397361586194,0.00306516161612551,0.0100155788191508,0,0.0217979144994179,-2.04133315590932e-11,0.999999999999961,0.190898913543547,4.0073989011192,0.695323825794948,0.161464404377944,0.879710093919523,0.304511769603828,0.256531663324376,0.370128206351762,0.302860982238479,0.227006368359565,0.26887097092731,0.859948692175774,0.294622297064041,0.268871975889468,4.0073989011192,4.00739277369663
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861102857737592,0.00188272209587438,0.000809379692450629,0.00142963585527134,0.000199720360494363,0.00060251651504147,0.00193002524538976,0.000208870327339661,0.0232143364080004,0.0251798513367404,0.000125113271536939,0.000576568630762793,0.0304197259132792,0.0152451153937009,0.00216938454563444,0.0359250576381459,0.0340426526167235,0.00832720911980978,-3.30335393890738e-11,0.999999999999937,0.190898913543572,2.83633808049223,0.492058775850053,0.114277517200266,0.622599763423561,0.219943977734052,0.181563964085784,0.261963702191944,0.214447249487751,0.16066948256897,0.190281445967216,0.608208969486482,0.208522119228232,0.190286676819404,2.83633808049223,2.83630053836295
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00404078959599891,0.00413584677002814,0.000310487262505064,0.00831800089045471,0.000395473205376831,0.000378209811343786,0.00212962235782913,5.18074211920939e-05,0.00829498718146682,0.00381335779842636,5.50280628582483e-05,0.000213452407227063,0.000565992597944853,0.000283628274081932,0.000834414829796071,0.100282766781777,0.0705697433398948,0.000284650907981693,-4.19803937738124e-13,0.999999999999999,0.204958259496183,0.0527732026055807,0.230902262628509,0.251037740214151,0.238836355773126,1.27969244468534,0.359521095797119,0.164439048410342,0.236624706425459,0.0398518624554569,0.0679916982087444,0.0921100917494291,0.0917134380970805,0.0704463390188328,0.0527732026055807,0.0527680509919874
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317604757529546,0.00380866574504069,0.000368360209872917,0.024609957195193,0.000570890079664248,0.000508508581769163,0.00458103079123488,4.48971285938012e-05,0.00744781462683521,0.0024372469212121,6.97033847952177e-05,0.00020979011612087,0.000252795869821673,0.000126692256138012,0.000998561468721346,0.0890197673578505,0.0661690001045086,0.000558530083515136,-1.76046812599858e-13,1,0.204958259496183,0.0235707104728832,0.181488432874026,0.231178497422804,0.283354007594551,3.78614726079893,0.518990981512953,0.221090687725723,0.50900342124832,0.0345362527644624,0.0610476608756984,0.0588706985800025,0.11617230799203,0.0692376620860956,0.0235707104728832,0.0235706523047465
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230881079639773,0.0053990182013475,0.000636065891505383,0.00396549423683401,0.000461343263989745,0.00057050654514859,0.00253178080231165,9.9035673303587e-05,0.0155709967093574,0.0133218351909669,8.35266468830208e-05,0.000387888508338505,0.00204011748792823,0.00102248135987146,0.0014626537993956,0.0890197674662074,0.0440449335410984,0.00125270620771835,-2.70841250153628e-13,0.999999999999999,0.204958259496183,0.190220744795173,1.31932045508442,0.32770975425478,0.489281455004141,0.610076036436002,0.419402967263405,0.248046323977648,0.281308978034628,0.0761812871566054,0.127631120568503,0.321783458719008,0.139211078138368,0.128016009352642,0.190220744795173,0.190229090208644
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331274388690499,0.00293190346014507,0.000367056799569713,0.0131124103228287,0.000322971034184026,0.000382143985445462,0.00274740936409814,7.01925133094123e-05,0.00771799884785388,0.00264436265244283,5.8846880554402e-05,0.000216674520749668,0.000356808078197318,0.000178797432747732,0.00101755119052713,0.112970788548055,0.0559621298502966,0.000587470128272996,-5.41682500307256e-14,1,0.204958259496183,0.0332688184799364,0.189299650680285,0.177960756306226,0.282351384284395,2.01729389581979,0.293610031076387,0.166149558889331,0.305267707122015,0.0539942410072402,0.0632622856381465,0.0638734940203582,0.0980781342573366,0.0715097428216725,0.0332688184799364,0.0332646386507408
