"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209320753838892,0.00383748477188945,0.000227550782128245,0.00254381676258198,0.000432472242926563,0.000769284418502483,0.00216572637167134,0.000644265536392321,0.0238470439370193,0.0252705599502402,0.000162122272689416,0.000586405805502914,0.0517974813832983,0.0257019777354137,0.00221326449830601,0.0180593088629844,0,0.0305469406736973,-6.51801747716629e-11,0.999999999999876,0.190898913543633,4.78178415225815,0.11961185933651,0.232927755501636,0.175039063175573,0.391356425012613,0.393156584478693,0.334471486305428,0.240636263519038,0.495588874147939,0.195467573254257,0.610399998798072,0.270203787815693,0.195468601834305,4.78178415225815,4.78176329961186
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143277193850107,0.00266171798478508,0.000141142220181625,0.00176717279453849,0.000293814910071968,0.000518890179906322,0.00142822099976652,0.000446300173989059,0.0153878223414352,0.0178127735820327,0.000107034757938461,0.000378393417821969,0.0382714838890228,0.0189902461850113,0.00142818228222342,0.0437259526372768,0.0370099646666902,0.00909702858236366,-2.51822580201919e-11,0.999999999999952,0.190898913543557,3.53310566955367,0.0818726822000609,0.161561030942949,0.10857093860125,0.271872737621306,0.267104463701789,0.225604426046227,0.158691222196279,0.34330782614543,0.126129691323239,0.430260231450064,0.178391263230768,0.12613113927399,3.53310566955367,3.53306905767653
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0137859494740181,0.00301375509276177,0.00129566049162128,0.00224774478091524,0.000319696848819169,0.00096278344822237,0.00309115573600587,0.000334337150067234,0.0371632718558875,0.0403330305609141,0.000200272838853408,0.000913852163546902,0.0326389631287155,0.0161955815982591,0.00344910452140043,0.0110496089728326,0,0.0239041448809668,-1.56560366259484e-10,0.999999999999701,0.190898913543807,3.01312867859544,0.787768541372464,0.182928988938499,0.996661916631756,0.345806889371575,0.290633498926517,0.418601499227117,0.343461748445097,0.257182423128641,0.304616982425308,0.974227791326428,0.333788064755679,0.304617387848967,3.01312867859544,3.01313146014123
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0137859494740181,0.00301375509276177,0.00129566049162128,0.00224774478091524,0.000319696848819169,0.00096278344822237,0.00309115573600587,0.000334337150067234,0.0371632718558875,0.0403330305609141,0.000200272838853408,0.000913852163546902,0.0326389631287155,0.0161955815982591,0.00344910452140043,0.0110496089728326,0,0.0239041448809668,-1.56560366259484e-10,0.999999999999701,0.190898913543807,3.01312867859544,0.787768541372464,0.182928988938499,0.996661916631756,0.345806889371575,0.290633498926517,0.418601499227117,0.343461748445097,0.257182423128641,0.304616982425308,0.974227791326428,0.333788064755679,0.304617387848967,3.01312867859544,3.01313146014123
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121414790333265,0.00265429501310511,0.00114111584162888,0.00197500975958405,0.000281566312374118,0.000849428938749848,0.00271978668526708,0.000294461492933097,0.0327303299597301,0.0355236716620015,0.000176385899984089,0.000804847468039155,0.0433140074316675,0.0214925245352264,0.00303771772994599,0.0100155785552394,0,0.0217467072245137,1.00598177391286e-10,1.00000000000019,0.190898913543316,3.99861593220868,0.693798801904373,0.161110471205166,0.8777814166376,0.303847655320623,0.255969374885562,0.369316929891238,0.302198520585231,0.226508840717767,0.268281393112542,0.858059701980712,0.293976499973482,0.268282489346385,3.99861593220868,3.99860921585607
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00859592429921504,0.00187942875442431,0.000807962688489645,0.00142719797598401,0.000199371104031923,0.000601462895509681,0.00192668532389968,0.000208505230310711,0.023173659147139,0.0251353536410405,0.000124894452276484,0.000569860736971849,0.0306702192193652,0.0152184587282586,0.00215091514239414,0.0359250547526031,0.0339741434878704,0.00830981596365898,3.41821527745214e-11,1.00000000000007,0.190898913543443,2.83138029674031,0.49119567424086,0.114077617870975,0.62150976037665,0.219568919382155,0.181246458210839,0.26150560674334,0.214076147099964,0.160388638700547,0.189948025796221,0.607134145918852,0.208157420460807,0.189953578990616,2.83138029674031,2.83134115874578
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00404098863702082,0.00413608073938938,0.000310505156783277,0.00831807726278307,0.000395495047212317,0.000378230070985059,0.00212965960183531,5.1810161307597e-05,0.0082954640404221,0.00381353824228865,5.50310401258169e-05,0.000211544398033651,0.000571682752516752,0.000283643294036469,0.00082884101426142,0.100282766759694,0.070570240409805,0.000284660867682173,-8.12523750460884e-14,1,0.204958259496183,0.0527759932162526,0.230913636401189,0.25105194169283,0.238850120602521,1.27970419427432,0.359540952011197,0.164447856950026,0.236628844648368,0.0398539702366131,0.0679956068887057,0.0921144502968273,0.0917184002096949,0.0705147993445503,0.0527759932162526,0.0527708454021337
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317657517405529,0.00380933515773303,0.00036842697628855,0.0246103001898848,0.000570993353140414,0.000508593513065974,0.004581163995192,4.49042989282342e-05,0.00744914856492074,0.00243766070202072,6.97153514900726e-05,0.000208562956424759,0.000255364584392491,0.000126712518854563,0.000992261537622382,0.0890197673437214,0.0661701511251071,0.000558622153340585,-3.25009500184354e-13,0.999999999999999,0.204958259496183,0.0235744729296768,0.181518581374588,0.231219129452688,0.283405366375808,3.78620002921304,0.519084866491286,0.22112761437651,0.509018221688,0.034541768406334,0.0610585947944323,0.0588806932855247,0.116192252483454,0.0695209854749196,0.0235744729296768,0.0235744221124768
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.023086077686827,0.00539879929964325,0.000636040563672581,0.00396542572645945,0.000461326123770561,0.000570485642562812,0.0025317175145099,9.90320779122451e-05,0.0155703466722268,0.0133208953230207,8.35235663348045e-05,0.000384058790100651,0.00206044387112297,0.00102244417092197,0.0014526880388124,0.0890197674711475,0.0440426068881816,0.00125258006895546,-1.35420625076814e-13,1,0.204958259496183,0.190213840256915,1.31920443924726,0.327696467353156,0.489261972055832,0.610065496378377,0.419387385245964,0.248037235896875,0.281301946056656,0.0761785214709577,0.127625792395301,0.321760756594704,0.139205943891341,0.128019596700217,0.190213840256915,0.19022217133432
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331319743327217,0.00293238318543864,0.00036711774528489,0.0131126193505074,0.000323024439542731,0.000382203926663087,0.00274749894801153,7.02031746078635e-05,0.00771923613149761,0.00264473564406795,5.88563581762146e-05,0.000215376658423867,0.000360430910546,0.000178824682620693,0.00101108933496475,0.112970788552782,0.0559631238633058,0.000587549156469862,-2.70841250153627e-14,1,0.204958259496183,0.0332738729761591,0.189325567615552,0.177989874685198,0.282398265603762,2.01732605392421,0.293658581402483,0.166175620288299,0.305277660890169,0.0540024420060489,0.0632724273073575,0.0638825034799023,0.0980939302936911,0.0717922194746224,0.0332738729761591,0.0332697083945476
