"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00212005900196095,0.00388671179860613,0.000230469716415764,0.00257639350136181,0.000438019796203246,0.000779152380917701,0.00219348807225843,0.000652529525570291,0.0241529746177946,0.0255949008752887,0.000164201911458682,0.000593928508784185,0.0519424621679498,0.0260316666441518,0.00226288864691423,0.0182399012661581,0,0.0309481542470683,-0.999999999957659,0.998091010864646,0.192807902678863,4.84312001565965,0.121146228683483,0.235915738913877,0.177284397242895,0.396368230978741,0.398199814730224,0.338761904746827,0.243720896917604,0.501945788900224,0.197975201785202,0.618234320659148,0.273669852431136,0.197976169594728,4.84312001565965,4.84310077100499
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00145048598224355,0.00269462639063342,0.00014288711412544,0.00178891818863634,0.000297447199271972,0.000525304854407814,0.00144584288228099,0.000451816890635961,0.0155781051182695,0.0180333318157116,0.000108357990611212,0.000383072200910877,0.0383609472675625,0.0192250052717385,0.00145953372993152,0.0441632150876804,0.0374844938498063,0.0092145108444228,-0.999999999967124,0.998091010864628,0.192807902678881,3.57677830000583,0.08288491327106,0.163558506259995,0.109913164711877,0.275218182867129,0.270406544792702,0.228393414959919,0.160649209142332,0.347551454335355,0.127689386215324,0.435587725017188,0.180596651018687,0.127690733636959,3.57677830000583,3.57674516683507
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0139460871086118,0.00304875800265046,0.00131070944178931,0.00227382400599292,0.00032340987583912,0.000973965410049805,0.00312704196761182,0.000338220148724616,0.037594938042092,0.0408017166515601,0.000202598866233919,0.000924466644298003,0.0326911214288402,0.0163836794955173,0.00352221353167945,0.0111601047259194,0,0.0241850473314319,-0.999999999946841,0.998091010864666,0.192807902678842,3.04812321014827,0.796919263349248,0.185053596518996,1.00823803214562,0.349819077845064,0.294008978035564,0.423463221760785,0.347449107512425,0.260169345172782,0.308155229853213,0.98554871139034,0.337664777056532,0.308155548099334,3.04812321014827,3.04812641777066
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0139460871086118,0.00304875800265046,0.00131070944178931,0.00227382400599292,0.00032340987583912,0.000973965410049805,0.00312704196761182,0.000338220148724616,0.037594938042092,0.0408017166515601,0.000202598866233919,0.000924466644298003,0.0326911214288402,0.0163836794955173,0.00352221353167945,0.0111601047259194,0,0.0241850473314319,-0.999999999946841,0.998091010864666,0.192807902678842,3.04812321014827,0.796919263349248,0.185053596518996,1.00823803214562,0.349819077845064,0.294008978035564,0.423463221760785,0.347449107512425,0.260169345172782,0.308155229853213,0.98554871139034,0.337664777056532,0.308155548099334,3.04812321014827,3.04812641777066
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0122898485662837,0.00268672738902884,0.00115505939807617,0.001999119816061,0.000285006684917356,0.000859807844352648,0.00275300639594347,0.000298059368845917,0.0331302819309201,0.0359578952833434,0.00017854111640261,0.000814682216864019,0.0434091477937971,0.0217551340501102,0.0031039601665617,0.0101157343183811,0,0.0220158903389476,-0.99999999994421,0.998091010864671,0.192807902678837,4.04747298776663,0.702277060930499,0.163079052444846,0.888507229289361,0.307556894778615,0.259096986288506,0.373829497544629,0.305889599549275,0.229276437573782,0.271559687958362,0.868548195249842,0.297568527337683,0.271560738954673,4.04747298776663,4.04746680002051
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00869713922536188,0.00190154939383008,0.00081747352258478,0.00144393227405307,0.000201717572262643,0.000608541704818458,0.00194932557777374,0.000210959039146006,0.0234464807309132,0.0254316502060035,0.000126364409367329,0.000576569119240438,0.0307239244151408,0.0153975671706774,0.00219684436323221,0.0362843114639142,0.034383072864008,0.00841047962654521,-0.999999999962965,0.998091010864636,0.192807902678873,2.86470157716931,0.496979384306393,0.115420297045832,0.628825786603677,0.222143426777395,0.183379611147858,0.264583349921069,0.216591730863749,0.162276183958466,0.192184268286173,0.614291067777861,0.210607348945548,0.192189706413479,2.86470157716931,2.86466365966091
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00408116957246543,0.00417720609746045,0.000313593850410069,0.00840119120757662,0.000399430997306576,0.000381995006913698,0.00215092390410797,5.23259249549034e-05,0.00837795318046038,0.00385145982146387,5.55787882573844e-05,0.000213648357083415,0.000571657217935102,0.00028646690620362,0.000844969447641641,0.101285594463847,0.0712751842662555,0.000287493080801386,-1.00000000000011,0.997950417405038,0.207007842091145,0.0533013723016412,0.233209689855167,0.253548169800331,0.241226038776976,1.29249095501179,0.363119088460523,0.166084785614652,0.238991544900886,0.0402507115037719,0.0686717473808228,0.0930304304701418,0.0926313137623073,0.0712161190278049,0.0533013723016412,0.0532961685960224
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00320765364182269,0.00384659090592269,0.000372030683515093,0.0248560216556518,0.000576585251469938,0.000513589633364206,0.00462683104623233,4.53459638713108e-05,0.00752200220299321,0.00246150578561543,7.03995948586473e-05,0.000210602947942701,0.000255323077904097,0.000127958778501671,0.00101106756958568,0.0899099649489568,0.0668302804433238,0.00056408795961205,-0.999999999999918,0.997950417405038,0.207007842091144,0.0238063475901256,0.18329449381844,0.233480479873911,0.286177448857764,3.82400333163874,0.524168410427216,0.223299840593133,0.514092338470259,0.0348815106702391,0.0616557557622395,0.0594566614882954,0.117332658097746,0.0702009826475671,0.0238063475901256,0.0238062843724039
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0233189367326526,0.00545302920943813,0.000642429017325545,0.00400515605575005,0.000465958428340886,0.000576213735759771,0.00255710498184285,0.000100026396903629,0.0157267666969112,0.0134550604148244,8.43622256848308e-05,0.000387916441114602,0.00206052621936589,0.00103270996546451,0.00148117347523342,0.0899099651783246,0.0444852790609263,0.00126522785527923,-0.999999999999133,0.99795041740504,0.207007842091143,0.192123656817332,1.33251067043729,0.330988115899128,0.494176167173496,0.616177854730777,0.423598571218987,0.2505277111999,0.284122775760316,0.0769433822335609,0.128907923745174,0.325001459295276,0.140603709474718,0.129305480371534,0.192123656817332,0.192132086598048
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00334570404648614,0.00296111257483039,0.000370714406567679,0.0132435133039716,0.000326196495258151,0.000385963262487676,0.00277487720298484,7.08942691616502e-05,0.00779487074848607,0.00267067652093889,5.9434819003795e-05,0.000217486723156384,0.000360375386377744,0.000180584994031206,0.00103030967964191,0.114100496425311,0.0565213164120711,0.000593314820379092,-1.00000000000028,0.997950417405038,0.207007842091145,0.0336014346272954,0.191183088370637,0.179733691947216,0.285164928128984,2.0374635852264,0.296542268416501,0.167810114125077,0.308319689220538,0.0545340532012694,0.063892383184312,0.0645090947086688,0.0990580316729916,0.0724955743854614,0.0336014346272954,0.0335972081918524
