"","X.7","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","X","X.1","X.2","X.3","X.4","X.5","X.6","scaling.factor","Fuinc","method.Fuinc","SMILES","dose","dose.units","Cmax","Cmax.units","Cmax.dose","reference","original.reference","link","note","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",10,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico","ChemAxon",0.46038090897104,0.630494285624997,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.52459936207841,0.934289864139962,1.11051112867399,1.01113462409689,1.3482643111865,0.90868415756447,0.924471898892929,0.645335892756447,0.694323822611902,0.831406847552336,0.765737650080683,"Berezhkovskiy",34.13947097,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",16.6,"mg/L",1.66,"Allen1987","Allen1987","https://www.tandfonline.com/doi/abs/10.3109/00498258709043997","Multiple doses given (ones a day). ",10,0.5,0.00408797684811788,0.00685456415634578,0.000643263640076068,0.00544171202363995,0.000660479585271148,0.000881075443916046,0.00391865317052345,0.00037323002569467,0.0371719628145364,0.0140984664410502,0.000204624991171547,0.000922607297201573,0.00477127065503259,0.00239162145640289,0.0035359951599505,0.0735190518409456,0.0828944901204468,0.00647665005536913,2.62110535146868e-12,1.00000000000001,0.248847695725692,0.44487372074896,0.233598677035308,0.416058522388211,0.494818184673898,0.837186465175377,0.600435986610134,0.383076279963498,0.435405907835939,0.287100019765131,0.304688219791282,0.340542667658218,0.341041651952578,0.307535765733858,0.44487372074896,0.444952829098213
"2",28,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico","ADMET",0.620936487159923,0.766145363595188,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,0.588327319,0.588327319,"ADMET","no",1,0,0,1,0.217198770423619,0.456864551122481,0.657821240218804,0.601584077889751,0.705156643001095,0.575259055206908,0.558106297611522,0.499268529225609,0.506384770751833,0.562582638076227,0.533659039590872,"RodgersRowland",34.13947097,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",16.6,"mg/L",1.66,"Allen1987","Allen1987","https://www.tandfonline.com/doi/abs/10.3109/00498258709043997","Multiple doses given (ones a day). ",1,0.4,0.00168402242649046,0.0033355592974843,0.000378847423792011,0.00361342909224071,0.000343079973293226,0.000543169152861471,0.00233033630828299,0.000286693280200951,0.0271559387989148,0.00981384957299043,0.000141686015740446,0.000671816060160325,0.00473719086185489,0.00237493352227237,0.00256375381920497,0.0938224219122723,0.0879888086673992,0.00706215954023911,1.50574137212031e-12,1,0.248847695725695,0.441696117655467,0.0962298529423121,0.202461869346543,0.291421095224624,0.555912168037033,0.311890884812024,0.236160501244118,0.258926256475888,0.22053329246227,0.222589662286187,0.237049506593972,0.23614335956741,0.223938686720108,0.441696117655467,0.441848097166953
"3",31,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico","ChemAxon",0.46038090897104,0.630494285624997,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.468343729140795,0.774904064789725,0.848412763506334,0.753015353883486,1.05790676230525,0.666502080207662,0.650680718641096,0.397579802179423,0.467742861218671,0.716134065971391,0.495753588849626,"RodgersRowland",0.480919003,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,117.5,0.933,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",16.6,"mg/L",1.66,"Allen1987","Allen1987","https://www.tandfonline.com/doi/abs/10.3109/00498258709043997","Multiple doses given (ones a day). ",7,0.9,0.00985231494598443,0.015348056052052,0.00132631192839409,0.0065859827774014,0.00139948984112367,0.00174597982274895,0.00730261644640446,0.000621547480404448,0.0685008792103492,0.0350744171512909,0.000357722655869249,0.00168606408435129,0.0128974353269005,0.00646384256694239,0.00642950653211491,0.0277187281926749,0.0148596620893245,0.0306771386213701,-1.03728850079399e-12,0.999999999999997,0.248847695725701,1.20255807243827,0.562989425484825,0.931596725465979,1.02023994491853,1.01322811960022,1.27226349193061,0.759121662064761,0.811401827378273,0.47811344646496,0.561482616478272,0.847208143750987,0.596204426448748,0.562021361450429,1.20255807243827,1.20257536129161
"4",34,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico","ChemAxon",0.46038090897104,0.630494285624997,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.468343729140795,0.774904064789725,0.848412763506334,0.753015353883486,1.05790676230525,0.666502080207662,0.650680718641096,0.397579802179423,0.467742861218671,0.716134065971391,0.495753588849626,"RodgersRowland",34.13947097,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",16.6,"mg/L",1.66,"Allen1987","Allen1987","https://www.tandfonline.com/doi/abs/10.3109/00498258709043997","Multiple doses given (ones a day). ",5,0.4,0.00421766849396266,0.00657642046783467,0.000569878811850811,0.00490045973217179,0.000602379258900176,0.000751812356565648,0.00327625764910274,0.000267702698111379,0.0289944937633165,0.0135888195174016,0.000153981527050165,0.000719125876148655,0.00555500847304046,0.00278379011065554,0.00276557767147446,0.0938224218781906,0.0735400208433916,0.00576187659652691,9.70366662033087e-13,1,0.248847695725696,0.517949507975801,0.241009628226438,0.399175749185716,0.438368316808316,0.753916881872583,0.547617508091069,0.326874937637238,0.364028627678082,0.205925152393368,0.237659784945217,0.328232355492792,0.256635878416941,0.239708625382885,0.517949507975801,0.517914439191729
"5",38,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico",NA,0.97,0.984771573604061,"in vitro","httk","Shibata 2002","neutral",NA,NA,0.588327319,0.588327319,"ADMET","no",1,0,0,1,0.339298481676515,0.713693950593486,1.02761975855334,0.939768507117488,1.10156506801459,0.898644700527941,0.871849407914964,0.779935602695724,0.791052286000985,0.878842152487962,0.833658963690154,"RodgersRowland",0.480919003,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,117.5,0.949,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",14.738,"mg/L",1.474,"Mey1987","Mey1987","https://link.springer.com/article/10.1007/BF03189863","",12,0.7,0.00462863747422059,0.0091625131476767,0.00104149467941784,0.00619637421469845,0.00094567929919354,0.00143347337108523,0.00672243777116586,0.000791576773692807,0.0740835465780275,0.0268458054404255,0.000390297630889512,0.00183530124195103,0.00837320376492298,0.0041961456045878,0.00705019884374837,0.0451425931586659,0.0175006613864947,0.0325077553448302,1.69535324860953e-12,1,0.248847695725695,0.780718299759718,0.264493569955462,0.556146473303593,0.801149753398338,0.953288340722838,0.859708453812309,0.623249291776186,0.746937530129541,0.608905210532928,0.607242185065799,0.648449406773564,0.65049605148252,0.611767080650344,0.780718299759718,0.780678252016335
"6",42,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico",NA,0.97,0.984771573604061,"in vitro","httk","Shibata 2002","neutral",NA,NA,0.588327319,0.588327319,"ADMET","no",1,0,0,1,0.339298481676515,0.713693950593486,1.02761975855334,0.939768507117488,1.10156506801459,0.898644700527941,0.871849407914964,0.779935602695724,0.791052286000985,0.878842152487962,0.833658963690154,"RodgersRowland",34.13947097,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",14.286,"mg/kg bw",29,"mg/L",2.03,"Greenblatt1988","Greenblatt1988","https://www.ncbi.nlm.nih.gov/pubmed/3353439","",9,0.3,0.00156474881826942,0.00309226874906156,0.000352266353635638,0.00541212708632049,0.00032142848926309,0.000487613837082891,0.00256850399366184,0.000269503030264006,0.0230660872798091,0.00733369056288291,0.000132537728578515,0.00059421308335357,0.00285088467774429,0.00142832168087074,0.00238634188080047,0.119732867454839,0.0725195302380441,0.00473476078121741,-5.57681989674187e-14,1,0.248847695725699,0.265816753169631,0.0894142181868241,0.187694612993115,0.27097411818126,0.832634936356998,0.2922077175119,0.212006016122996,0.285389332629093,0.207310023280005,0.189066289178763,0.177142284127607,0.220896214297524,0.198071027784523,0.265816753169631,0.26573426620851
"7",45,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico",NA,0.97,0.984771573604061,"in vitro","httk","Shibata 2002","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.986777254871506,1.63268483216923,1.78756407358655,1.58656637178222,2.22895761903787,1.40428715598358,1.37095233802941,0.837681074979121,0.985511250492495,1.50885926595178,1.04452846879043,"RodgersRowland",0.480919003,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,117.5,0.933,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",14.286,"mg/kg bw",29,"mg/L",2.03,"Greenblatt1988","Greenblatt1988","https://www.ncbi.nlm.nih.gov/pubmed/3353439","",4,0.8,0.0101522699341952,0.0158254096711058,0.00136991137028353,0.00801879127714659,0.00144665717232523,0.00169334525314029,0.00805246072928921,0.00064255756704174,0.0699467359985037,0.0328220546399985,0.000369784578434225,0.00173263201990001,0.00632829048678343,0.00317155545299324,0.00664448928639746,0.0353736463642207,0.0164977845921457,0.0287593193318112,-6.84833483319903e-12,0.999999999999983,0.248847695725716,0.590050395038082,0.580129710525439,0.960571148473799,1.05377797714118,1.23366019648409,1.31514288393203,0.736237066582733,0.894717858809913,0.494275051570569,0.57333390162708,0.792803252173877,0.616307630723709,0.577544006633337,0.590050395038082,0.590056828463859
"8",70,"Antipyrine","60-80-0",2.43859296411879,0.995390782902795,"in silico",NA,0.97,0.984771573604061,"in vitro","httk","Shibata 2002","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,38.4296748413392,4.16575138913718,6.25426872841966,3.78344713562417,5.43116223653113,3.46038840280806,3.20884090323451,1.41343325253956,2.00120413871226,5.47027203335206,2.1556185247837,"Schmitt",34.13947097,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","CN1N(C(=O)C=C1C)C1=CC=CC=C1",10,"mg/kg bw",16.6,"mg/L",1.66,"Allen1987","Allen1987","https://www.tandfonline.com/doi/abs/10.3109/00498258709043997","Multiple doses given (ones a day). ",6,0.3,0.00753612427377632,0.00681158205056179,0.000858407022623798,0.019931962311734,0.000779780431842789,0.000934461662440478,0.00761923151527777,0.000243660760873442,0.0196819420698758,0.00605720441656388,0.000169741479031568,0.000563578348659517,0.00142231444798767,0.000712606845690062,0.00292894373699267,0.119732867499988,0.0506822221068819,0.00218106474489829,-3.12301914217545e-13,0.999999999999999,0.2488476957257,0.132616731747102,0.430635672787218,0.413449593357317,0.660313094325998,3.06645574026677,0.708891301675263,0.406287679321947,0.846581279475308,0.187431354518032,0.161327394015375,0.146309285424248,0.282902465052613,0.187859449553172,0.132616731747102,0.132578017802802
"9",75,"Bosentan","147536-97-8",0.634343649481994,0.841369835225474,"in silico","ADMET",0.0132406099630016,0.0261351742770853,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",6.14,3.24,4.06953122,2.786720941,"ADMET","no",0.0520912615983965,0.947908550672625,6.91783111219646e-05,6,16.2940320333945,7.85573232641574,6.68632305738304,5.81103354926847,10.0042578826178,4.49111136443316,4.86727173954958,0.855190539222372,1.82430664424744,4.30443120253143,2.3327183565618,"Berezhkovskiy",1.892523364,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,117.5,0.793,"in silico","COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1",0.893,"mg/kg bw",0.617,"mg/L",0.691,"Giersbergen2002","Giersbergen2002","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1874330/","Multiple doses given (ones a day). ",8,7.7,0.0596753385606836,0.0272252723709977,0.00182870568043948,0.0080294409302264,0.00231526645064955,0.0021699263946235,0.00924138564834549,0.000233900279221814,0.046822140578622,0.0374210241827709,0.000294468132615886,0.00115140527300776,0.00225642962885364,0.00113084479437737,0.00438700732880054,0.00159088680339775,0.00309093127113962,0.00147808449760237,-3.27246471860087e-12,0.999999999999993,0.210342458806375,0.210389708984022,3.41001934632478,1.65252032600896,1.40669667726114,1.23529860465022,2.10478768240868,0.943446258531958,1.02682062759394,0.179923291709088,0.383788037529689,0.90388947301379,0.490780221026477,0.383801757669253,0.210389708984022,0.210389729186487
"10",122,"Bosentan","147536-97-8",0.634343649481994,0.841369835225474,"in silico","ChemAxon",0.00617024358399359,0.012264810300919,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,56.5957112680307,13.8374386159819,11.6039349150867,10.0519196510243,17.5323050506519,7.69513851654183,8.37629205614578,1.19073130211642,2.93609398857707,7.39750982952236,3.82758302461222,"Berezhkovskiy",65.76279075,"ul/min/mg microsomes","in silico","CYP_HLM_CLint","this work",0.001,"NA, 0.001 added so that it does not influence the calculations",NA,NA,NA,NA,NA,NA,NA,40,1,"in silico","COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1",2.857,"mg/kg bw",3.229,"mg/L",1.13,"Weber1999","Weber1999","https://accp1.onlinelibrary.wiley.com/doi/epdf/10.1177/00912709922008344","Multiple doses given (ones a day). 1000 mg dose omitted from the dataset due to saturation",9,2.9,0.0509457779314938,0.0242681541797052,0.00163441819591439,0.010217694430916,0.00209464525585523,0.00192166760235364,0.00968177228543991,0.000168187613253835,0.0386553841155033,0.0273119744484243,0.000249519285822746,0.000954003958247632,0.00116528982442675,0.000584004417213649,0.00364587292632889,0.0334195067831149,0.0033019057387744,0.000122679813574293,2.70506156174668e-12,1.00000000000001,0.210342458806363,0.108651731881282,2.91118731037107,1.47302908526283,1.25724476608799,1.57195298937169,1.90422295986839,0.835507653197236,1.07575247615999,0.129375087118335,0.316847410782814,0.659709527739718,0.415865476371244,0.318001319415877,0.108651731881282,0.108651984597888
