"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00211980606383712,0.00384777060600546,0.000228160629969705,0.0025505827993693,0.000433631257659437,0.000771346023411782,0.00217151223781857,0.000645991819917046,0.0239109836159491,0.0253384568158851,0.000162556765282926,0.000587977890656846,0.051422049678247,0.0257708544687167,0.00224021665629132,0.0180593153834929,0,0.0306377008308547,7.5096052352362e-11,1.00000000000014,0.190898913543365,4.79459670659646,0.121131775076407,0.233552085341758,0.175508176899773,0.392397353749123,0.394210234235852,0.335367836265992,0.241279137535396,0.496916784551574,0.19599166898319,0.61204001970737,0.270927942138211,0.195992630218949,4.79459670659646,4.7945775755752
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00145035244539963,0.00266770164517946,0.000141459389133137,0.0017710473101264,0.000294475114994707,0.000520056026922132,0.00143139740320515,0.00044730237471882,0.0154224471526753,0.017853129708592,0.000107275279966953,0.000379244519399618,0.037977647984914,0.0190329098546923,0.00144495008763491,0.0437259584853376,0.0371093091639694,0.00912224959660663,2.11403020562119e-11,1.00000000000004,0.190898913543468,3.54103943915282,0.0828772825942647,0.161924227325005,0.108814914717798,0.272468816942523,0.267704649995188,0.226111316053101,0.159044155911683,0.344078749783708,0.126413501251437,0.431235017115749,0.178792133278255,0.126414839799873,3.54103943915282,3.54100648459392
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.013935477720585,0.00301627873911097,0.00129674578357074,0.00224961300976006,0.000319964525182728,0.000963589564223467,0.00309373607989307,0.00033461704984208,0.0371944109921433,0.0403669351484558,0.000200440532458626,0.0009146176804823,0.0323428591193652,0.0162091413095508,0.00348469036870472,0.0110496105544429,0,0.0239261853659772,-1.25998526560614e-10,0.99999999999976,0.190898913543749,3.01565119994081,0.796313012604856,0.183082169293534,0.997496756592876,0.346094309193855,0.290876841075207,0.418951984444986,0.343748453321452,0.257397730647754,0.304872221247076,0.975046742716325,0.33406755409771,0.304872560160767,3.01565119994081,3.01565419712574
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.013935477720585,0.00301627873911097,0.00129674578357074,0.00224961300976006,0.000319964525182728,0.000963589564223467,0.00309373607989307,0.00033461704984208,0.0371944109921433,0.0403669351484558,0.000200440532458626,0.0009146176804823,0.0323428591193652,0.0162091413095508,0.00348469036870472,0.0110496105544429,0,0.0239261853659772,-1.25998526560614e-10,0.99999999999976,0.190898913543749,3.01565119994081,0.796313012604856,0.183082169293534,0.997496756592876,0.346094309193855,0.290876841075207,0.418951984444986,0.343748453321452,0.257397730647754,0.304872221247076,0.975046742716325,0.33406755409771,0.304872560160767,3.01565119994081,3.01565419712574
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0122816416703855,0.00265835142491136,0.00114286005296906,0.00197801273263609,0.000281996588160794,0.000850726989770269,0.00272393430099398,0.000294911433572947,0.0327803677300137,0.0355780762454612,0.000176655451967547,0.000806077773794596,0.0429506848360445,0.0215253676167863,0.00307117756230914,0.0100155788108147,0,0.0217824923228063,5.79104698004758e-11,1.00000000000011,0.190898913543398,4.00472585883865,0.701808095450598,0.161356687399779,0.87912311766851,0.304309651174784,0.256360534691631,0.369881299900117,0.302659366777109,0.226854948902267,0.268691538770604,0.859373822354136,0.294425753279245,0.268692591264865,4.00472585883865,4.0047195566114
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00869245817897959,0.00188171526072991,0.000808946500266933,0.0014288905466447,0.000199613585335343,0.000602194400876064,0.00192900416580339,0.000208758707796401,0.0232019013236928,0.0251662518152656,0.000125046374116086,0.000570554859526889,0.0304034697936548,0.0152369658532618,0.00217393009313015,0.0359250552696569,0.0340221524616084,0.00832200435313043,1.69384125828658e-11,1.00000000000003,0.190898913543476,2.83482235838273,0.496711895941691,0.114216404293166,0.622266538666871,0.219829314868416,0.181466895759403,0.261823652554811,0.214333796200377,0.160583621381847,0.190179519046662,0.607880478629603,0.20841062352681,0.19018495317563,2.83482235838273,2.83478434479288
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00405754031468839,0.00413376612699713,0.00031031418297066,0.00831719351974167,0.000395235671736015,0.000377973332482832,0.00212921068054106,5.17745436775088e-05,0.00829068770237162,0.00381167201297265,5.4994082361828e-05,0.00021141762906569,0.000565633322410286,0.000283448531691341,0.000836089165925464,0.100282766754796,0.0705640050684381,0.000284536853314147,-1.48962687584495e-13,1,0.204958259496183,0.0527397037212388,0.231859446553622,0.250911449286624,0.238703217669738,1.27956823380641,0.35930515612365,0.164336231514275,0.236578964504562,0.0398265720596222,0.0679564565768166,0.0920693722940253,0.09165680393638,0.0704725430218966,0.0527397037212388,0.0527346105472262
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317697927895072,0.00380835844190943,0.000368331254917849,0.0246098232617684,0.000570847220331108,0.000508472225453384,0.00458097628289365,4.48938904961416e-05,0.00744722141372153,0.00243704722222039,6.96983703717767e-05,0.000208508780580222,0.000252777633647916,0.000126683124147912,0.00100100094507549,0.0890197673810104,0.0661683888503165,0.000558483918369342,1.62504750092177e-13,1,0.204958259496182,0.0235690101303418,0.181541673082898,0.231159844728949,0.283331734552192,3.78612665565667,0.518952018482825,0.221074880631906,0.508997364765961,0.0345337619201089,0.0610427984731273,0.0588658749328596,0.116163950619628,0.0695029268600739,0.0235690101303418,0.0235689533298441
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0231332842683875,0.00539449011529318,0.000635522595548892,0.0039638397615416,0.000460918110518125,0.000569972103171788,0.00253023246850102,9.89418827239028e-05,0.0155582965025587,0.0133140985855959,8.3449005774971e-05,0.000383748986642469,0.00203818500743728,0.00102151515721665,0.00146515940132586,0.0890197674950169,0.0440347152727309,0.00125212277619904,-1.05628087559915e-12,0.999999999999998,0.204958259496185,0.190040560134012,1.32190195819357,0.327434908363774,0.488863535037609,0.609821501775631,0.419016464107386,0.247813957900777,0.281136940944558,0.0761091405568483,0.127527020512776,0.321596584193137,0.139081676291618,0.127916328880823,0.190040560134012,0.19004933157519
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331391431135104,0.00293163776423171,0.000367023693728535,0.0131122950325211,0.000322942868453448,0.000382110316604079,0.00274735948759936,7.01862146056678e-05,0.00771729580027791,0.00264411757680569,5.88417351408215e-05,0.000215321684790346,0.000356776029911452,0.000178781399669144,0.00102003574948399,0.112970788604316,0.0559614157239405,0.000587415502751629,-1.76046812599858e-13,1,0.204958259496183,0.0332658302947741,0.189366532077203,0.177944629088419,0.282325918252719,2.01727615884939,0.293584425866771,0.166134920262643,0.305262165288818,0.0539893958505137,0.0632565229530976,0.063867574318978,0.0980695585680359,0.0717738949301154,0.0332658302947741,0.0332616557523989
