"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209904085716609,0.00384817915628887,0.0002304666960938,0.00255085155118568,0.000433677294703102,0.00077142791253241,0.00217174205617173,0.000646060391747117,0.0239135230489186,0.0253411597789768,0.000162574023625676,0.000588040328918648,0.0514275080955316,0.02577359033878,0.0022404545028016,0.0180593184723716,0,0.0306412990378843,-9.91151575771639e-11,0.999999999999811,0.190898913543698,4.79510564993302,0.119945191838062,0.233576883538019,0.177282073918307,0.392438700182412,0.394252086093729,0.335403440231483,0.24130467290797,0.496969532113167,0.196012484007529,0.612105308670938,0.270956706042794,0.196013442972883,4.79510564993302,4.79508657465674
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143611185215708,0.00266792298745068,0.000142885825493446,0.00177119062522198,0.000294499536741409,0.000520099152966892,0.00143151489939388,0.000447339447347232,0.0154237279593407,0.017854622596349,0.000107284177154737,0.000379276002545972,0.0379807955560924,0.0190344880340896,0.00144506994102938,0.0437259509775697,0.0371129580293525,0.00912317594346675,-1.33515401500821e-10,0.999999999999745,0.190898913543763,3.54133291898297,0.0820635344089762,0.16193766236423,0.109912173456497,0.272490865418767,0.267726851583099,0.226130066507344,0.159057211043765,0.344107267190179,0.126423999666727,0.431271077206497,0.178806961924561,0.126425334181991,3.54133291898297,3.54130009936551
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138070208295794,0.00301835688232705,0.00131061581732658,0.00225115143857525,0.000320184950202385,0.00096425338158974,0.00309586091592235,0.000334847542664693,0.0372200525364098,0.040394845692476,0.000200578623533073,0.00091524811802663,0.0323651376766357,0.0162203074384824,0.00348709128073792,0.0110496093188066,0,0.0239437511001605,2.75085636109717e-11,1.00000000000005,0.190898913543456,3.01772845469797,0.788972618833106,0.183208308487226,1.00816601332814,0.346330990550038,0.291077227456713,0.419240600691191,0.343984546213594,0.257575032818995,0.305082397839424,0.975720910446281,0.334297705888455,0.305082706008877,3.01772845469797,3.01773161646184
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138070208295794,0.00301835688232705,0.00131061581732658,0.00225115143857525,0.000320184950202385,0.00096425338158974,0.00309586091592235,0.000334847542664693,0.0372200525364098,0.040394845692476,0.000200578623533073,0.00091524811802663,0.0323651376766357,0.0162203074384824,0.00348709128073792,0.0110496093188066,0,0.0239437511001605,2.75085636109717e-11,1.00000000000005,0.190898913543456,3.01772845469797,0.788972618833106,0.183208308487226,1.00816601332814,0.346330990550038,0.291077227456713,0.419240600691191,0.343984546213594,0.257575032818995,0.305082397839424,0.975720910446281,0.334297705888455,0.305082706008877,3.01772845469797,3.01773161646184
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121674039214022,0.00265995934730414,0.00115498685932484,0.00197920308299857,0.000282167145699843,0.000851241525849701,0.00272557837691446,0.000295089786679212,0.0328002019560958,0.0355996399428095,0.000176762299892904,0.000806565450167228,0.0429766600282943,0.0215383863363928,0.00307303520502089,0.0100155788704254,0,0.0217964534078133,2.21711462211262e-10,1.00000000000042,0.190898913543085,4.00714778818595,0.695280224080127,0.161454285117095,0.888451430249878,0.304492781999781,0.256515586999858,0.370105011239,0.302842041879384,0.226992143599394,0.268854114394228,0.859894684608926,0.29460383315484,0.268855150055743,4.00714778818595,4.00714164398006
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861059676289498,0.00188262794239625,0.000817432076788133,0.00142956615625639,0.000199710375579685,0.000602486393046048,0.00192992975885952,0.000208859889546498,0.0232131734863705,0.0251785794413853,0.000125107015701598,0.00057083190889367,0.0304182057673742,0.0152443533044327,0.00217498456039348,0.0359250551841215,0.0340407001106994,0.00832671340875464,7.32786261095652e-12,1.00000000000001,0.190898913543495,2.83619634194631,0.492034100736856,0.114271802269878,0.628793905221641,0.219933254808676,0.181554886890623,0.261950605672195,0.21443663987328,0.160661453497306,0.190271913822709,0.608178247376457,0.208511692835997,0.190277302964557,2.83619634194631,2.83615875431307
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00404046462461494,0.00413555137056325,0.000313398582719614,0.00831792146287501,0.000395450959937831,0.00037818965651405,0.00212958437738132,5.18047181131e-05,0.00829441607013097,0.00381304522280494,5.50250794052189e-05,0.000211518386399336,0.000565963078170753,0.000283613445924714,0.000836550455716892,0.100282766765979,0.0705683697284632,0.000284625510468706,-1.48962687584495e-13,1,0.204958259496183,0.0527704501790912,0.230883692835139,0.251019810049363,0.241075832861242,1.27968022505769,0.359500872670756,0.164430285440891,0.236620486375703,0.0398497831639231,0.0679870169682867,0.0921025416136458,0.0917084656753649,0.0705061287997786,0.0527704501790912,0.0527652922650631
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.0031756714936688,0.00380822060273518,0.000370588729964522,0.0246097592369833,0.000570827634157875,0.000508457979148255,0.00458095267927907,4.48928367765184e-05,0.00744695210195618,0.00243695937336345,6.96962587015932e-05,0.000208501270624207,0.000252771715290779,0.000126680129494442,0.0010009684201491,0.0890197673302841,0.066168127785176,0.000558463918428691,2.16673000122903e-13,1,0.204958259496182,0.0235684583021706,0.18146694249536,0.231151478162985,0.285068253818863,3.78611680568973,0.518934212870795,0.221068686586198,0.508994742142119,0.0345329513665526,0.0610405909996408,0.0588637529797934,0.116160431169322,0.0695004235414023,0.0235684583021706,0.0235683961850124
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.023086304505524,0.0053987359018178,0.000642358690931805,0.00396540510844957,0.000461320949108458,0.000570479317364471,0.00253169844485649,9.9030987819426e-05,0.0155701635943341,0.0133208872738999,8.35226354408254e-05,0.000384054290042436,0.0020400209842002,0.00102243289994243,0.00146643163471298,0.0890197674827763,0.0440430418613396,0.0012526029336188,1.3812903757835e-12,1,0.20495825949618,0.190211746778573,1.31921740031566,0.327692619230215,0.494122069947542,0.610062324376857,0.419382681007689,0.24803448581064,0.281299827206277,0.07617768293802,0.127624291756837,0.321760562171496,0.139204392401376,0.128018096680812,0.190211746778573,0.190220074407893
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331232834255876,0.00293154732382771,0.000369399719529105,0.0131122640487519,0.000322935859448292,0.000382104548166284,0.00274734847735505,7.01854913599225e-05,0.00771705418116899,0.00264403175060808,5.88406428143832e-05,0.000215315090263495,0.000356772439279536,0.000178779537320076,0.00102001187382777,0.112970788555033,0.05596115520402,0.000587396410849682,2.97925375168991e-13,1,0.204958259496182,0.0332654955039194,0.189275905289072,0.177939139534307,0.284153630407004,2.01727139211568,0.293578054043901,0.16613241224621,0.305260941928339,0.0539888395076327,0.0632545424685983,0.0638655012224173,0.098067738023972,0.0717716967544985,0.0332654955039194,0.0332613092688514
