"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209876630488435,0.00384767581251802,0.000228155009955526,0.00257602576170165,0.000433620576974345,0.000771327025322022,0.00217145895689338,0.000645975913087657,0.0239103942621115,0.0253378303702556,0.000162552761258739,0.000587963401116757,0.0514207834737923,0.0257702197647005,0.00224016147336236,0.0180593212356697,0,0.0306366814400823,-9.3328472420099e-11,0.999999999999822,0.190898913543687,4.79447864557504,0.119929503136249,0.233546331564068,0.175503853811943,0.396311655646408,0.394200524522132,0.335359576226966,0.241273217432598,0.496904548528967,0.195986838214029,0.612024888170425,0.270921268764564,0.195987800372252,4.79447864557504,4.79445949110706
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143596730073714,0.00266765443369421,0.000141456887210939,0.00178872717735415,0.000294469907300096,0.000520046831191406,0.00143137243497968,0.000447294472229603,0.0154221738142304,0.0178528099283322,0.00010727338266747,0.000379237802088014,0.0379769770453277,0.0190325733578337,0.00144492452774455,0.0437259496014351,0.0371080406330903,0.00912196400603618,1.35216512464079e-11,1.00000000000003,0.190898913543483,3.54097688068323,0.0820552743278366,0.161921361680984,0.108812990162261,0.275188796516023,0.26769991572736,0.226107317909307,0.159041381664409,0.344072670945849,0.12641126077238,0.431227292954883,0.17878897111245,0.126412600696005,3.54097688068323,3.54094388052721
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138063096233918,0.00301820163165795,0.00129757271154028,0.00227354715204699,0.0003201684841252,0.000964203793599972,0.00309570233727673,0.000334830325504945,0.0372181369579646,0.0403927579751119,0.000200568307635654,0.000915201047320775,0.0323634735328518,0.0162194733284146,0.00348691191433871,0.0110496091004277,0,0.0239422453202595,2.06168832982864e-11,1.00000000000004,0.190898913543469,3.01757328977639,0.788931978479529,0.183198885077873,0.998132855030982,0.349776484930306,0.291062258295637,0.41921904069564,0.343966926364082,0.257561788849958,0.305066696376759,0.975670482490625,0.334280512726091,0.305067015773592,3.01757328977639,3.01757643319342
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138063096233918,0.00301820163165795,0.00129757271154028,0.00227354715204699,0.0003201684841252,0.000964203793599972,0.00309570233727673,0.000334830325504945,0.0372181369579646,0.0403927579751119,0.000200568307635654,0.000915201047320775,0.0323634735328518,0.0162194733284146,0.00348691191433871,0.0110496091004277,0,0.0239422453202595,2.06168832982864e-11,1.00000000000004,0.190898913543469,3.01757328977639,0.788931978479529,0.183198885077873,0.998132855030982,0.349776484930306,0.291062258295637,0.41921904069564,0.343966926364082,0.257561788849958,0.305066696376759,0.975670482490625,0.334280512726091,0.305067015773592,3.01757328977639,3.01757643319342
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121668530508045,0.00265983900298419,0.00114349968775302,0.00199890520334613,0.000282154380586667,0.000851203016232713,0.00272545536760259,0.000295076438427946,0.0327987173336738,0.0355980251068288,0.000176754302968225,0.000806528947582115,0.0429747160010113,0.021537411976187,0.00307289617009657,0.0100155793562239,0,0.0217952982011469,2.73050118717785e-11,1.00000000000005,0.190898913543456,4.00696652690082,0.695248745760256,0.161446980454275,0.879615144425398,0.307523877437866,0.256503982351515,0.370088267927267,0.302828374178066,0.226981875713804,0.268841945357982,0.859855678908909,0.294590504947042,0.268842982527372,4.00696652690082,4.0069603676627
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861029004945689,0.0018825611207494,0.000809310423618275,0.00144381204752262,0.000199703289811578,0.000602465017158512,0.00192986209869763,0.00020885248336207,0.0232123477297582,0.0251776733491633,0.000125102576081949,0.000570811616896721,0.0304171271422714,0.0152438125072392,0.00217490735661857,0.0359250574025768,0.0340389251148248,0.00832629221771708,-8.62187009582781e-12,0.999999999999984,0.190898913543525,2.83609577084115,0.49201657425468,0.114267746327733,0.622546479706365,0.222124930388095,0.181548445283253,0.261941311808049,0.214429122077515,0.160655756432362,0.190265145325887,0.608156361090901,0.208504293469915,0.190270538965574,2.83609577084115,2.83605814088171
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.7,0.00450684476768022,0.00435154142091754,0.000316174752295857,0.00763087664842003,0.000397929081910934,0.00037879233164989,0.00197179478420544,5.18018415117939e-05,0.00862556299183331,0.00430860799269132,5.51901921923383e-05,0.000216947770428485,0.000565915766694948,0.000283641429157558,0.00084074689424546,0.08901976729018,0.0810895651755137,0.000346558364653239,2.03130937615221e-13,1,0.204958259496182,0.0527660388526758,0.257533986724584,0.264129980025344,0.24321134791989,1.17398102283385,0.361753710828122,0.164692318108648,0.21908830935616,0.0398475703936876,0.0707013359986337,0.104072656828293,0.0919836536538972,0.0723159234761616,0.0527660388526758,0.0527704984479179
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00316521032174268,0.00379730895101571,0.000367419637191479,0.0248674549492922,0.000569794094993019,0.000507864938465242,0.00458154851588095,4.48492220636642e-05,0.00742724070756443,0.00242927986861018,6.96047069752431e-05,0.000207988891905763,0.00025252664606783,0.000126556315381392,0.00099944342055823,0.0890197673539896,0.0659677981516236,0.000556602802860811,2.16673000122903e-13,1,0.204958259496182,0.0235456080249725,0.180869161242439,0.230489162428875,0.282630490147292,3.8257622998911,0.517994631811836,0.220810842810975,0.509060946208995,0.034499401587434,0.0608790221931511,0.0586782576958981,0.116007844958738,0.0693296306352544,0.0235456080249725,0.0235453610011891
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.023077386924439,0.00539831666814302,0.000635986459896737,0.00400546439126619,0.000461293837414965,0.000570447329277757,0.00253179619542707,9.90256066104164e-05,0.0155688402756836,0.0133172440058076,8.35178463952317e-05,0.000384025348307766,0.00203991020063169,0.001022376987166,0.0014663439992449,0.0890197674601633,0.0440244991592155,0.00125201680109345,-7.98981687953203e-13,0.999999999999998,0.204958259496184,0.190201417308316,1.31870782425366,0.327667172573173,0.489220353766721,0.616225290964029,0.419358034013605,0.248020577946851,0.281310688380785,0.0761735435464741,0.127613444882652,0.321672560526753,0.13919641065872,0.128008449435922,0.190201417308316,0.190209672030883
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00330527002696437,0.00292736536938283,0.000366525796493529,0.0132514980769066,0.00032275415300248,0.000381953751782673,0.00274859867034864,7.01626640734865e-05,0.00770514113361183,0.00263862847770503,5.88131944084382e-05,0.000215018677039147,0.000356656939863365,0.000178720747545266,0.00101936327170736,0.112970788557288,0.0558548799670133,0.000586120021045883,-6.7710312538407e-14,1,0.204958259496183,0.0332547263275865,0.188872572969393,0.177685303149185,0.281942920379638,2.03869201183178,0.29341286636589,0.166066848601162,0.30539985226096,0.0539712800565281,0.0631568945378019,0.0637349873841796,0.0980219906807304,0.0716728923463823,0.0332547263275865,0.0332503716363286
