"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209901652255593,0.00384813454410488,0.000228182207892095,0.00255082219774614,0.000438008981734695,0.000771418968094443,0.00217171695579456,0.000646052900125346,0.0239132459570423,0.0253408591571346,0.000162572138703996,0.000588033514866304,0.0514269117505024,0.0257732914981421,0.00224042852714229,0.0180593149775031,0,0.0306409027445414,-6.18361104849168e-11,0.999999999999882,0.190898913543627,4.79505004666689,0.11994380128891,0.233574175666457,0.175524775301612,0.392434184268637,0.398189983395177,0.33539955134541,0.241301883977173,0.496963769327189,0.196010212762642,0.612098047273783,0.27095356450666,0.196011171622101,4.79505004666689,4.79503097639853
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143609791568645,0.00266789709582676,0.000141469749165467,0.00177117385535877,0.00029744163587938,0.000520094108251997,0.00143150115330651,0.000447335110716383,0.0154235781375224,0.0178544479852709,0.000107283136398077,0.00037927231980594,0.0379804273638127,0.0190343034247356,0.0014450559210817,0.0437259463247637,0.03711252285073,0.00912306545526015,-3.37750492961349e-11,0.999999999999935,0.190898913543573,3.54129858870048,0.0820627380392258,0.161936090793733,0.108822883973436,0.272488285439811,0.270401487163073,0.226127873153042,0.159055683700723,0.344103931320295,0.126422771619036,0.431266859547607,0.178805227330128,0.12642410660198,3.54129858870048,3.54126575343919
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138077630899731,0.0030185191843492,0.00129770921069843,0.00225127158901849,0.000323404187962997,0.000964305223844103,0.00309602686362726,0.000334865543072722,0.0372220551354339,0.0403970256647743,0.000200589408189524,0.00091529737865786,0.0323668775265195,0.01622117947487,0.00348727879328555,0.0110496101084873,0,0.0239451351606167,6.6779509865324e-11,1.00000000000013,0.190898913543381,3.01789067846336,0.789015033712751,0.1832181598998,0.998237854383411,0.346349475233614,0.294003807239088,0.419263140801784,0.344002984847473,0.257588879286709,0.305098812585524,0.975773566781989,0.334315680315873,0.305099126219287,3.01789067846336,3.01789385578977
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138077630899731,0.0030185191843492,0.00129770921069843,0.00225127158901849,0.000323404187962997,0.000964305223844103,0.00309602686362726,0.000334865543072722,0.0372220551354339,0.0403970256647743,0.000200589408189524,0.00091529737865786,0.0323668775265195,0.01622117947487,0.00348727879328555,0.0110496101084873,0,0.0239451351606167,6.6779509865324e-11,1.00000000000013,0.190898913543381,3.01789067846336,0.789015033712751,0.1832181598998,0.998237854383411,0.346349475233614,0.294003807239088,0.419263140801784,0.344002984847473,0.257588879286709,0.305098812585524,0.975773566781989,0.334315680315873,0.305099126219287,3.01789067846336,3.01789385578977
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121679789237047,0.00266008498282185,0.00114360545905371,0.00197929609132728,0.000285002275523286,0.000851281729257094,0.00272570683724656,0.000295103722328318,0.032801751722621,0.0356013248906652,0.000176770648486092,0.000806603556227658,0.0429786896042186,0.0215394035570827,0.00307318035253096,0.0100155788277117,0,0.0217975503625643,7.20573156744058e-11,1.00000000000014,0.190898913543371,4.00733702603437,0.695313081354554,0.161461910945181,0.879696506964391,0.304507090973427,0.259092977748442,0.370122490981345,0.302856315249618,0.227002863329475,0.268866817398533,0.859935383832492,0.294617747476819,0.268867852075886,4.00733702603437,4.00733089434097
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861092298798802,0.00188269906580412,0.00080936978371803,0.00142961880542434,0.000201715088528663,0.000602509147083253,0.00193000188842419,0.00020886777418221,0.0232140519803043,0.0251795392616661,0.000125111741342719,0.000570853499993502,0.0304193540748791,0.0152449289831577,0.00217506673305732,0.0359250557241671,0.0340421623524288,0.00832708465139849,-2.06895803479983e-11,0.99999999999996,0.190898913543548,2.83630341024514,0.492052742170744,0.114276119320432,0.622592141321561,0.219941354680667,0.183377353207875,0.261960498731849,0.214444654269355,0.1606675186017,0.190279114592658,0.60820143144121,0.208519568904532,0.190284499997834,2.83630341024514,2.83626585733167
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00404036362415647,0.0041354861084297,0.000310465176089544,0.00831791307678444,0.000399367147386736,0.000378187907288637,0.00212958068063149,5.18044923157635e-05,0.00829430417460148,0.00381294326175581,5.50248119017731e-05,0.000211516174401125,0.000565960611483427,0.000283612201465439,0.000836546076515668,0.100282766756204,0.0705678018107936,0.000284615403978403,-3.11467437676672e-13,0.999999999999999,0.204958259496183,0.0527702201849349,0.23087792138037,0.251015848766598,0.238819366222726,1.27967893488991,0.363061043078851,0.164429524908103,0.236620075625722,0.0398496094736642,0.0679860997918154,0.0921000787863722,0.0917080198362884,0.0705053914670415,0.0527702201849349,0.0527650607377561
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.0031753622663543,0.00380786681452689,0.000368285918533831,0.0246096083474526,0.000575831978066302,0.000508429509317532,0.00458090098378926,4.48906895085032e-05,0.00744628103965712,0.00243672537174272,6.96919821682389e-05,0.000208483052944733,0.000252759647996033,0.000126674038111077,0.00100090048886178,0.089019767339919,0.0661673906291981,0.000558409398034973,-2.03130937615221e-13,1,0.204958259496183,0.0235673331464832,0.181449272363103,0.231130003916655,0.283296860410639,3.78609359191578,0.523483616423911,0.221056308398927,0.508988998198807,0.0345312996219255,0.0610350904889928,0.0588581007667323,0.116153303613732,0.0694943509815778,0.0235673331464832,0.0235672629043865
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230867303054979,0.00539884370309866,0.000636045702957281,0.0039654395685303,0.000465943321756147,0.00057048986083769,0.00253173029777737,9.90328032403889e-05,0.0155704795649933,0.0133211596648808,8.35241881816565e-05,0.000384061917642923,0.00204005837561814,0.00102245167385538,0.00146645922742973,0.0890197675049063,0.0440434179875979,0.00125262382738136,-3.52093625199717e-13,0.999999999999999,0.204958259496183,0.190215233157868,1.31924173174274,0.327699162555306,0.489265925351755,0.610067625927738,0.423584837960133,0.24803906992943,0.281303366419708,0.0761790794156838,0.127626881680273,0.321767141663789,0.139206980302761,0.128020639214308,0.190215233157868,0.190223567228907
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331219837835734,0.00293149802454176,0.000367007677582606,0.0131122783181212,0.000326094514715511,0.000382115318815088,0.00274735938929574,7.01877285229043e-05,0.00771689330981179,0.00264393478671493,5.88420683469136e-05,0.000215311847737678,0.000356783861054496,0.000178785219558957,0.0010200275367128,0.112970788552699,0.0559607802653737,0.000587372698220481,-1.35420625076814e-13,1,0.204958259496183,0.0332665604712817,0.189268478763277,0.177936147164902,0.282313598140466,2.01727358740326,0.296449558832283,0.166137095136995,0.305262154366194,0.0539905604022341,0.0632532238509163,0.0638631590993945,0.0980701139115227,0.0717706159125594,0.0332665604712817,0.0332623664295734
