"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209897638477881,0.00384806095841972,0.000228177844982426,0.00255077378623055,0.000433663974759077,0.000779118254965259,0.00217167556078469,0.000646040550078952,0.0239127885302554,0.0253403734303218,0.000162569030302057,0.000588022268083641,0.051425928669031,0.0257727987466541,0.00224038568831109,0.0180593086914218,0,0.0306402511736593,2.45570633926698e-10,1.00000000000047,0.19089891354304,4.79495838405883,0.119941507701646,0.233569709160529,0.175521419217251,0.392426736343161,0.394239977053707,0.3387470673762,0.241297284531632,0.496954269291502,0.19600646336275,0.612086314742072,0.270948383836762,0.196007422694547,4.79495838405883,4.79493930170309
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143607715941109,0.00266785853412083,0.000141467705172834,0.0017711488882637,0.000294492425299899,0.000525287451698996,0.00143148068374955,0.000447328652060081,0.0154233549971873,0.0178541878837511,0.000107281586355943,0.000379266834870589,0.0379798790056336,0.0190340284793374,0.00144503504055866,0.0437259485136593,0.0371118859391618,0.00912290376313289,4.3458296317756e-11,1.00000000000008,0.190898913543426,3.54124745973273,0.0820615519663482,0.161933750174254,0.108821311671411,0.272484444348262,0.267720386636272,0.228385848564781,0.159053409305506,0.344098963123139,0.126420942599896,0.4312605769022,0.178802643926572,0.126422278290196,3.54124745973273,3.54121460080696
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138072746588926,0.00301841234477809,0.0012976633339501,0.0022511924985125,0.000320190833531608,0.000973913814322771,0.00309591762665713,0.000334853695052298,0.0372207372564108,0.0403955906877643,0.000200582309177543,0.000915264974195058,0.0323657323432992,0.0162206054777301,0.0034871553556538,0.011049609288264,0,0.0239442170452601,2.96167780526159e-11,1.00000000000006,0.190898913543452,3.01778390147312,0.788987123365289,0.183211674948594,0.998202564577002,0.346337307463461,0.291082575937825,0.423440788835987,0.343990847406348,0.257579765424845,0.305088010298449,0.975738905501552,0.334303848629239,0.305088324731686,3.01778390147312,3.0177870656242
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138072746588926,0.00301841234477809,0.0012976633339501,0.0022511924985125,0.000320190833531608,0.000973913814322771,0.00309591762665713,0.000334853695052298,0.0372207372564108,0.0403955906877643,0.000200582309177543,0.000915264974195058,0.0323657323432992,0.0162206054777301,0.0034871553556538,0.011049609288264,0,0.0239442170452601,2.96167780526159e-11,1.00000000000006,0.190898913543452,3.01778390147312,0.788987123365289,0.183211674948594,0.998202564577002,0.346337307463461,0.291082575937825,0.423440788835987,0.343990847406348,0.257579765424845,0.305088010298449,0.975738905501552,0.334303848629239,0.305088324731686,3.01778390147312,3.0177870656242
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121675933677449,0.00266000221966818,0.00114356985380379,0.0019792348153311,0.000282171691124899,0.000859767787308441,0.00272562220561644,0.0002950945369327,0.0328007324137647,0.0356002101226977,0.000176765148098592,0.000806578740917206,0.0429773518698536,0.0215387332517585,0.00307308474152496,0.0100155783007501,0,0.021796822476767,-8.08391192795997e-11,0.999999999999846,0.190898913543663,4.00721229555744,0.695291049585423,0.161456887385018,0.879669118310611,0.304497663897092,0.256519719204453,0.373812081438453,0.30284691173516,0.226995797640539,0.268858462407907,0.859908457069993,0.29460858016432,0.268859580305735,4.00721229555744,4.00720618637368
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861070819941754,0.00188265223700401,0.00080934963501219,0.00142958413976524,0.000199712951994229,0.000608519084984816,0.00192995439680385,0.000208862582801568,0.0232134735748316,0.0251789067652153,0.000125108629902667,0.000570839284211565,0.0304185980093354,0.0152445499465624,0.00217501262925967,0.0359250547824964,0.0340411891277912,0.00832683756610193,8.91265829467529e-12,1.00000000000002,0.190898913543491,2.83623291462335,0.492040468538145,0.114273276904644,0.622576642317069,0.219936021502345,0.181557229085663,0.26457351521079,0.21443937742265,0.160663525231975,0.190274373564193,0.608186153749161,0.208514383171111,0.190279761403855,2.83623291462335,2.83619533889533
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.0040403823211526,0.00413552190623166,0.0003104682326024,0.00831792667418946,0.000395452468581704,0.000381968818031079,0.00212958712529307,5.18049500616671e-05,0.00829438110292992,0.00381295710016438,5.50253109473762e-05,0.000211518241948506,0.000565965613533043,0.00028361471213272,0.000836553791838631,0.100282766752905,0.070567749669916,0.000284614703722772,2.8438331266131e-13,1,0.204958259496182,0.0527706865765075,0.230878989780149,0.251018021622559,0.238821717386462,1.27968102679838,0.359502244165185,0.166073399143948,0.23662079169923,0.0398499615858978,0.0679867303518846,0.0921004130474489,0.0917088515789604,0.070506080649502,0.0527706865765075,0.0527655278386456
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.0031752995876707,0.00380787437038942,0.000368293929637133,0.0246096841483507,0.000570811000094836,0.000513521716973135,0.00458093924326369,4.48933523485233e-05,0.00744637317547798,0.00243669533708509,6.9696030196753e-05,0.000208487419868925,0.000252774615347497,0.000126681537727902,0.00100095470290305,0.0890197673246787,0.066167114830408,0.000558397173760493,-4.06261875230441e-14,1,0.204958259496183,0.0235687287037293,0.18144569072404,0.231130462542605,0.283303022797795,3.78610525359242,0.518919090995305,0.22327031172745,0.508993249251521,0.0345333479604026,0.0610358457006392,0.0588573752919103,0.116160050327922,0.0694958066229749,0.0235687287037293,0.0235686581819353
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.023086405969663,0.00539880365200466,0.000636041057968616,0.00396542703094949,0.000461326442079976,0.000576191549315732,0.00253171870773985,9.90321432766846e-05,0.015570361176246,0.0133210038487876,8.35236231479419e-05,0.00038405909189298,0.00204004478281725,0.00102244484803512,0.00146644919116297,0.0890197675246353,0.0440430547607729,0.00125260409568676,-1.8958887510754e-13,1,0.204958259496183,0.190213965763846,1.31922319826646,0.327696731532908,0.489262352283551,0.610065697069152,0.41938767461816,0.250518064919883,0.281302078637762,0.0761785717512959,0.127625911280705,0.321763377990039,0.139206038579903,0.12801969729766,0.190213965763846,0.190222297308859
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.0033120914278148,0.00293146232832492,0.000367004109948625,0.0131122779986198,0.000322942815367825,0.00038592581405705,0.00274735992991219,7.01878785637455e-05,0.00771677604378773,0.00264385661626733,5.88422135665975e-05,0.000215309492301214,0.000356784550871879,0.000178785546310274,0.00102002971338211,0.112970788556155,0.0559604815682975,0.000587352892634441,-2.57299187645947e-13,0.999999999999999,0.204958259496183,0.0332666247899188,0.189262367303703,0.177933980474957,0.282310853806634,2.0172735382492,0.293584377607114,0.167793832198717,0.305262214434687,0.0539906758182658,0.0632522626539977,0.0638612709243317,0.0980703559443291,0.0717698307670713,0.0332666247899188,0.033262427220516
