"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209881030174306,0.00384775647357304,0.000228159792155603,0.00255057349689498,0.000433629665442254,0.000771343191327337,0.00219321932517887,0.000645989448874183,0.0239108957348603,0.0253383632681176,0.000162556168378248,0.000587975730223286,0.0514218609404934,0.0257707598536262,0.00224020842966068,0.0180593090305855,0,0.0306375026922699,5.45373266938451e-11,1.0000000000001,0.190898913543404,4.79457910867072,0.119932017242461,0.233551227530989,0.175507532427387,0.392395922599227,0.394208786765686,0.335366604924929,0.243691036130985,0.496914960672448,0.195990948646396,0.612037760099458,0.27092694729708,0.195991910074429,4.79457910867072,4.79455997276766
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143599565990478,0.00266770712114771,0.000141459679600419,0.00177105085465723,0.000294475719691562,0.000520057094921678,0.00144571432219462,0.000447303293721536,0.0154224787851317,0.0178531661710694,0.000107275500243437,0.000379245297520107,0.0379777260123728,0.0190329489439658,0.00144495305440964,0.0437259557587957,0.0371091593044365,0.00912224096963528,4.63807177161732e-11,1.00000000000009,0.19089891354342,3.54104671444036,0.0820568948517017,0.161924559705475,0.108815138154168,0.272469362254958,0.267705199719602,0.22611178040073,0.160634924688292,0.344079456708874,0.126413760533867,0.431235897851918,0.178792500405728,0.126415099173369,3.54104671444036,3.54101375701689
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138056630825064,0.0030180604133129,0.00129751198358443,0.00225093196700212,0.000320153505187566,0.00096415868399898,0.00312651347042359,0.000334814662236307,0.0372163946178448,0.0403908620139557,0.000200558923729497,0.000915158209840653,0.0323619595808055,0.0162187145335674,0.00348674876284536,0.011049608734485,0,0.0239411003980133,8.85304671391156e-11,1.00000000000017,0.190898913543339,3.01743212874644,0.788895033286078,0.183190313402908,0.998086141218792,0.346297225692633,0.291048641079606,0.419199427825644,0.347390385602621,0.257549740181774,0.305052414900367,0.975624686327432,0.334264872882495,0.305052736613551,3.01743212874644,3.01743526205904
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138056630825064,0.0030180604133129,0.00129751198358443,0.00225093196700212,0.000320153505187566,0.00096415868399898,0.00312651347042359,0.000334814662236307,0.0372163946178448,0.0403908620139557,0.000200558923729497,0.000915158209840653,0.0323619595808055,0.0162187145335674,0.00348674876284536,0.011049608734485,0,0.0239411003980133,8.85304671391156e-11,1.00000000000017,0.190898913543339,3.01743212874644,0.788895033286078,0.183190313402908,0.998086141218792,0.346297225692633,0.291048641079606,0.419199427825644,0.347390385602621,0.257549740181774,0.305052414900367,0.975624686327432,0.334264872882495,0.305052736613551,3.01743212874644,3.01743526205904
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121663525673763,0.00265972964578497,0.00114345266633878,0.00197903303476554,0.000282142780659813,0.000851168021693759,0.00275259695637717,0.0002950643082265,0.0327973684152612,0.0355965587745851,0.000176747036063398,0.000806495780588509,0.0429729493688411,0.0215365265480042,0.0030727698291515,0.010015579080855,0,0.0217943787286603,1.44245486038293e-10,1.00000000000028,0.190898913543233,4.00680180595255,0.695220146707216,0.16144034268801,0.879578974106752,0.30446662073316,0.256493436963466,0.37007305291033,0.30584410626413,0.226972544789615,0.268830888649682,0.85982026025568,0.294578393438997,0.268831926862836,4.00680180595255,4.00679563683798
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861001764049796,0.00188250170138987,0.000809284860691993,0.00142947271284534,0.00019969698817209,0.000602446006641646,0.001949099735239,0.000208845895509362,0.0232116139973808,0.0251768716294311,0.000125098627998821,0.000570793582063935,0.0304161676958323,0.0152433315333965,0.00217483870680556,0.0359250600529563,0.0340377644101158,0.00832600776656907,-1.52227622096656e-11,0.999999999999971,0.190898913543538,2.83600631196572,0.492001008028455,0.114264139689825,0.622526815916918,0.219918878899283,0.181542716520081,0.261933046365933,0.216566637248777,0.160650688853355,0.190259131126072,0.608136995879979,0.208497713331369,0.190264527354645,2.83600631196572,2.83596865737609
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00403986913025772,0.00413526229312941,0.000310461303651446,0.00831791116152547,0.000395449807089849,0.000378190940806732,0.00215106334909856,5.18050044649674e-05,0.00829397660578841,0.00381242129378229,5.50251645814662e-05,0.000211511564020177,0.000565966227067729,0.000283614957468555,0.000836549474292687,0.10028276675598,0.070551861045173,0.000284553418003279,2.97925375168991e-13,1,0.204958259496182,0.0527707437825389,0.230849664586155,0.251002263619387,0.23881638742419,1.27967864023469,0.359499824627135,0.164430843829014,0.239007038788729,0.0398500034345903,0.0679834148015444,0.0920874708643064,0.091708607635777,0.0705038546733922,0.0527707437825389,0.0527655734825218
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317380128356563,0.00380658402784157,0.000368211702930694,0.0246094392300693,0.000570761458680174,0.000508459648958841,0.00462766423827572,4.48940878016348e-05,0.00744430680965469,0.00243565795128209,6.96949930044786e-05,0.00020843990879041,0.000252778876982499,0.000126683615067524,0.00100091381960538,0.089019767321342,0.0661320744127782,0.000558126109551478,1.35420625076814e-13,1,0.204958259496182,0.0235691260589743,0.181360073346608,0.231052141295391,0.283239771485149,3.78606757385681,0.518874053345613,0.2210694125908,0.514184915363969,0.0345339136935652,0.0610189082758582,0.0588323176638185,0.116158321674131,0.0694799695968034,0.0235691260589743,0.0235690446637254
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230816326100437,0.00539843788803431,0.000635999339337901,0.00396531930969604,0.00046129977586813,0.000570453894518562,0.00255701508964923,9.90266601862451e-05,0.0155692496740184,0.0133189150538226,8.35188608491504e-05,0.000384033515582525,0.00203993186987516,0.00102238804254676,0.00146636362517198,0.0890197674954703,0.0440326070242105,0.00125229976730464,-1.76046812599858e-12,0.999999999999996,0.204958259496186,0.190203437750598,1.31895043485964,0.327674530381445,0.489230261029155,0.610049124568621,0.419363432607391,0.248023432399375,0.284112787738803,0.0761743539894194,0.127616800606708,0.321712924005377,0.139198101415251,0.128011171860842,0.190203437750598,0.190211728845909
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331105585353605,0.00293102134804022,0.000366956266243182,0.013112237712738,0.000322938935246266,0.000382117331167993,0.00277517216202853,7.01884709978998e-05,0.00771542632108831,0.00264308814973138,5.88420384543721e-05,0.000215279274815586,0.000356787674234,0.000178787060198536,0.00102000938395194,0.11297078855237,0.0559404003966101,0.000587162564729646,2.43757125138266e-13,1,0.204958259496182,0.0332669160124942,0.189203191630632,0.177907213841592,0.282274050956294,2.01726734042124,0.293580850223878,0.166137970073041,0.308352462447614,0.053991131536846,0.0632411993531828,0.0638427089307096,0.0980700640906202,0.071759758271862,0.0332669160124942,0.0332627088741462
