"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209621937187653,0.00384300645070778,0.000227878162490946,0.00254744893665176,0.000433094428545082,0.000770391134865708,0.00216883236133188,0.000645192243118651,0.0241201770774405,0.025307009490082,0.000162355518299212,0.00058724973959871,0.0513584022154757,0.025738952320519,0.00223744314506159,0.0180593199153128,0,0.0305959410319803,7.87599836578402e-11,1.00000000000015,0.190898913543358,4.78866221123316,0.11978396410723,0.23326291051337,0.175290894223804,0.391915221023348,0.393722207768256,0.334952667332917,0.24098137348132,0.496301725475885,0.197706369487217,0.611280422465749,0.270592530498686,0.19574991319957,4.78866221123316,4.78864229218959
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143470606456679,0.00266531127008883,0.000141332684642438,0.00176949949502129,0.000294211372279585,0.000519590286660271,0.00143012847491679,0.000446902006107798,0.0155626944373386,0.0178370098037892,0.000107179194822616,0.000378904520525857,0.0379436555517302,0.0190158662707224,0.0014436557327494,0.0437259515359937,0.0370700358833231,0.00911227895830705,-4.04777172795694e-11,0.999999999999923,0.190898913543586,3.5378699815133,0.0819832036895309,0.161779136272463,0.108717449724952,0.272230691541736,0.267464883890532,0.225908820287074,0.158903163879643,0.343770773929075,0.127563069158513,0.430845647434521,0.178631991371027,0.126301506841952,3.5378699815133,3.53783558525068
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0137797546021099,0.00301240195090388,0.00129507857608357,0.00224674305999862,0.000319553321698542,0.000962351211198623,0.00308977218587005,0.000334187065673299,0.0375180391698895,0.0403148629823468,0.000200182922975385,0.000913441639830306,0.0323012984905772,0.0161883108783599,0.00348021145245442,0.011049610560217,0,0.0238931134734574,-7.11558722579786e-11,0.999999999999864,0.190898913543644,3.0117760830375,0.787414548691996,0.182846855897049,0.996214289295053,0.345652778461326,0.290503019725947,0.418413570086358,0.343308020652228,0.257066973594846,0.307524911228602,0.973788960926252,0.333638204958975,0.304480546610102,3.0117760830375,3.01177876806696
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0137797546021099,0.00301240195090388,0.00129507857608357,0.00224674305999862,0.000319553321698542,0.000962351211198623,0.00308977218587005,0.000334187065673299,0.0375180391698895,0.0403148629823468,0.000200182922975385,0.000913441639830306,0.0323012984905772,0.0161883108783599,0.00348021145245442,0.011049610560217,0,0.0238931134734574,-7.11558722579786e-11,0.999999999999864,0.190898913543644,3.0117760830375,0.787414548691996,0.182846855897049,0.996214289295053,0.345652778461326,0.290503019725947,0.418413570086358,0.343308020652228,0.257066973594846,0.307524911228602,0.973788960926252,0.333638204958975,0.304480546610102,3.0117760830375,3.01177876806696
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121463048922388,0.00265534936757316,0.00114156920758265,0.00197579029831268,0.000281678150446581,0.000849766330474147,0.00272086474328855,0.000294578441598145,0.0330707640478874,0.0355378148195432,0.000176455962569167,0.000805167257997647,0.0429021881736559,0.0215010611561247,0.00306770926637467,0.0100155769446936,0,0.0217562744830629,4.43452003242409e-11,1.00000000000008,0.190898913543424,4.00020402551571,0.694074565270786,0.161174468441466,0.878130159678964,0.303967738201951,0.256071045860528,0.369463621945281,0.302318304809839,0.226598801229343,0.271071836458094,0.858401324143555,0.294093270948612,0.268389085999216,4.00020402551571,4.00019742439529
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00859861337937359,0.00188001491324799,0.000808214913409945,0.00142763187998082,0.000199433263839615,0.000601650415802322,0.00192727977155854,0.000208570206427887,0.0234126814108772,0.0251432826062141,0.000124933397750097,0.000570038698093859,0.0303760167107227,0.0152232029628871,0.00217196559375368,0.0359250629208826,0.0339871920577472,0.00831312844056907,1.93883031581558e-10,1.00000000000037,0.190898913543138,2.83226263037041,0.491349335964205,0.114113196555265,0.621703779546112,0.219635673843202,0.181302967126923,0.261587137305358,0.214142196839838,0.160438620329144,0.191907224679322,0.607325666816765,0.208222329583495,0.19001289936462,2.83226263037041,2.83222380704877
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.7,0.00450232831352531,0.00434571557026858,0.000315696958710989,0.00754900509969371,0.000397315850280877,0.000378211663276228,0.00196987248774826,5.17227600118625e-05,0.00869016159931675,0.00430461008701681,5.51053748275798e-05,0.000216627117803988,0.000565051764184029,0.000283208156159035,0.00083945195525637,0.0890197671845001,0.0811280262217413,0.000346381331861125,-1.76046812599858e-13,1,0.204958259496183,0.052685479177998,0.257275903630018,0.263776362383525,0.242843814393069,1.16138539995288,0.36119622752807,0.16443985359836,0.218874720860918,0.0397867384706634,0.0712308327812849,0.103976089058377,0.0918422913792998,0.072209039267996,0.052685479177998,0.0526898895179601
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317232051714491,0.00380386222493951,0.000367863084193175,0.0246073189110563,0.000570043705807578,0.000507682923028861,0.00457987265831873,4.48223139068337e-05,0.00747511475882526,0.00243431589976222,6.95924922078836e-05,0.00020824457230722,0.000252374511170016,0.000126481297880397,0.000999527885930968,0.0890197673422356,0.066161175421603,0.000557878975864118,-2.70841250153627e-14,1,0.204958259496183,0.0235314229529152,0.181275458122567,0.230886933228498,0.28297160322552,3.78574137093173,0.518221550734162,0.220731705664722,0.508874739813193,0.0344787030052567,0.0612714324493874,0.05879990096044,0.115987487013139,0.0694148574357398,0.0235314229529152,0.0235314042568181
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230468850873452,0.00539112081501541,0.000635147317367277,0.00396297881670547,0.000460712697361661,0.00056973606721573,0.00252945502025059,9.89029879939266e-05,0.0157007658327981,0.0132987084615984,8.34131994761177e-05,0.000383516157584857,0.0020373846213997,0.00102110925121362,0.00146448986565383,0.0890197675023166,0.0440037218332105,0.0012504439616748,2.8438331266131e-13,1,0.204958259496182,0.18996593206524,1.31696486213401,0.327230398483485,0.48857485951329,0.609689048723919,0.418829724874237,0.247711333572056,0.281050557805621,0.0760792215337897,0.128694801908181,0.321224842067594,0.139021999126863,0.127838719194952,0.18996593206524,0.189973814179278
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00330857229285591,0.00292767648681036,0.000366517440971255,0.0131103445257951,0.000322419766804302,0.000381466005562361,0.00274646234463568,7.0065826370166e-05,0.00774634189843287,0.00264097534613691,5.87442539583779e-05,0.00021502774083448,0.000356163919106386,0.000178475066249015,0.00101841029760709,0.112970791154414,0.0559530689353649,0.000586736194273017,2.03130937615221e-13,1,0.204958259496182,0.0332087570262365,0.189061273877481,0.1777041873633,0.281936493054811,2.01697608089155,0.293108878913001,0.165854785027114,0.305162482737298,0.0538967895155123,0.0634946057248596,0.0637916750274615,0.0979070899306299,0.0716759136114934,0.0332087570262365,0.0332046634881889
