"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209880116821317,0.00384773972899777,0.000228158799276764,0.00255056249022393,0.000433627778434123,0.000771339834723226,0.00217149486992795,0.000645986637851259,0.0239107916735178,0.0253382529806083,0.00016255546098658,0.000587973171388955,0.0514216371784226,0.0257706477092948,0.00226260058849425,0.0180593169966178,0,0.0306374264763663,8.52881787219662e-11,1.00000000000016,0.190898913543346,4.79455824507437,0.119931495326467,0.233550211168302,0.175506768674434,0.39239422926522,0.394207071303748,0.335365145531837,0.241277207769772,0.496912798347122,0.195990095684572,0.61203509614996,0.270925768310967,0.195991057129652,4.79455824507437,4.79453910870601
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143599221025185,0.002667700712766,0.000141459339711214,0.00177104669578365,0.00029447501212058,0.000520055845258869,0.00143139690461987,0.000447302218558359,0.0154224417564725,0.0178531235022953,0.00010727524248833,0.000379244386766757,0.0379776347264524,0.0190329032068277,0.00145939897252572,0.0437259477746836,0.0371092743040634,0.00912224073173681,6.58053693991849e-11,1.00000000000013,0.190898913543383,3.54103820293262,0.0820566977286773,0.161924170729348,0.108814876700934,0.272468722428254,0.267704556473255,0.226111237069074,0.159044100513319,0.344078629660276,0.126413457020266,0.431234867205201,0.178792070813884,0.126414795588919,3.54103820293262,3.54100524778189
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138053582523395,0.00301799369282725,0.00129748363547902,0.00225088258791741,0.000320146432344152,0.000964137384348124,0.00309548958538151,0.000334807268934319,0.0372155743714703,0.0403899688932031,0.000200554491782163,0.000915138168641674,0.0323612449760894,0.016218356287886,0.00352153843004942,0.0110496094716758,0,0.0239406296135032,-1.90582585524639e-10,0.999999999999636,0.190898913543872,3.01736549893607,0.788877614419399,0.183186263601047,0.998064334983863,0.346289628910371,0.291042211221956,0.41919016710788,0.343943287264612,0.257544053026399,0.305045691569428,0.975603113362395,0.334257486303606,0.305046056213891,3.01736549893607,3.01736861169972
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138053582523395,0.00301799369282725,0.00129748363547902,0.00225088258791741,0.000320146432344152,0.000964137384348124,0.00309548958538151,0.000334807268934319,0.0372155743714703,0.0403899688932031,0.000200554491782163,0.000915138168641674,0.0323612449760894,0.016218356287886,0.00352153843004942,0.0110496094716758,0,0.0239406296135032,-1.90582585524639e-10,0.999999999999636,0.190898913543872,3.01736549893607,0.788877614419399,0.183186263601047,0.998064334983863,0.346289628910371,0.291042211221956,0.41919016710788,0.343943287264612,0.257544053026399,0.305045691569428,0.975603113362395,0.334257486303606,0.305046056213891,3.01736549893607,3.01736861169972
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121661169505025,0.00265967815667655,0.00114343052800784,0.00197899491677736,0.000282137318947067,0.000851151544843423,0.0027252908639898,0.000295058596729225,0.0327967333477764,0.0355958686979221,0.00017674361453267,0.000806480165454143,0.0429721175510871,0.0215361096507715,0.00310343737280181,0.010015578888254,0,0.0217939853783394,5.01318854813057e-11,1.0000000000001,0.190898913543413,4.00672424718761,0.695206682885855,0.161437217400701,0.879561944621412,0.304460756427286,0.256488471770061,0.370065889062358,0.302810095998866,0.226968151330173,0.268825683178495,0.859803591737249,0.294572690887783,0.268826721818048,4.00672424718761,4.00671807456214
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00860986812801545,0.00188246906869068,0.000809270824378571,0.00142944855463028,0.000199693527126655,0.000602435565468654,0.00192976864025945,0.00020884227691271,0.0232112111918357,0.025176432466972,0.000125096459662658,0.000570783680078857,0.0304156406875137,0.0152430673620546,0.00219654858484435,0.0359250589159586,0.0340374016186796,0.00832587599030927,6.12109158573947e-11,1.00000000000012,0.190898913543392,2.83595717366095,0.491992464458025,0.114262158949358,0.622516018752747,0.219915162250813,0.181539570115141,0.261928506725502,0.214418737806605,0.16064790531747,0.190255829441276,0.608126388091111,0.208494099437764,0.190261226692952,2.83595717366095,2.83591950921946
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.0040399184623871,0.00413509279334057,0.000310439822959119,0.00831781072059314,0.000395419670782893,0.000378161412305971,0.00212953129472233,5.18009341178392e-05,0.00829354873158353,0.00381251269749049,5.50208956317899e-05,0.00021149811992211,0.000565921745281695,0.000283592680833575,0.000844796776390325,0.100282766733633,0.0705658465874359,0.000284579416771618,-2.57299187645947e-13,0.999999999999999,0.204958259496183,0.0527665962966616,0.230852483564977,0.250991975316575,0.238799863814707,1.27966318778356,0.359472427984448,0.164418005350422,0.236614588302481,0.0398468723983378,0.0679799076359306,0.0920896786833452,0.0917014927196498,0.0704993733073699,0.0527665962966616,0.0527614289922931
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317484245907073,0.00380729571102288,0.000368236242907218,0.0246093936742882,0.000570722149369201,0.000508389226028417,0.00458082756277726,4.48875216740393e-05,0.0074452204525987,0.0024363372267511,6.96859637312238e-05,0.000208454790005242,0.000252741896875152,0.000126665115416747,0.00101036491581162,0.089019767324492,0.0661661098830364,0.000558317380326082,1.76046812599859e-13,1,0.204958259496182,0.0235656780303172,0.181419569089756,0.231095339060569,0.283258648390168,3.7860605652751,0.518838317608364,0.221038793925399,0.508980840308585,0.034528862826184,0.0610263971524483,0.0588487252838431,0.116143272885373,0.0694849300017474,0.0235656780303172,0.023565602868232
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.023083853607422,0.00539841250412113,0.000635995714386579,0.00396530358308186,0.000461295535828304,0.000570448307982884,0.00253160463336355,9.90256525566188e-05,0.0155692046123987,0.0133196696972636,8.35180664226765e-05,0.000384031502887138,0.00203991109786102,0.00102237771748185,0.00148101403061369,0.0890197676337675,0.0440403681096425,0.00125245748910275,-8.80234062999292e-13,0.999999999999998,0.204958259496184,0.190201500966062,1.31907734899554,0.327672989627989,0.48922747260506,0.610046705089518,0.419359578025731,0.248021003470819,0.281289403707061,0.0761735788897068,0.12761643124917,0.321731152107816,0.139196777371127,0.128010500962379,0.190201500966062,0.1902098079036
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331142047184275,0.00293085169728666,0.000366927817803367,0.0131120500313574,0.000322883732598923,0.000382052344380015,0.00274726333905943,7.0176723176121e-05,0.00771516839312397,0.00264331735566846,5.88319428954864e-05,0.00021526467764951,0.000356727981506957,0.000178757106923429,0.00102963113071408,0.112970788591337,0.0559589116353582,0.000587234523500658,-1.08336500061451e-13,1,0.204958259496183,0.0332613502570589,0.189224026962443,0.177896916375518,0.282252167541051,2.01723846636267,0.293530665999021,0.166109714947832,0.305251482117715,0.0539820947508623,0.0632390851895407,0.0638482453060014,0.0980532381591441,0.0717548925498367,0.0332613502570589,0.0332571361718007
