"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209603781757368,0.00384267360554607,0.000227858426342192,0.00254722996715777,0.000433056919205183,0.0007703244134471,0.00216864511532195,0.00064513636695567,0.0238792998453536,0.0255578142142922,0.000162341456983639,0.000587198875271061,0.0513539543811891,0.0257367231568432,0.00223724936256098,0.0180593085556038,0,0.0305940610637636,5.12078018170414e-11,1.0000000000001,0.190898913543411,4.78824749474956,0.119773589575639,0.233242707468654,0.175275712570917,0.391881533408888,0.393688108368348,0.334923658020478,0.240960568369105,0.496258743812054,0.195731965945521,0.617338507591599,0.270569094972731,0.195732958423687,4.78824749474956,4.78822756406385
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143446077688814,0.00266485557514206,0.000141308526541215,0.00176920441496583,0.000294161084578724,0.000519501481283516,0.00142988654731862,0.000446825650227283,0.0154059793021264,0.0180121865928439,0.000107160874699576,0.000378839716777046,0.0379371726948633,0.0190126163673401,0.00144340895318003,0.0437259660938442,0.037064504841453,0.00911087404936746,3.56651725886435e-11,1.00000000000007,0.19089891354344,3.53726551933458,0.0819691872507507,0.161751476488137,0.108698866570165,0.272185294610127,0.26741916779884,0.225870209253703,0.158876283035402,0.343712038636371,0.126278518869888,0.43507697084164,0.178601457832627,0.126279905592349,3.53726551933458,3.53723095206327
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.013777177344642,0.00301183841184112,0.00129483606940618,0.00224632584591464,0.000319493536963053,0.000962171165766772,0.00308919594557314,0.000334124538930466,0.0371396264126495,0.0407102407813059,0.000200145472302397,0.000913270676334146,0.0322952548798213,0.0161852821633619,0.00347956041053491,0.0110496096216799,0,0.0238907602661993,1.47662247374751e-10,1.00000000000028,0.190898913543227,3.01121257620711,0.787267276836685,0.182812650187625,0.996027745697059,0.345588591679175,0.290448669966412,0.418335289463814,0.343243993952571,0.257018876100358,0.304423167316799,0.983339149306907,0.333575787170662,0.304423558778049,3.01121257620711,3.01121528620687
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.013777177344642,0.00301183841184112,0.00129483606940618,0.00224632584591464,0.000319493536963053,0.000962171165766772,0.00308919594557314,0.000334124538930466,0.0371396264126495,0.0407102407813059,0.000200145472302397,0.000913270676334146,0.0322952548798213,0.0161852821633619,0.00347956041053491,0.0110496096216799,0,0.0238907602661993,1.47662247374751e-10,1.00000000000028,0.190898913543227,3.01121257620711,0.787267276836685,0.182812650187625,0.996027745697059,0.345588591679175,0.290448669966412,0.418335289463814,0.343243993952571,0.257018876100358,0.304423167316799,0.983339149306907,0.333575787170662,0.304423558778049,3.01121257620711,3.01121528620687
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121443655513372,0.00265492542661153,0.00114138694625383,0.00197547644879748,0.000281633179318546,0.000849630661680158,0.00272043126358436,0.000294531411386244,0.0327381083900238,0.0358873817864039,0.000176427790521785,0.000805038705168385,0.0428953387288531,0.0214976284282874,0.00306721948929787,0.0100155781262459,0,0.0217538112097624,-1.33617177370418e-11,0.999999999999974,0.190898913543534,3.99956538264364,0.6939637457907,0.161148736061398,0.877989958656795,0.303919453661151,0.25603016301686,0.369404635513112,0.302270140398262,0.226562624143265,0.2683451507379,0.866844970686085,0.294046317536309,0.268346235056128,3.99956538264364,3.9995587773558
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00859735674182901,0.00187974014047705,0.000808096790611072,0.00142742845288419,0.000199404115680013,0.000601562481602474,0.00192700108151913,0.000208539722773935,0.0231775124270616,0.0253906740471556,0.000124915138135408,0.000569955385989447,0.0303715770929245,0.015220978014719,0.00217164815123657,0.0359250562852922,0.0339849177426012,0.00831254973089267,6.47439924733916e-11,1.00000000000012,0.190898913543385,2.83184867999296,0.491277528104515,0.114096518390109,0.621612915854671,0.219604377366798,0.181276468800012,0.261548905044554,0.214111231279903,0.160415171364565,0.189979610057882,0.613301305486849,0.208191896892346,0.189985128663149,2.83184867999296,2.83180986320353
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00403932597509683,0.00413416640096108,0.000310346376713567,0.00831734030913536,0.000395278007842186,0.000378014009981062,0.00212928366160274,5.17801103776084e-05,0.00829150807988538,0.00382693546407913,5.49999984957234e-05,0.000211439173781334,0.000565694129501231,0.000283479008540185,0.000836178914145044,0.100282766745202,0.0705651635454879,0.000284559585354428,5.41682500307258e-14,1,0.204958259496182,0.0527453733800682,0.230818627148391,0.250935745126621,0.238727982087359,1.27959081679006,0.359343643492896,0.16435391738307,0.236587073511415,0.0398308541366218,0.067963180982667,0.0924380546879017,0.091666664159539,0.0704797245937779,0.0527453733800682,0.0527402806586392
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317555440314627,0.0038080494805522,0.000368298071282897,0.0246096407645,0.000570787304607055,0.000508408822437455,0.00458089127814379,4.48879131417397e-05,0.00744658373126246,0.00244053980324538,6.96900537488409e-05,0.000208490079470409,0.000252743952431994,0.000126666291549916,0.00100088806888609,0.0890197678106829,0.0661679280173765,0.000558443649717113,-2.30215062630584e-13,1,0.204958259496183,0.0235658696906288,0.181460251608358,0.231141091384048,0.283306208679152,3.78609857915385,0.518897549642777,0.221047314103241,0.508987919793754,0.0345291639551844,0.0610375715677251,0.0589502367933667,0.116150089581401,0.069496693156803,0.0235658696906288,0.0235658216837054
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230716401589911,0.00539345417974867,0.000635403292330266,0.00396353223455576,0.000460842721089873,0.000569882707186249,0.00252995124857318,9.8926835884535e-05,0.015555221780971,0.0133863252659613,8.34356459822956e-05,0.000383676137496565,0.00203787523933774,0.00102135880763563,0.00146491640756549,0.0890197674709259,0.0440301763301056,0.00125187303184404,-1.39483243829119e-12,0.999999999999997,0.204958259496185,0.190011677327528,1.31837943765664,0.327372029119798,0.488771763330974,0.609774189931656,0.418947928263521,0.247775090080978,0.281105694285909,0.0760975660650269,0.127501817876812,0.323341189999066,0.139059409970493,0.127892045832188,0.190011677327528,0.190020243281048
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331226799435048,0.00293145448305203,0.000367000048849211,0.013112203942655,0.000322916109832072,0.000382075753229578,0.00274731435457311,7.01795380684843e-05,0.0077168298330206,0.00264717558081399,5.88366346124561e-05,0.000215308021174678,0.000356742065666007,0.000178764452447601,0.00101995363931735,0.11297078854805,0.0559610624904628,0.000587386006006882,-1.48962687584495e-13,1,0.204958259496183,0.033262663465362,0.189272456820027,0.177933504282369,0.282307729884008,2.01726214502385,0.293560099847338,0.166119892708512,0.305257150508124,0.0539842600526802,0.0632527035493492,0.0639414391500964,0.0980610576874269,0.0717693403915593,0.033262663465362,0.0332585027809491
