"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209904873406984,0.00384819359818848,0.00022818570934085,0.00255086104906772,0.000433678921026931,0.00077143080499058,0.00217175017467633,0.000646062812179472,0.0239136129963955,0.0253412503079068,0.000164200375862531,0.000588042544704752,0.0514277007715596,0.0257736869644354,0.00224046290697829,0.0180593193683213,0,0.0306414255038272,-1.21404073018823e-11,0.999999999999977,0.190898913543532,4.79512361506383,0.119945641946848,0.233577760132837,0.175527468723731,0.392440161395033,0.394253564569937,0.335404697821991,0.241305574964037,0.496971393984209,0.19601322128193,0.612107495360068,0.273667293104218,0.196014181568251,4.79512361506383,4.79510455152287
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143611508963925,0.00266792900215507,0.000141471440392392,0.00177119451900819,0.000294500200369148,0.000520100324857372,0.0014315180887647,0.000447340454738647,0.0154237627640314,0.0178546631681102,0.000108357257780444,0.000379276858066655,0.0379808810864675,0.0190345309188866,0.00144507319788785,0.0437259501510044,0.037113048028679,0.00912320099259363,3.98525226520473e-11,1.00000000000008,0.190898913543432,3.54134089384312,0.0820637194079569,0.161938027444921,0.108824184917224,0.272491464462799,0.267727454881044,0.226130576024944,0.1590575654183,0.344108042106652,0.126424284951077,0.431272057200729,0.180595429634073,0.126425619355552,3.54134089384312,3.54130807793238
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138078546444326,0.00301853900910249,0.00129771780569395,0.00225128626635152,0.000320204268544625,0.000964311559478936,0.00309604713778696,0.000334867743642439,0.0372223001554472,0.0403972921588005,0.000202596635079437,0.000915303398719148,0.0323670902263655,0.0162212860577979,0.00348730169305692,0.0110496089586729,0,0.0239453058244316,5.4377393184479e-11,1.0000000000001,0.190898913543405,3.01791051061683,0.789020265396147,0.183219363223216,0.998244465918422,0.34635173328485,0.291094789586022,0.419265895425624,0.344005237531884,0.257590572032646,0.305100820946289,0.975780003835762,0.337661058465729,0.305101132906383,3.01791051061683,3.0179136851717
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138078546444326,0.00301853900910249,0.00129771780569395,0.00225128626635152,0.000320204268544625,0.000964311559478936,0.00309604713778696,0.000334867743642439,0.0372223001554472,0.0403972921588005,0.000202596635079437,0.000915303398719148,0.0323670902263655,0.0162212860577979,0.00348730169305692,0.0110496089586729,0,0.0239453058244316,5.4377393184479e-11,1.0000000000001,0.190898913543405,3.01791051061683,0.789020265396147,0.183219363223216,0.998244465918422,0.34635173328485,0.291094789586022,0.419265895425624,0.344005237531884,0.257590572032646,0.305100820946289,0.975780003835762,0.337661058465729,0.305101132906383,3.01791051061683,3.0179136851717
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121680491830808,0.0026601003311696,0.00114361205766351,0.00197930745455371,0.000282182100301307,0.000851286640721867,0.00272572252960759,0.000295105424780373,0.0328019410437904,0.0356015307243154,0.000178539382917266,0.000806608209860967,0.042978937547806,0.0215395278262271,0.00307319808458501,0.0100155796384299,0,0.0217976853638624,-8.63059374179324e-11,0.999999999999835,0.190898913543673,4.00736014431758,0.695317096176047,0.161462842559611,0.879701582818084,0.30450883916211,0.256529182092097,0.370124626400812,0.302858058845287,0.227004172907979,0.268868369211397,0.859940355659792,0.297565638195443,0.268869403286989,4.00736014431758,4.00735401418179
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.00861096286046423,0.00188270776715376,0.000809373527201662,0.00142962524999005,0.000199718840956477,0.000602511930977319,0.00193001070591439,0.000208868738903329,0.0232141594225038,0.0251796574060523,0.000126363429833833,0.000570856140995478,0.0304194945756213,0.015244999416789,0.00217507678610852,0.0359250590811068,0.0340423362810336,0.00832713138210055,-1.036223746593e-10,0.999999999999802,0.190898913543706,2.83631651054744,0.492055020597956,0.11427664747519,0.622595020924355,0.219942346152315,0.181562582687706,0.261961709120574,0.214445633990488,0.160668260694868,0.190279995266425,0.608204285170344,0.210605716389722,0.190285380331826,2.83631651054744,2.83627896126307
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00404073818674371,0.00413582654502178,0.000310487706290847,0.00831800809507486,0.000395474859036281,0.000378211560137792,0.00212962469931669,5.18076649455606e-05,0.00829496301750259,0.00381330361414834,5.55770069962769e-05,0.000211532098118062,0.000565995294975714,0.000283629625009292,0.000836600490771763,0.100282766688886,0.0705690676339588,0.000284644709248118,-2.43757125138265e-13,1,0.204958259496183,0.0527734540769897,0.230899324956783,0.251036512596163,0.238836697146805,1.27969355308844,0.359522599123892,0.164439808755562,0.236624966590743,0.0398520499581236,0.0679915001434638,0.0921087829504431,0.0926283449937949,0.0705106993726875,0.0527734540769897,0.0527683023273101
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317586847612957,0.00380847576553175,0.000368344456628143,0.0246099222232473,0.000570872872970577,0.000508502204882266,0.00458101187954107,4.48967999024557e-05,0.00744746957822686,0.00243711460976945,7.03887566370044e-05,0.00020851620627104,0.00025279403275214,0.000126691309251312,0.00100105147585829,0.089019767008512,0.0661680735348524,0.000558498305219271,-1.48962687584495e-13,1,0.204958259496183,0.0235705391843487,0.181478198635975,0.231166966041381,0.283341889713956,3.78614188049958,0.518975339064161,0.221087915166203,0.509001319949008,0.0345359999249659,0.0610448326084169,0.0588675026514361,0.117314594395007,0.0695054020903465,0.0235705391843487,0.023570476139779
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230878612916589,0.00539901017684463,0.00063606499066145,0.00396549209920337,0.0004613427339453,0.000570505906974287,0.0025317788939912,9.90355644722658e-05,0.0155709720878468,0.0133217416520161,8.43619413899602e-05,0.000384073656461934,0.00204011524679616,0.0010224802322315,0.00146650122857283,0.0890197674954412,0.0440444647725945,0.00125268952507823,9.34402313030018e-13,1,0.204958259496181,0.19022053583181,1.31930635952336,0.327709267183286,0.489280762047269,0.610075707569749,0.419402485404818,0.24804604651056,0.281308765999023,0.0761812034402044,0.127630918752842,0.32178119932406,0.140603235649934,0.128024552153978,0.19022053583181,0.190228880415162
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.0033125515505415,0.00293177518391671,0.00036704162279668,0.0131123729382724,0.000322965159389384,0.00038213997689531,0.00274739535132374,7.01920312664071e-05,0.00771764049872574,0.00264421325387039,5.94289599699343e-05,0.000215331987220912,0.000356805678917516,0.0001787961885015,0.00102010336625872,0.11297078855835,0.0559612815511549,0.000587435638811132,-1.76046812599858e-13,1,0.204958259496183,0.033268594770864,0.189288660030943,0.177952970192213,0.2823397098436,2.01728814434961,0.293604690353986,0.166147816041439,0.305266150147082,0.0539938702049286,0.063259348350211,0.0638698853591882,0.0990482666165572,0.0717773290736374,0.033268594770864,0.0332644071630698
