"","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","rownr","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial"
"1",17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,7,2.4,0.00209899807719122,0.00384810072771589,0.000228180202910282,0.00255079995348605,0.000433668455998365,0.000771412190196941,0.00217169793384202,0.000646047224634257,0.023913035746445,0.0253406359489407,0.000162570710233055,0.000593908546585692,0.0514264599732312,0.0257730650533132,0.00224040884049555,0.0180593151876043,0,0.0306406087705276,8.23221390937219e-11,1.00000000000016,0.190898913543351,4.795007922912,0.11994274726807,0.233572123078354,0.175523233007909,0.392430762074778,0.394244050907605,0.335396604433452,0.241299770426891,0.496959403564813,0.196008489724959,0.612092655771514,0.270951183721758,0.197969515528564,4.795007922912,4.79498884712804
"2",21,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0231735672990197,0.0457289297066894,0.0307300924757984,0.075066849493106,0.0756015598645284,0.0640743713869249,0.0448126387021982,0.0971688751551987,0.0357012091295639,0.121825762778047,0.050492139090928,"RodgersRowland",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,8,1.5,0.00143608996840216,0.00266788233110832,0.000141468966544661,0.00177116429887849,0.000294495050913281,0.000520091231494327,0.0014314933168252,0.000447332637740155,0.0154234927017211,0.017854348424521,0.000107282542905031,0.000383062806710003,0.0379802174010974,0.0190341981508898,0.00144504792618821,0.043725950292393,0.0371122893227772,0.00912300617240992,-5.59767282781401e-12,0.999999999999989,0.190898913543519,3.54127901175734,0.0820622839086948,0.16193519460445,0.108822281957431,0.272486815212075,0.267722773557528,0.226126622388838,0.159054812980577,0.344102029030889,0.126422071325583,0.431264454698574,0.178804238175051,0.127687602236668,3.54127901175734,3.54124616760741
"3",28,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2,2.9,0.0138073111516415,0.00301842031190512,0.00129766676054012,0.00225119839612921,0.000320191678558351,0.000964273644314569,0.00309592577252659,0.00033485457863753,0.0372208355819767,0.040395697852662,0.000200582838576389,0.000924420050965385,0.0323658177472277,0.0162206482838716,0.00348716456026538,0.0110496090918344,0,0.0239442952418505,1.32744812773875e-11,1.00000000000003,0.190898913543483,3.01779186454338,0.788989208665229,0.183212158537488,0.998205200415478,0.346338214789109,0.291083344143955,0.419249410571552,0.343991752502955,0.257580445105792,0.305088816245711,0.975741494025652,0.334304730960648,0.308140016988462,3.01779186454338,3.01779502955751
"4",29,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.261446385755013,0.0607105064977446,0.330772005104553,0.113918557581243,0.0964555908880599,0.139645384413501,0.113634866126754,0.0853539444616065,0.101096403083402,0.323382003415972,0.110777696226196,"Schmitt",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,1,2.9,0.0138073111516415,0.00301842031190512,0.00129766676054012,0.00225119839612921,0.000320191678558351,0.000964273644314569,0.00309592577252659,0.00033485457863753,0.0372208355819767,0.040395697852662,0.000200582838576389,0.000924420050965385,0.0323658177472277,0.0162206482838716,0.00348716456026538,0.0110496090918344,0,0.0239442952418505,1.32744812773875e-11,1.00000000000003,0.190898913543483,3.01779186454338,0.788989208665229,0.183212158537488,0.998205200415478,0.346338214789109,0.291083344143955,0.419249410571552,0.343991752502955,0.257580445105792,0.305088816245711,0.975741494025652,0.334304730960648,0.308140016988462,3.01779186454338,3.01779502955751
"5",34,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,5,3,0.0121676287662341,0.00266000847367731,0.00114357256047137,0.00197923945135417,0.00028217235668678,0.000851257246292094,0.00272562860781889,0.00029509523583007,0.0328008079504062,0.0356002988066065,0.000176765564383337,0.000814646065790291,0.0429774536379115,0.0215387840927146,0.00307309196103596,0.0100155788240883,0,0.0217968839421304,4.02160079006066e-11,1.00000000000008,0.190898913543432,4.00722178442065,0.695293072356232,0.161457266991035,0.879671200362591,0.304498377131411,0.256520324260709,0.370111846213954,0.302847623090988,0.2269963352539,0.268859081560707,0.859910599193393,0.294609273972229,0.271548688596764,4.00722178442065,4.0072156451562
"6",36,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico",NA,0.029757511,0.057795181257969,"in vitro","httk","Wetmore 2013","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.173513999830735,0.0402917132847438,0.219523301008658,0.0756042755144124,0.0640146366249907,0.0926783865744167,0.0754159981402812,0.056646812164164,0.0670946022712996,0.214618782064789,0.0735197815365971,"Schmitt",13.0924556,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,11,1.7,0.0086107239662861,0.00188265567263294,0.000809351113532153,0.00142958668510999,0.00019971331631467,0.000602495264503215,0.0019299578822046,0.000208862963606166,0.023213516026533,0.0251789533411141,0.000125108858167422,0.000576548265420623,0.0304186534691353,0.015244577752258,0.0021750165986724,0.0359250569931717,0.0340412758043681,0.00832685957045098,1.414684587393e-11,1.00000000000003,0.190898913543481,2.83623808570026,0.492041369502063,0.114273485440543,0.622577779640118,0.219936413093845,0.181557560286064,0.261954462827485,0.2144397646894,0.160663818158589,0.190274721528959,0.608187278770873,0.208514763612369,0.192182755140208,2.83623808570026,2.83620051204801
"7",38,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.75178082949257,5.3412872748405,4.64547287003252,4.05301010437793,6.85238209122511,3.17301217769728,3.41925054203492,0.755164532869689,1.39293793970559,3.02860664891982,1.74176061787056,"Berezhkovskiy",66.7,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,11,0.6,0.00404056820701503,0.00413564870389605,0.000310474348254184,0.00831794861284934,0.000395458373548002,0.000378196317493344,0.00212959716764312,5.18056084863108e-05,0.00829460543107276,0.00381314415993895,5.50260683863573e-05,0.000213443135952992,0.000565972801324709,0.00028361833174105,0.000836565903370047,0.100282766755002,0.0705687863114805,0.000284633258728718,-2.70841250153628e-13,0.999999999999999,0.204958259496183,0.0527713567668726,0.23088961182943,0.251025717990656,0.238826421733988,1.27968440197682,0.359507612316365,0.164433181518845,0.236621907515902,0.0398504680663929,0.0679885691071538,0.0921049313994915,0.0917101139772621,0.0711477119843306,0.0527713567668726,0.0527662012541489
"8",46,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,112.0109221147,18.2793677339556,15.2719145235352,13.2163608384912,23.1302913958949,10.0921381999049,10.9987158468576,1.46521920655309,3.78389866852541,9.70942750555405,4.96074411274315,"Berezhkovskiy",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,5,0.7,0.00317577061167961,0.00380834707168338,0.000368330931480715,0.0246098301381215,0.000570849215204121,0.000508478430131831,0.00458098244942234,4.48946569177608e-05,0.00744720677879283,0.00243703707402677,6.96990329629262e-05,0.000209773384792682,0.00025278196443259,0.000126685265156015,0.00100100746556259,0.0890197673118173,0.0661683364693074,0.00055848124469001,5.41682500307258e-14,1,0.204958259496182,0.0235694139331086,0.181472606381692,0.231159154578657,0.283331485754396,3.78612771355715,0.518953832003746,0.221077578318187,0.508998049935816,0.0345343514752006,0.0610426785146953,0.0588656298074098,0.11616505493821,0.0699244615975607,0.0235694139331086,0.0235693516569331
"9",63,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,17.184710628472,1.72704319669488,2.57564847559063,1.47251712903558,2.20411289997706,1.3262254759434,1.21929723641037,0.400487252102443,0.674269843108047,2.24565458002779,0.731644371014829,"Schmitt",75.80093863,"ul/min/mg microsomes","in silico","CYP_RLM_CLint_bound","AMDT predictor",0.001,"NA, 0.001 added so that it does not influence the calculations",45,1,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,10,0.7,0.0230870045347369,0.00539885391297777,0.000636046837565413,0.00396544245820836,0.000461330298511361,0.000570490721049947,0.00253173295209238,9.90329501349526e-05,0.0155705112730838,0.0133212648259295,8.35243156522661e-05,0.000387876790895719,0.00204006140066131,0.00102245319544124,0.00146646151728951,0.0890197674674554,0.0440437617366614,0.00125264230783647,-5.68766625322619e-13,0.999999999999999,0.204958259496184,0.190215515213176,1.31925740198496,0.327699782274826,0.489266798127241,0.610068070493594,0.419391180464874,0.24803944393476,0.281303661343598,0.076179192411502,0.127627141582654,0.321769681785736,0.139207192753777,0.129292263631906,0.190215515213176,0.190223850314649
"10",67,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico",NA,0.597340569,0.747918860376731,"in vitro","httk","Wetmore 2013","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,69.6431773655549,6.9990573752298,10.43813582288,5.96755882646835,8.93244168874663,5.3746937056255,4.94135371450296,1.62302440429829,2.73256240916953,9.10079451437073,2.96507982012068,"Schmitt",41.66,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,3,0.5,0.00331243907464016,0.0029316549325749,0.000367026182580601,0.0131123297383719,0.000322949410715564,0.000382120716162087,0.00274737470961509,7.01884371930348e-05,0.00771733338804617,0.00264412127268413,5.88431362247184e-05,0.000216656279233369,0.000356787434523759,0.00017878706412168,0.00102005411076738,0.112970788590816,0.0559613890931426,0.000587415924769753,-1.35420625076813e-14,1,0.204958259496183,0.0332668936618889,0.189282232836581,0.177945671172984,0.282327832754309,2.01728149821106,0.293590373377785,0.166139441809603,0.305263856623899,0.0539911055331037,0.0632568310495588,0.0638676635914042,0.098071893707864,0.0722187597444565,0.0332668936618889,0.0332627096040335
