"","X.4","X.3","compound","CAS","Ka","Fa","method.KaFa","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","conc.enzymes.Clint","unit.conc.enzymes.Clint","scaling.factor","Fuinc","method.Fuinc","dose","dose.units","Cmax","Cmax.units","reference","original.reference","X","X.1","X.2","time","Aad","Abo","Abr","Agu","Ahe","Aki","Ali","Alu","Amu","Ask","Asp","Ate","Ave","Aar","Are","D","AliClearance","AkiClearance","ERROR","MASSBBAL","Calculated","Cplasmavenous","Cadipose","Cbone","Cbrain","Cgut","Cheart","Ckidney","Cliver","Clung","Cmuscle","Cskin","Cspleen","Cgonads","Cvenous","Carterial","pred.obs.ratio","med.pred.obs.ratio","color"
"1",13,13,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","ADMET",0.0397449457059095,0.0764513371669734,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0244042764357967,0.0477156380808296,0.0346305898835041,0.0791506869029637,0.0799984724154605,0.0682099604230464,0.048362378738689,0.101455724449216,0.0391323618553115,0.12570337667017,0.0544783459720246,"RodgersRowland",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2.5,0.00211795222063436,0.00389850615724095,0.000223262704177523,0.00256849811013591,0.000436402772550292,0.000774462470477427,0.00216458923487022,0.000654085193669801,0.023675827130833,0.0258060612248001,0.000162101915660138,0.000582194117839685,0.0531877637805619,0.0266558153585316,0.00221817100606809,0.0163693108241974,0,0.0294039093210086,1.31697975258024e-10,1.00000000000025,0.190898913543257,4.95923205413164,0.121025841179106,0.236631633216446,0.171740541675017,0.395153555405524,0.396729793227538,0.336722813251055,0.24050991498558,0.503142456669077,0.194064156810107,0.62333481219324,0.270169859433564,0.194064705946562,4.95923205413164,4.9592214620524,4.06050659564831,3.25030373901551,"Within 5-fold"
"2",14,14,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","ADMET",0.0397449457059095,0.0764513371669734,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.87,NA,2.649834341,-0.024383446,"ADMET","No",2.95112213287771e-05,0.999970488778671,0,2,0.0244042764357967,0.0477156380808296,0.0346305898835041,0.0791506869029637,0.0799984724154605,0.0682099604230464,0.048362378738689,0.101455724449216,0.0391323618553115,0.12570337667017,0.0544783459720246,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.87,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2.5,0.00211795222063436,0.00389850615724095,0.000223262704177523,0.00256849811013591,0.000436402772550292,0.000774462470477427,0.00216458923487022,0.000654085193669801,0.023675827130833,0.0258060612248001,0.000162101915660138,0.000582194117839685,0.0531877637805619,0.0266558153585316,0.00221817100606809,0.0163693108241974,0,0.0294039093210086,1.31697975258024e-10,1.00000000000025,0.190898913543257,4.95923205413164,0.121025841179106,0.236631633216446,0.171740541675017,0.395153555405524,0.396729793227538,0.336722813251055,0.24050991498558,0.503142456669077,0.194064156810107,0.62333481219324,0.270169859433564,0.194064705946562,4.95923205413164,4.9592214620524,4.06050659564831,3.25030373901551,"Within 5-fold"
"3",16,16,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.977,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2.4,0.0020990681707504,0.00384822923217097,0.000228187821956989,0.00255088448581189,0.000433682935986985,0.000771437946576744,0.00217177021937964,0.000646068791755862,0.0239138345642498,0.0253414841883652,0.000162576138504488,0.000588047986962457,0.051428176747109,0.0257739255556249,0.00224048365092262,0.0180593169972287,0,0.0306417381098614,1.52140385637002e-10,1.00000000000029,0.190898913543218,4.79516799506844,0.119946752614309,0.233579923045279,0.175529093813068,0.392443767047983,0.394257214533623,0.335407802859454,0.241307802153293,0.496975993658355,0.196015037411884,0.612113144646502,0.270960230840813,0.196015995654152,4.79516799506844,4.79514894058138,3.92617466952279,3.25030373901551,"Within 5-fold"
"4",17,17,"2,4-D","94-75-7",0.982535244590852,0.763595654174034,"in silico","BASF",0.0448378442523629,0.085827374073432,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",2.81,NA,2.5,-0.99,"BASF","No",2.57032971512226e-05,0.999974296702849,0,2,0.0250143283905305,0.0487120096660783,0.0366056482318526,0.081221535857559,0.0822201507592369,0.0703097357723828,0.0501634415376957,0.103641007070615,0.0408784965278629,0.127669608823475,0.0565072849291197,"RodgersRowland",0,"ul/min/mg S9","S9","this work","this work",2,"mg S9/ml",165,0.869,"in silico",1,"mg/kg",1.221333333,"mg/L","httk","RTI 2015",NA,NA,NA,2.4,0.0020990681707504,0.00384822923217097,0.000228187821956989,0.00255088448581189,0.000433682935986985,0.000771437946576744,0.00217177021937964,0.000646068791755862,0.0239138345642498,0.0253414841883652,0.000162576138504488,0.000588047986962457,0.051428176747109,0.0257739255556249,0.00224048365092262,0.0180593169972287,0,0.0306417381098614,1.52140385637002e-10,1.00000000000029,0.190898913543218,4.79516799506844,0.119946752614309,0.233579923045279,0.175529093813068,0.392443767047983,0.394257214533623,0.335407802859454,0.241307802153293,0.496975993658355,0.196015037411884,0.612113144646502,0.270960230840813,0.196015995654152,4.79516799506844,4.79514894058138,3.92617466952279,3.25030373901551,"Within 5-fold"
"5",49,49,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.51504754082242,6.46805967196668,5.41512600229202,4.61877943162368,7.96918192228569,3.63570522416768,3.58637853934531,0.518125153690412,1.4659003837041,4.49339531099621,1.58593913999959,"RodgersRowland",3.17029312288613,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.887,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,0.9,0.05333054441826,0.0583514131576355,0.00408915477946295,0.0468369891091061,0.00514859104785973,0.00484055255633535,0.0230952845260911,0.000396810513852233,0.101780086782605,0.0636943141315443,0.000560148625007055,0.00254455347547123,0.0063183556173378,0.00316643257909468,0.00985216336992958,0.367100646034757,0.31673840876645,0.00477044180423611,-2.07012420512773e-14,1,1.07261489129504,0.589124066884643,3.04745968104343,3.54181566965921,3.14550367650996,7.20569063217018,4.68053731623612,2.10458806797189,2.56614272512123,0.30523885680941,0.834263006414796,1.5385100031774,0.933581041678426,0.848184491823742,0.589124066884643,0.589103735645521,1319.92047839762,782.579235461103,"Above 5-fold"
"6",50,50,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","ADMET",0.147395986415589,0.256922611131048,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,2.765800925,2.765800925,"ADMET","No",1,0,0,1,6.51504754082242,6.46805967196668,5.41512600229202,4.61877943162368,7.96918192228569,3.63570522416768,3.58637853934531,0.518125153690412,1.4659003837041,4.49339531099621,1.58593913999959,"RodgersRowland",10.7857894736842,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.551,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,0.7,0.0219666643401689,0.0252584748541463,0.00182476509894869,0.0449806826813838,0.00230306229414512,0.00216103890220006,0.0107071744376145,0.000176960584604895,0.0449075317245933,0.0249413041120859,0.000250186426241089,0.00113319798419641,0.00281768237524677,0.00141223266802444,0.00440473971055943,0.465870115587559,0.415781918757958,0.00171715875534913,8.90153408204929e-13,1.00000000000001,1.07261489129503,0.262720967388976,1.25523796229537,1.53313959660979,1.40366546072976,6.92010502790519,2.09369299467738,0.939582131391331,1.18968604862384,0.13612352661915,0.368094522332732,0.602446959229127,0.416977377068482,0.377732661398803,0.262720967388976,0.262740961492919,588.620978930476,782.579235461103,"Above 5-fold"
"7",52,52,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","BASF",0.0687321029724914,0.128623633146838,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,25.1170097451137,19.9466022898753,16.5255079706178,14.0696776413453,24.4859545767051,11.0107674550352,10.8672885530388,1.30544483160945,4.26606106411765,13.7020602789933,4.62436635760694,"RodgersRowland",3.77963709677419,"ul/min/10^6 cells","hep","httk","Wetmore 2013",0.5,"10^6 cell/ml",125,0.744,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,1.1,0.0657270469624075,0.0841195665769977,0.0073182792173988,0.11681335303613,0.0101708471122824,0.00965809899895678,0.0627458055060318,0.000653323760786295,0.158887326285142,0.061637042697441,0.00106530667145628,0.00428682747342534,0.00412882794483398,0.00206916650911575,0.0186077459558041,0.289271365817377,0.173803431228034,0.0016515295414065,7.24543471794709e-13,1.00000000000001,1.07261489129503,0.384972302548623,3.75583125499471,5.1058917497419,5.62944555184523,17.9712850824815,9.24622464752949,4.19917347780729,6.97175616733686,0.502556739066381,1.30235513348477,1.48881745645993,1.7755111190938,1.42894249114178,0.384972302548623,0.38496121099828,862.522606548525,782.579235461103,"Above 5-fold"
"8",53,53,"Alachlor","15972-60-8",1.19135413886704,0.81983303798473,"in silico","BASF",0.0687321029724914,0.128623633146838,"in silico","LobellSivarajah","LobellSivarajah","neutral",NA,NA,3.59,3.59,"BASF","No",1,0,0,1,25.1170097451137,19.9466022898753,16.5255079706178,14.0696776413453,24.4859545767051,11.0107674550352,10.8672885530388,1.30544483160945,4.26606106411765,13.7020602789933,4.62436635760694,"RodgersRowland",19.0479807692308,"ul/min/mg S10","S9","this work","this work",2,"mg S9/ml",165,0.312,"in silico",5.233333333,"mg/kg",0.000446333,"mg/L","httk","RTI 2015",NA,NA,NA,0.8,0.023878019662231,0.0327626344564719,0.00311839652219658,0.130670652221702,0.00467856760073121,0.00454434830646085,0.0331855396090481,0.000307691957459932,0.0647654581759433,0.0219264265977159,0.000500629350161221,0.00181171807128842,0.00194452802695148,0.000974504348068518,0.00867606735059277,0.413547119509566,0.324761622657041,0.000560966871408021,-3.10518630769161e-13,0.999999999999997,1.07261489129504,0.18130797454093,1.3644582664132,1.98862728112121,2.39876655553583,20.1031772648772,4.25324327339201,1.97580361150472,3.68728217878312,0.236686121123024,0.530864411278224,0.529623830862703,0.834382250268702,0.603906023762807,0.18130797454093,0.181303134524375,406.216825869765,782.579235461103,"Above 5-fold"
"9",89,89,"Alprazolam","28981-97-7",1.02186164376522,0.77556854978277,"in silico","ADMET",0.165990606531274,0.284720315243504,"in silico","LobellSivarajah","LobellSivarajah","diproticBase",0.93,3.01,2.629403412,2.629385664,"ADMET","No",0.999999661142155,0,3.38857845116891e-07,5,5.17819360478764,5.34056659138238,4.49115128323408,3.83362796708147,6.59033959623687,3.02504779050023,2.98332673657609,0.46138500473504,1.23959954583528,3.72791805127659,1.34007800185214,"RodgersRowland",2.37929258241758,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",125,0.819,"in silico",7,"mg/kg",0.091523255,"mg/L","httk","Wang 1999",NA,NA,NA,1.1,0.0693971440115012,0.072437221954871,0.00491156532491677,0.045473112585566,0.00611974574204728,0.00576384924877676,0.0252638727231982,0.000506509823349649,0.126262960129804,0.0943212547098435,0.000679041820265897,0.00312349731788551,0.00905685926229166,0.004539057931326,0.0119637871772292,0.441052697584754,0.426787166253294,0.00958561851892896,-6.54398022824782e-14,0.999999999999999,1.35724496211985,0.844462402078476,3.96555108637149,4.39679647677517,3.7781271730129,6.99586347470247,5.56340522004298,2.50602141251164,2.80709696924424,0.389622941038192,1.03494229614593,2.27829117656627,1.13173636710983,1.0411657726285,0.844462402078476,0.844475894200186,9.22675228365158,7.47681274967164,"Above 5-fold"
"10",90,90,"Alprazolam","28981-97-7",1.02186164376522,0.77556854978277,"in silico","ADMET",0.165990606531274,0.284720315243504,"in silico","LobellSivarajah","LobellSivarajah","diproticBase",0.93,3.01,2.629403412,2.629385664,"ADMET","No",0.999999661142155,0,3.38857845116891e-07,5,5.17819360478764,5.34056659138238,4.49115128323408,3.83362796708147,6.59033959623687,3.02504779050023,2.98332673657609,0.46138500473504,1.23959954583528,3.72791805127659,1.34007800185214,"RodgersRowland",2.37929258241758,"ul/min/10^6 cells","hep","httk","Wood 2017",1,"10^6 cell/ml",125,0.819,"in silico",12.5,"mg/kg",0.206793079,"mg/L","httk","Wang 1999",NA,NA,NA,1.1,0.123923468641003,0.129352178807448,0.00877065309720715,0.0812019904435395,0.0109281179931164,0.0102925882179602,0.0451140606461356,0.000904481848040495,0.225469573008703,0.168430810303383,0.00121257471419623,0.00557767411730706,0.016172963336689,0.0081054607791794,0.0213639064964734,0.787594102710586,0.762119937038173,0.0171171758720257,-3.66462892781878e-13,0.999999999999991,2.42365171807117,1.50796860948149,7.08134106520017,7.85142208239441,6.74665622862088,12.4926139143907,9.93465272101492,4.47503835563488,5.01267340512618,0.695755267723458,1.8481112541697,4.06837706046818,2.02095785699372,1.85922470576902,1.50796860948149,1.50799270310314,7.2921618884619,7.47681274967164,"Above 5-fold"
